sexe,anciennete,jours_absence,aucun_acte,attitude_negative,refus_autorite,bris_intentionnels,agression,harcelement,total_actes,rebelle
Homme,12.2931,26,1,0.0,0,0,0,0,0,False
Homme,15.2272,25,1,0.0,0,0,0,0,0,False
Homme,10.9177,25,0,0.0,0,0,0,1,1,True
Homme,3.9002,45,1,0.0,0,0,0,0,0,False
Homme,17.5368,20,1,0.0,0,0,0,0,0,False
Femme,13.7194,22,1,0.0,0,0,0,0,0,False
Homme,9.9704,30,0,0.0,0,1,0,0,1,True
Homme,6.4585,41,1,0.0,0,0,0,0,0,False
Homme,12.6546,24,1,0.0,0,0,0,0,0,False
Homme,14.7081,21,1,0.0,0,0,0,0,0,False
Homme,6.2398,42,1,0.0,0,0,0,0,0,False
Homme,9.5798,30,1,0.0,0,0,0,0,0,False
Femme,7.2208,34,0,0.0,2,0,0,0,2,True
Femme,7.5712,35,1,0.0,0,0,0,0,0,False
Homme,16.2693,23,1,0.0,0,0,0,0,0,False
Femme,4.9408,37,1,0.0,0,0,0,0,0,False
Homme,1.5966,50,1,0.0,0,0,0,0,0,False
Femme,13.7399,24,1,0.0,0,0,0,0,0,False
Homme,15.6328,17,1,0.0,0,0,0,0,0,False
Homme,17.756,12,1,0.0,0,0,0,0,0,False
Homme,14.2026,24,1,0.0,0,0,0,0,0,False
Homme,12.2668,25,1,0.0,0,0,0,0,0,False
Homme,10.3685,33,1,0.0,0,0,0,0,0,False
Femme,7.4745,33,1,0.0,0,0,0,0,0,False
Homme,13.3837,24,1,0.0,0,0,0,0,0,False
Homme,12.1677,31,1,0.0,0,0,0,0,0,False
Homme,8.9726,0,1,0.0,0,0,0,0,0,False
Homme,10.8896,0,0,3.0,1,0,0,0,4,True
Femme,14.0458,19,0,0.0,0,0,0,2,2,True
Femme,14.3087,19,1,0.0,0,0,0,0,0,False
Femme,12.994,23,1,0.0,0,0,0,0,0,False
Homme,14.4171,22,0,4.0,0,0,0,0,4,True
Homme,9.3763,28,1,0.0,0,0,0,0,0,False
Homme,11.819,24,1,0.0,0,0,0,0,0,False
Homme,19.6487,13,1,0.0,0,0,0,0,0,False
Homme,14.4018,18,0,2.0,3,0,0,0,5,True
Femme,19.5572,8,1,0.0,0,0,0,0,0,False
Homme,17.1973,17,0,1.0,0,0,0,0,1,True
Homme,15.7805,23,1,0.0,0,0,0,0,0,False
Homme,11.7742,25,1,0.0,0,0,0,0,0,False
Homme,12.667,22,0,2.0,0,0,0,0,2,True
Homme,12.6981,29,1,0.0,0,0,0,0,0,False
Homme,10.2637,33,1,0.0,0,0,0,0,0,False
Homme,10.1691,31,1,0.0,0,0,0,0,0,False
Homme,10.4701,34,1,0.0,0,0,0,0,0,False
Homme,11.5495,27,1,0.0,0,0,0,0,0,False
Homme,12.128,23,0,1.0,0,0,0,0,1,True
Homme,10.1501,35,1,0.0,0,0,0,0,0,False
Homme,11.0652,0,1,0.0,0,0,0,0,0,False
Homme,11.8946,25,1,0.0,0,0,0,0,0,False
Homme,10.5111,34,0,5.0,0,0,0,0,5,True
Homme,6.8468,35,1,0.0,0,0,0,0,0,False
Homme,12.0503,26,1,0.0,0,0,0,0,0,False
Homme,13.0026,25,1,0.0,0,0,0,0,0,False
Femme,9.8072,31,1,0.0,0,0,0,0,0,False
Homme,9.8634,34,0,0.0,0,0,0,1,1,True
Homme,9.715,30,1,0.0,0,0,0,0,0,False
Femme,7.1642,34,1,0.0,0,0,0,0,0,False
Homme,11.6174,29,0,5.0,0,0,0,0,5,True
Homme,17.0807,16,0,0.0,2,0,0,0,2,True
Homme,6.8229,38,0,0.0,1,0,0,0,1,True
Homme,13.8804,23,0,2.0,0,0,0,0,2,True
Femme,10.8837,28,1,0.0,0,0,0,0,0,False
Homme,13.3178,27,0,0.0,3,0,0,0,3,True
Homme,12.7008,23,0,0.0,0,0,0,1,1,True
Femme,8.499,30,0,0.0,0,0,0,1,1,True
Homme,13.0886,26,1,0.0,0,0,0,0,0,False
Homme,13.2607,28,1,0.0,0,0,0,0,0,False
Homme,14.5105,21,1,0.0,0,0,0,0,0,False
Homme,16.7638,17,0,0.0,0,0,1,0,1,True
Homme,16.5842,20,0,0.0,0,0,1,0,1,True
Homme,19.0876,12,1,0.0,0,0,0,0,0,False
Homme,15.984,21,1,0.0,0,0,0,0,0,False
Femme,17.8154,0,1,0.0,0,0,0,0,0,False
Homme,18.4725,10,0,0.0,0,2,0,0,2,True
Homme,18.8148,15,0,0.0,0,0,0,1,1,True
Homme,16.2542,19,0,4.0,0,0,1,0,5,True
Homme,8.6991,30,1,0.0,0,0,0,0,0,False
Homme,20.4112,11,1,0.0,0,0,0,0,0,False
Homme,16.4903,15,1,0.0,0,0,0,0,0,False
Homme,14.7171,21,1,0.0,0,0,0,0,0,False
Homme,15.5214,21,1,0.0,0,0,0,0,0,False
Homme,10.6333,34,0,1.0,0,0,0,0,1,True
Femme,12.738,24,1,0.0,0,0,0,0,0,False
Homme,11.1356,27,0,2.0,0,1,0,0,3,True
Homme,13.9167,26,1,0.0,0,0,0,0,0,False
Homme,7.4516,38,0,3.0,0,0,0,0,3,True
Homme,12.5196,30,1,0.0,0,0,0,0,0,False
Homme,10.3678,29,0,0.0,0,0,0,2,2,True
Homme,16.4069,17,1,0.0,0,0,0,0,0,False
Homme,10.7229,30,1,0.0,0,0,0,0,0,False
Homme,19.2293,13,1,0.0,0,0,0,0,0,False
Homme,11.3154,30,1,0.0,0,0,0,0,0,False
Femme,20.9541,5,1,0.0,0,0,0,0,0,False
Homme,10.11,0,1,0.0,0,0,0,0,0,False
Homme,13.0148,0,1,0.0,0,0,0,0,0,False
Homme,3.5758,40,1,0.0,0,0,0,0,0,False
Homme,12.8203,28,1,0.0,0,0,0,0,0,False
Femme,16.3271,22,1,0.0,0,0,0,0,0,False
Femme,16.0896,0,1,0.0,0,0,0,0,0,False
Femme,21.4333,9,0,0.0,2,0,0,0,2,True
Homme,10.8316,29,0,1.0,0,0,0,0,1,True
Femme,13.0249,22,1,0.0,0,0,0,0,0,False
Homme,18.4621,12,1,0.0,0,0,0,0,0,False
Homme,13.4319,22,0,3.0,0,0,0,0,3,True
Homme,10.9441,25,1,0.0,0,0,0,0,0,False
Femme,11.9738,25,1,0.0,0,0,0,0,0,False
Homme,12.5772,24,1,0.0,0,0,0,0,0,False
Homme,19.6489,13,0,0.0,4,0,0,0,4,True
Homme,15.1193,19,1,0.0,0,0,0,0,0,False
Homme,15.789,18,1,0.0,0,0,0,0,0,False
Femme,10.8399,27,1,0.0,0,0,0,0,0,False
Homme,6.6682,40,1,0.0,0,0,0,0,0,False
Femme,12.5129,25,1,0.0,0,0,0,0,0,False
Homme,11.0955,27,1,0.0,0,0,0,0,0,False
Homme,5.0448,39,0,0.0,4,0,0,0,4,True
Femme,11.9484,23,1,0.0,0,0,0,0,0,False
Femme,7.204,36,1,0.0,0,0,0,0,0,False
Homme,17.2863,15,1,0.0,0,0,0,0,0,False
Homme,18.444,14,1,0.0,0,0,0,0,0,False
Femme,8.7126,33,1,0.0,0,0,0,0,0,False
Homme,12.8341,23,1,0.0,0,0,0,0,0,False
Homme,14.725,23,1,0.0,0,0,0,0,0,False
Homme,14.0299,21,0,4.0,0,0,0,0,4,True
Homme,14.7548,24,0,1.0,0,0,0,0,1,True
Femme,11.5545,0,1,0.0,0,0,0,0,0,False
Homme,16.5477,21,1,0.0,0,0,0,0,0,False
Homme,15.6475,24,1,0.0,0,0,0,0,0,False
Femme,12.0464,29,1,0.0,0,0,0,0,0,False
Homme,5.3756,0,1,0.0,0,0,0,0,0,False
Homme,6.4698,39,0,0.0,0,2,0,0,2,True
Femme,16.6109,16,1,0.0,0,0,0,0,0,False
Homme,7.1137,35,1,0.0,0,0,0,0,0,False
Homme,24.0777,4,1,0.0,0,0,0,0,0,False
Homme,11.2203,25,1,0.0,0,0,0,0,0,False
Femme,6.9306,37,1,0.0,0,0,0,0,0,False
Femme,12.8992,24,1,0.0,0,0,0,0,0,False
Homme,7.8992,39,0,0.0,0,0,0,1,1,True
Femme,10.5571,29,1,0.0,0,0,0,0,0,False
Femme,16.1602,19,1,0.0,0,0,0,0,0,False
Homme,8.668,37,0,0.0,0,0,0,2,2,True
Homme,12.216,29,0,3.0,0,0,0,0,3,True
Homme,9.2451,32,1,0.0,0,0,0,0,0,False
Homme,10.0935,27,1,0.0,0,0,0,0,0,False
Homme,10.6067,33,0,0.0,4,0,0,0,4,True
Femme,5.6554,36,1,0.0,0,0,0,0,0,False
Homme,12.9682,24,1,0.0,0,0,0,0,0,False
Homme,14.1893,21,1,0.0,0,0,0,0,0,False
Femme,11.3648,24,1,0.0,0,0,0,0,0,False
Homme,13.5712,23,1,0.0,0,0,0,0,0,False
Homme,10.4225,0,1,0.0,0,0,0,0,0,False
Homme,14.8201,17,1,0.0,0,0,0,0,0,False
Femme,9.4483,29,0,0.0,0,0,0,2,2,True
Femme,8.9826,37,1,0.0,0,0,0,0,0,False
Homme,12.0179,23,0,5.0,0,0,0,0,5,True
Homme,15.8551,22,1,0.0,0,0,0,0,0,False
Homme,7.7704,34,1,0.0,0,0,0,0,0,False
Homme,11.8542,25,1,0.0,0,0,0,0,0,False
Homme,15.975,15,0,0.0,5,0,0,0,5,True
Homme,16.1494,18,1,0.0,0,0,0,0,0,False
Homme,13.7681,23,0,0.0,1,0,0,0,1,True
Homme,15.4306,21,1,0.0,0,0,0,0,0,False
Homme,8.2667,35,0,0.0,0,2,0,0,2,True
Homme,16.6041,0,1,0.0,0,0,0,0,0,False
Homme,13.6367,23,1,0.0,0,0,0,0,0,False
Femme,13.3481,23,1,0.0,0,0,0,0,0,False
Homme,14.1209,0,1,0.0,0,0,0,0,0,False
Homme,10.7527,31,1,0.0,0,0,0,0,0,False
Homme,10.4452,28,1,0.0,0,0,0,0,0,False
Homme,7.9965,31,0,5.0,0,0,0,0,5,True
Femme,8.3396,36,1,0.0,0,0,0,0,0,False
Homme,10.9843,28,1,0.0,0,0,0,0,0,False
Homme,15.309,23,1,0.0,0,0,0,0,0,False
Homme,5.2543,45,1,0.0,0,0,0,0,0,False
Homme,9.3996,29,1,0.0,0,0,0,0,0,False
Homme,10.5855,27,0,0.0,1,0,0,0,1,True
Homme,17.8193,11,1,0.0,0,0,0,0,0,False
Femme,19.6543,16,0,0.0,0,0,0,2,2,True
Femme,18.6595,0,1,0.0,0,0,0,0,0,False
Homme,10.6066,34,1,0.0,0,0,0,0,0,False
Femme,14.1511,22,1,0.0,0,0,0,0,0,False
Femme,17.7115,13,0,1.0,0,0,0,0,1,True
