vente_id,no_commande,date_commande_id,date_livraison_id,date_paiement_id,client_id,produit_id,entrepot_id,employe_id,quantite,prix_unitaire,remise_pct,cout_unitaire,montant_ht,cout_total,marge,canal_vente,delai_paiement_jours,delai_livraison_jours
60,CMD-101194,20240801,20240804,20240904,218,25,2,24,5,174.34,25.4,146.28,871.7,731.4,140.3,Téléphone,34,3
61,CMD-101600,20240916,20240921,20241023,22,148,1,19,12,382.24,16.9,296.06,4586.88,3552.72,1034.16,Représentant,37,5
62,CMD-101357,20240821,20240830,20241003,184,3,3,8,6,258.1,13.4,188.61,1548.6,1131.66,416.94,Téléphone,43,9
63,CMD-100841,20240531,20240607,20240709,205,104,1,39,2,104.73,5.4,75.12,209.46,150.24,59.22,Portail web,39,7
64,CMD-101367,20240822,20240825,,89,23,3,10,6,280.75,25.6,239.29,1684.5,1435.74,248.76,Téléphone,,3
65,CMD-101469,20240904,20240908,20241010,181,79,3,13,8,211.36,19.8,144.83,1690.88,1158.64,532.24,Courriel,36,4
66,CMD-100807,20240528,20240602,20240702,135,159,2,29,8,263.01,9.0,166.16,2104.08,1329.28,774.8,Représentant,35,5
67,CMD-102039,20241106,20241110,20241205,195,153,1,24,6,180.1,10.2,113.61,1080.6,681.66,398.94,Représentant,29,4
68,CMD-101630,20240919,20240921,20241010,198,5,1,15,8,300.95,8.0,204.06,2407.6,1632.48,775.12,Représentant,21,2
69,CMD-100060,20240118,20240120,20240228,103,135,2,24,24,62.56,14.7,39.89,1501.44,957.36,544.08,Téléphone,41,2
70,CMD-100127,20240207,20240212,20240326,129,114,2,18,2,215.14,14.8,149.59,430.28,299.18,131.1,Téléphone,48,5
71,CMD-101506,20240907,20240912,20241031,92,45,3,39,10,98.43,24.9,76.76,984.3,767.6,216.7,Représentant,54,5
72,CMD-100332,20240321,20240326,20240413,154,182,2,39,34,85.01,21.9,56.87,2890.34,1933.58,956.76,Courriel,23,5
73,CMD-101572,20240913,20240918,20241012,52,70,1,19,12,64.69,15.1,39.88,776.28,478.56,297.72,Portail web,29,5
74,CMD-100212,20240229,20240306,20240410,154,176,2,39,10,476.22,24.5,322.02,4762.2,3220.2,1542.0,Portail web,41,6
75,CMD-101166,20240726,20240729,20240905,68,44,3,13,6,298.7,7.5,195.45,1792.2,1172.7,619.5,Représentant,41,3
76,CMD-100663,20240508,20240511,20240618,156,24,3,39,1,310.51,7.1,185.46,310.51,185.46,125.05,Représentant,41,3
77,CMD-100467,20240410,20240417,20240528,193,62,2,24,2,168.56,6.2,112.54,337.12,225.08,112.04,Représentant,48,7
78,CMD-100884,20240607,20240615,20240716,199,126,1,19,8,181.95,10.1,130.29,1455.6,1042.32,413.28,Téléphone,39,8
79,CMD-101162,20240726,20240730,20240920,4,35,2,8,6,40.96,15.3,30.0,245.76,180.0,65.76,Courriel,56,4
80,CMD-101312,20240815,20240824,20240924,90,78,2,24,8,342.83,10.6,197.64,2742.64,1581.12,1161.52,Courriel,40,9
81,CMD-100088,20240126,20240202,20240310,97,61,1,29,6,101.98,13.7,75.23,611.88,451.38,160.5,Représentant,44,7
82,CMD-100560,20240424,20240427,20240610,168,172,1,19,3,355.87,15.0,216.67,1067.61,650.01,417.6,Portail web,47,3
83,CMD-100041,20240111,20240118,20240209,157,76,1,8,12,468.01,16.6,281.11,5616.12,3373.32,2242.8,Portail web,29,7
84,CMD-101156,20240724,20240729,20240829,132,63,2,10,4,321.59,12.7,242.15,1286.36,968.6,317.76,Représentant,36,5
85,CMD-100116,20240203,20240208,20240226,39,22,2,15,12,406.1,10.6,247.74,4873.2,2972.88,1900.32,Représentant,23,5
86,CMD-101587,20240914,20240917,20241030,80,87,3,24,7,310.35,19.5,211.22,2172.45,1478.54,693.91,Téléphone,46,3
87,CMD-101397,20240827,20240901,20241027,170,5,2,8,3,277.66,15.1,204.06,832.98,612.18,220.8,Portail web,61,5
88,CMD-100165,20240217,20240222,20240329,129,72,2,18,4,336.88,14.9,196.62,1347.52,786.48,561.04,Téléphone,41,5
89,CMD-100542,20240422,20240501,20240602,31,159,1,29,3,239.95,17.0,166.16,719.85,498.48,221.37,Représentant,41,9
90,CMD-100290,20240314,20240322,20240417,31,37,3,29,3,25.95,13.3,16.31,77.85,48.93,28.92,Représentant,34,8
91,CMD-101533,20240910,20240912,20241031,59,83,2,39,3,284.15,7.5,157.14,852.45,471.42,381.03,Téléphone,51,2
92,CMD-100068,20240120,20240125,20240305,99,57,3,15,5,24.14,19.1,19.26,120.7,96.3,24.4,Représentant,45,5
93,CMD-101089,20240708,20240717,20240919,111,40,2,13,2,428.34,2.8,268.77,856.68,537.54,319.14,Représentant,73,9
94,CMD-100476,20240411,20240415,20240523,49,38,1,24,3,475.6,13.8,313.36,1426.8,940.08,486.72,Représentant,42,4
95,CMD-100272,20240311,20240320,20240424,89,148,3,10,11,354.71,22.9,296.06,3901.81,3256.66,645.15,Représentant,44,9
96,CMD-100258,20240308,20240312,20240418,150,95,3,18,6,89.74,13.4,53.64,538.44,321.84,216.6,Portail web,41,4
97,CMD-101383,20240824,20240831,20241002,32,24,1,39,8,310.29,7.1,185.46,2482.32,1483.68,998.64,Portail web,39,7
98,CMD-102192,20241128,20241206,20250201,89,101,2,10,11,81.05,25.3,62.94,891.55,692.34,199.21,Portail web,65,8
99,CMD-102109,20241115,20241124,20241211,210,161,2,29,31,104.61,22.5,62.84,3242.91,1948.04,1294.87,Représentant,26,9
100,CMD-100741,20240520,20240527,20240720,194,44,1,8,15,263.02,18.6,195.45,3945.3,2931.75,1013.55,Représentant,61,7
101,CMD-100752,20240521,20240528,20240620,71,105,2,19,3,241.04,7.0,166.12,723.12,498.36,224.76,Téléphone,30,7
102,CMD-100311,20240318,20240323,20240502,194,88,2,8,16,516.02,18.1,335.85,8256.32,5373.6,2882.72,Téléphone,45,5
103,CMD-100590,20240430,20240509,20240620,176,172,2,13,4,405.52,3.1,216.67,1622.08,866.68,755.4,Représentant,51,9
104,CMD-102234,20241204,20241213,20250117,219,105,1,18,24,251.38,3.0,166.12,6033.12,3986.88,2046.24,Portail web,44,9
105,CMD-102068,20241109,20241115,20241212,167,73,2,15,6,342.82,23.8,255.0,2056.92,1530.0,526.92,Portail web,33,6
106,CMD-100329,20240320,20240325,20240516,213,74,1,39,6,189.2,2.6,108.27,1135.2,649.62,485.58,Non renseigné,57,5
107,CMD-100704,20240514,20240519,20240708,196,41,1,8,11,188.52,25.6,159.88,2073.72,1758.68,315.04,Représentant,55,5
108,CMD-101146,20240723,20240801,20240817,65,80,1,10,8,283.08,14.4,173.12,2264.64,1384.96,879.68,Portail web,25,9
109,CMD-100656,20240508,20240512,20240614,210,107,2,29,80,170.13,22.8,147.44,13610.4,11795.2,1815.2,Portail web,37,4
110,CMD-100674,20240510,20240518,20240630,5,24,1,8,1,306.59,8.3,185.46,306.59,185.46,121.13,Représentant,51,8
111,CMD-100447,20240408,20240415,20240518,184,37,2,8,1,24.85,16.9,16.31,24.85,16.31,8.54,Représentant,40,7
112,CMD-100153,20240214,20240217,20240331,3,62,3,15,12,152.5,15.1,112.54,1830.0,1350.48,479.52,Téléphone,46,3
113,CMD-100255,20240308,20240310,20240412,114,21,2,8,1,346.21,4.8,201.55,346.21,201.55,144.66,Courriel,35,2
114,CMD-101151,20240723,20240730,20240823,2,53,1,39,6,299.26,8.5,176.84,1795.56,1061.04,734.52,Téléphone,31,7
115,CMD-100254,20240308,20240314,20240425,175,169,1,8,12,538.77,6.6,276.47,6465.24,3317.64,3147.6,Portail web,48,6
116,CMD-101087,20240708,20240717,20240817,181,146,1,13,6,278.05,26.0,220.88,1668.3,1325.28,343.02,Portail web,40,9
117,CMD-101735,20241001,20241005,20241106,25,64,2,15,12,105.57,15.7,69.43,1266.84,833.16,433.68,Portail web,36,4
118,CMD-100334,20240321,20240329,20240503,117,52,1,18,3,270.5,11.9,179.27,811.5,537.81,273.69,Portail web,43,8
119,CMD-100001,20240101,20240108,20240110,158,127,1,39,3,260.79,13.4,170.72,782.37,512.16,270.21,Téléphone,9,7
120,CMD-100641,20240507,20240513,20240626,145,178,1,10,1,173.95,15.3,116.97,173.95,116.97,56.98,Portail web,50,6
121,CMD-100721,20240516,20240524,20240703,104,33,3,29,4,167.96,10.4,110.89,671.84,443.56,228.28,Portail web,48,8
122,CMD-101304,20240814,20240821,20240929,181,2,2,13,11,378.61,19.2,292.58,4164.71,3218.38,946.33,Représentant,46,7
123,CMD-100538,20240420,20240423,20240618,23,2,2,13,4,441.46,5.8,292.58,1765.84,1170.32,595.52,Courriel,59,3
124,CMD-102160,20241122,20241128,20241225,139,94,1,19,1,187.93,7.8,121.74,187.93,121.74,66.19,Téléphone,33,6
125,CMD-101103,20240712,20240718,20240820,97,81,1,29,12,527.19,11.1,302.82,6326.28,3633.84,2692.44,Téléphone,39,6
126,CMD-100756,20240521,20240525,20240704,119,18,2,24,6,418.26,10.0,242.09,2509.56,1452.54,1057.02,Représentant,44,4
127,CMD-100351,20240326,20240404,20240519,34,170,1,15,4,31.41,10.7,16.6,125.64,66.4,59.24,Salon,54,9
128,CMD-100310,20240318,20240327,,192,108,2,19,3,244.14,10.6,166.46,732.42,499.38,233.04,Représentant,,9
129,CMD-101223,20240805,20240809,20240918,51,15,3,29,1,451.8,14.9,318.69,451.8,318.69,133.11,Portail web,44,4
130,CMD-100466,20240410,20240413,20240518,85,48,3,29,6,40.11,21.7,32.82,240.66,196.92,43.74,Représentant,38,3
131,CMD-102211,20241129,20241201,20250207,217,127,2,39,1,254.6,15.5,170.72,254.6,170.72,83.88,Représentant,70,2
132,CMD-100844,20240531,20240602,20240801,65,60,1,10,6,330.96,16.4,241.9,1985.76,1451.4,534.36,Portail web,62,2
133,CMD-100325,20240320,20240322,20240509,209,104,1,10,6,96.69,12.6,75.12,580.14,450.72,129.42,Courriel,50,2
134,CMD-101836,20241011,20241018,20241125,213,1,2,39,1,305.59,8.8,182.3,305.59,182.3,123.29,Représentant,45,7
135,CMD-101196,20240801,20240805,20240902,47,104,1,29,4,93.99,15.1,75.12,375.96,300.48,75.48,Représentant,32,4
136,CMD-100002,20240101,20240109,20240302,1,133,1,13,12,86.65,14.5,61.66,1039.8,739.92,299.88,Représentant,61,8
137,CMD-102062,20241108,20241111,20241216,210,76,1,29,21,435.69,22.3,281.11,9149.49,5903.31,3246.18,Portail web,38,3
138,CMD-100914,20240612,20240615,20240712,219,39,2,18,12,186.79,5.6,119.66,2241.48,1435.92,805.56,Téléphone,30,3
139,CMD-100321,20240320,20240323,20240515,80,97,3,24,31,290.24,21.1,210.05,8997.44,6511.55,2485.89,Représentant,56,3
140,CMD-100508,20240416,20240418,20240529,11,35,2,19,6,42.61,11.9,30.0,255.66,180.0,75.66,Représentant,43,2
141,CMD-102144,20241120,20241128,20250102,181,73,1,13,3,358.64,20.3,255.0,1075.92,765.0,310.92,Portail web,43,8
142,CMD-100759,20240521,20240527,20240629,71,47,1,19,4,103.1,3.3,70.06,412.4,280.24,132.16,Représentant,39,6
143,CMD-101058,20240703,20240712,20240726,15,124,2,19,2,242.69,4.8,150.61,485.38,301.22,184.16,Représentant,23,9
144,CMD-100054,20240117,20240120,20240311,186,21,1,10,2,337.61,7.2,201.55,675.22,403.1,272.12,Représentant,54,3
145,CMD-100370,20240328,20240405,20240514,89,50,3,10,34,411.8,18.3,291.69,14001.2,9917.46,4083.74,Représentant,47,8
146,CMD-100255,20240308,20240310,20240412,114,45,2,8,12,124.77,4.8,76.76,1497.24,921.12,576.12,Représentant,35,2
147,CMD-101479,20240904,20240908,20241025,210,46,3,29,15,379.63,20.5,308.91,5694.45,4633.65,1060.8,Représentant,51,4
148,CMD-100499,20240415,20240422,20240512,220,59,2,19,8,453.91,13.9,324.94,3631.28,2599.52,1031.76,Téléphone,27,7
149,CMD-100859,20240603,20240610,20240723,47,10,2,29,1,140.92,13.6,87.08,140.92,87.08,53.84,Représentant,50,7
150,CMD-101473,20240904,20240913,20241014,1,59,2,13,4,454.44,13.8,324.94,1817.76,1299.76,518.0,Téléphone,40,9
151,CMD-102247,20241209,20241216,20250104,55,155,2,24,4,525.69,3.0,322.38,2102.76,1289.52,813.24,Téléphone,26,7
152,CMD-100081,20240125,20240130,20240320,86,102,1,13,2,447.9,7.6,255.33,895.8,510.66,385.14,Téléphone,55,5
153,CMD-100694,20240513,20240520,20240620,46,170,1,8,4,31.09,11.6,16.6,124.36,66.4,57.96,Téléphone,38,7
154,CMD-101052,20240702,20240704,20240817,156,61,1,39,6,114.17,3.3,75.23,685.02,451.38,233.64,Téléphone,46,2
155,CMD-100113,20240202,20240208,20240322,215,138,1,8,24,126.65,14.0,86.38,3039.6,2073.12,966.48,Portail web,49,6
156,CMD-100847,20240531,20240606,20240731,50,122,2,29,4,304.06,10.9,208.3,1216.24,833.2,383.04,Représentant,61,6
157,CMD-101139,20240722,20240727,20240903,89,62,2,10,5,135.28,24.7,112.54,676.4,562.7,113.7,Téléphone,43,5
158,CMD-102101,20241114,20241117,20250106,161,90,2,39,8,89.27,6.9,57.58,714.16,460.64,253.52,Portail web,53,3
159,CMD-100009,20240102,20240111,20240207,169,131,1,15,1,58.51,12.7,36.32,58.51,36.32,22.19,Représentant,36,9
160,CMD-101024,20240628,20240701,20240827,163,104,2,29,2,108.09,2.3,75.12,216.18,150.24,65.94,Portail web,60,3
161,CMD-100063,20240119,20240121,20240219,124,111,2,8,8,213.14,3.8,145.84,1705.12,1166.72,538.4,Portail web,31,2
162,CMD-101280,20240812,20240817,20240820,210,172,1,29,22,341.18,18.5,216.67,7505.96,4766.74,2739.22,Représentant,8,5
163,CMD-101340,20240819,20240826,20240918,23,47,1,13,12,100.75,5.5,70.06,1209.0,840.72,368.28,Portail web,30,7
164,CMD-101644,20240920,20240929,20241118,188,101,1,18,8,99.23,8.5,62.94,793.84,503.52,290.32,Téléphone,59,9
165,CMD-100256,20240308,20240311,20240420,192,181,2,19,3,533.62,14.6,305.97,1600.86,917.91,682.95,Portail web,43,3
166,CMD-100912,20240612,20240618,20240726,206,57,2,15,4,28.23,5.4,19.26,112.92,77.04,35.88,Représentant,44,6
167,CMD-101996,20241030,20241101,20241123,100,151,3,29,4,134.86,15.2,90.35,539.44,361.4,178.04,Courriel,24,2
168,CMD-101729,20240930,20241009,20241104,22,106,2,19,2,459.5,13.4,333.09,919.0,666.18,252.82,Représentant,35,9
169,CMD-100556,20240424,20240501,20240521,132,121,1,10,3,69.32,11.0,43.73,207.96,131.19,76.77,Portail web,27,7
170,CMD-100051,20240116,20240118,20240307,212,148,3,8,8,391.76,14.8,296.06,3134.08,2368.48,765.6,Portail web,51,2
171,CMD-102206,20241129,20241204,20241225,119,7,1,24,2,85.99,16.8,55.96,171.98,111.92,60.06,Courriel,26,5
172,CMD-101987,20241030,20241102,20241206,17,168,2,15,13,317.38,20.7,224.71,4125.94,2921.23,1204.71,Salon,37,3
173,CMD-100193,20240226,20240301,20240328,37,161,1,29,4,114.53,15.2,62.84,458.12,251.36,206.76,Courriel,31,4
174,CMD-101613,20240917,20240922,20241008,100,93,2,29,1,187.42,16.3,132.18,187.42,132.18,55.24,Portail web,21,5
175,CMD-100039,20240111,20240116,20240202,94,153,1,18,8,171.71,14.4,113.61,1373.68,908.88,464.8,Téléphone,22,5
176,CMD-100952,20240617,20240625,20240723,92,162,1,39,7,111.85,18.4,66.97,782.95,468.79,314.16,Portail web,36,8
177,CMD-100854,20240603,20240608,20240711,106,120,2,24,3,276.59,6.8,182.88,829.77,548.64,281.13,Portail web,38,5
178,CMD-100535,20240419,20240426,20240609,178,166,1,24,1,349.16,16.0,212.88,349.16,212.88,136.28,Téléphone,51,7
179,CMD-100458,20240409,20240414,20240610,130,117,1,39,24,130.94,11.6,98.28,3142.56,2358.72,783.84,Représentant,62,5
180,CMD-101082,20240708,20240712,20240815,203,117,2,19,4,121.4,18.1,98.28,485.6,393.12,92.48,Téléphone,38,4
181,CMD-100992,20240624,20240703,20240722,122,73,3,8,2,416.92,7.3,255.0,833.84,510.0,323.84,Salon,28,9
182,CMD-101583,20240913,20240917,20241107,138,50,1,24,24,487.51,3.3,291.69,11700.24,7000.56,4699.68,Salon,55,4
183,CMD-100375,20240328,20240401,20240608,23,165,2,13,4,169.06,8.1,105.7,676.24,422.8,253.44,Salon,72,4
184,CMD-102171,20241125,20241202,20250110,70,73,3,19,2,415.5,7.6,255.0,831.0,510.0,321.0,Représentant,46,7
185,CMD-100366,20240327,20240402,20240502,89,1,2,10,8,251.83,24.9,182.3,2014.64,1458.4,556.24,Téléphone,36,6
186,CMD-100674,20240510,20240518,20240630,5,7,1,8,3,94.8,8.3,55.96,284.4,167.88,116.52,Représentant,51,8
187,CMD-100832,20240530,20240603,20240712,100,179,3,29,6,384.53,10.9,226.59,2307.18,1359.54,947.64,Portail web,43,4
188,CMD-102322,20241230,20250108,20250207,35,91,1,19,1,547.83,3.6,279.07,547.83,279.07,268.76,Courriel,39,9
189,CMD-100228,20240304,20240311,20240420,8,161,3,8,2,112.82,16.5,62.84,225.64,125.68,99.96,Représentant,47,7
190,CMD-101164,20240726,20240728,20240918,37,5,3,29,4,291.4,10.9,204.06,1165.6,816.24,349.36,Portail web,54,2
191,CMD-101165,20240726,20240731,20240918,136,26,2,18,6,378.47,13.7,241.74,2270.82,1450.44,820.38,Non renseigné,54,5
192,CMD-100800,20240527,20240529,20240712,118,9,2,24,6,91.31,13.2,66.28,547.86,397.68,150.18,Portail web,46,2
193,CMD-100649,20240507,20240511,20240621,203,15,3,19,9,418.71,21.2,318.69,3768.39,2868.21,900.18,Portail web,45,4
194,CMD-101803,20241008,20241017,20241123,19,136,1,10,3,200.48,3.4,110.14,601.44,330.42,271.02,Téléphone,46,9
195,CMD-100098,20240131,20240202,20240228,167,147,2,15,7,475.09,20.6,339.78,3325.63,2378.46,947.17,Courriel,28,2
196,CMD-101105,20240712,20240720,20240825,36,114,1,8,8,212.22,16.0,149.59,1697.76,1196.72,501.04,Portail web,44,8
197,CMD-100288,20240314,20240320,20240425,179,165,1,15,12,178.4,3.1,105.7,2140.8,1268.4,872.4,Téléphone,42,6
198,CMD-101630,20240919,20240921,20241010,198,36,1,15,8,236.35,8.0,159.06,1890.8,1272.48,618.32,Représentant,21,2
199,CMD-102056,20241107,20241109,20241204,69,76,2,39,12,496.33,11.5,281.11,5955.96,3373.32,2582.64,Représentant,27,2
200,CMD-100855,20240603,20240607,20240703,33,27,1,39,12,446.51,2.5,249.72,5358.12,2996.64,2361.48,Téléphone,30,4
201,CMD-102049,20241106,20241114,20241219,127,92,2,13,1,240.7,14.7,140.04,240.7,140.04,100.66,Courriel,43,8
202,CMD-100200,20240227,20240306,20240404,3,103,2,15,2,201.37,11.6,151.66,402.74,303.32,99.42,Représentant,37,8
203,CMD-101547,20240911,20240915,20241027,94,53,1,18,1,279.5,14.6,176.84,279.5,176.84,102.66,Portail web,46,4
204,CMD-100211,20240229,20240306,20240426,86,181,1,13,2,597.88,4.3,305.97,1195.76,611.94,583.82,Représentant,57,6
205,CMD-101425,20240829,20240907,20240929,187,41,2,8,4,213.3,15.9,159.88,853.2,639.52,213.68,Représentant,31,9
206,CMD-101103,20240712,20240718,20240820,97,115,1,29,12,66.38,11.1,46.26,796.56,555.12,241.44,Téléphone,39,6
207,CMD-101487,20240906,20240909,20241009,99,72,1,15,22,309.08,21.9,196.62,6799.76,4325.64,2474.12,Représentant,33,3
208,CMD-101439,20240830,20240908,20241010,49,2,1,24,2,399.77,14.7,292.58,799.54,585.16,214.38,Représentant,41,9
209,CMD-100990,20240624,20240703,20240820,65,125,2,10,6,367.8,16.4,285.25,2206.8,1711.5,495.3,Portail web,57,9
210,CMD-102317,20241228,20250102,20250208,43,136,1,15,6,183.36,11.7,110.14,1100.16,660.84,439.32,Portail web,42,5
211,CMD-100576,20240426,20240502,20240607,40,168,2,39,24,304.81,23.8,224.71,7315.44,5393.04,1922.4,Représentant,42,6
