charge_id,date_id,categorie,entrepot_id,montant
187,20250501,Entretien et réparations,1,1723.95
188,20241201,Fournitures de bureau,2,535.5
189,20251101,Entretien et réparations,2,1915.11
190,20251001,Entretien et réparations,3,1104.01
191,20250601,Honoraires professionnels,1,2752.32
192,20240501,Énergie,2,4386.68
193,20241101,Télécommunications,3,401.33
194,20250201,Assurances,1,1936.31
195,20250801,Télécommunications,2,841.47
196,20240301,Entretien et réparations,3,704.32
197,20240501,Télécommunications,2,757.25
198,20250701,Entretien et réparations,1,1242.92
199,20250401,Loyer,1,14682.8
200,20250201,Télécommunications,2,772.51
201,20241001,Télécommunications,3,404.27
202,20241101,Fournitures de bureau,3,347.94
203,20240101,Entretien et réparations,3,783.86
204,20250701,Assurances,3,1246.97
205,20241201,Énergie,2,3892.2
206,20250301,Transport et livraison,2,11558.73
207,20241201,Loyer,3,8900.0
208,20240601,Loyer,2,21500.0
209,20250201,Fournitures de bureau,2,607.32
210,20240101,Transport et livraison,1,6907.47
211,20240601,Entretien et réparations,3,730.52
212,20240201,Énergie,2,4098.47
213,20250101,Assurances,1,1889.19
214,20251001,Honoraires professionnels,1,2846.85
215,20250901,Honoraires professionnels,1,2621.25
216,20250101,Télécommunications,3,407.54
217,20241101,Énergie,1,3041.64
218,20240201,Entretien et réparations,2,1666.92
219,20250701,Fournitures de bureau,2,719.42
220,20250301,Énergie,1,2954.46
221,20251101,Télécommunications,2,818.84
222,20251201,Transport et livraison,3,3238.39
223,20240601,Énergie,3,2297.74
224,20250701,Télécommunications,3,425.07
225,20240801,Assurances,3,1198.35
226,20240801,Loyer,2,21500.0
227,20241101,Télécommunications,2,799.73
228,20250501,Loyer,1,14682.8
229,20251101,Entretien et réparations,3,744.88
230,20240201,Énergie,3,2275.21
231,20250701,Entretien et réparations,2,1907.08
232,20251201,Énergie,1,3125.81
233,20240801,Énergie,3,2360.9
234,20240101,Télécommunications,3,413.2
235,20240701,Fournitures de bureau,2,710.62
236,20251101,Assurances,2,2493.9
237,20250401,Loyer,3,9202.6
238,20240301,Énergie,1,2983.55
239,20240301,Télécommunications,3,426.78
240,20250901,Loyer,3,9202.6
241,20240101,Fournitures de bureau,1,494.17
242,20241001,Fournitures de bureau,1,579.74
243,20250201,Transport et livraison,3,3444.83
244,20240601,Assurances,1,1857.97
245,20250601,Fournitures de bureau,1,533.29
246,20250401,Transport et livraison,3,4546.0
247,20240301,Télécommunications,2,786.41
248,20251101,Énergie,3,2085.45
249,20250401,Entretien et réparations,1,1271.0
250,20240301,Assurances,1,1820.58
251,20250601,Énergie,3,2243.74
252,20240201,Entretien et réparations,3,711.7
253,20250301,Fournitures de bureau,2,574.14
254,20240201,Transport et livraison,3,2761.42
255,20250101,Énergie,1,3117.09
256,20250901,Fournitures de bureau,3,332.38
257,20241201,Entretien et réparations,2,2443.3
258,20250701,Loyer,3,9202.6
259,20250701,Télécommunications,2,796.51
260,20251101,Assurances,3,1261.43
261,20240101,Assurances,2,2390.2
262,20250801,Transport et livraison,3,6006.74
263,20250501,Entretien et réparations,3,958.68
264,20241001,Transport et livraison,3,5497.36
265,20241101,Énergie,2,3828.16
266,20240301,Télécommunications,1,594.37
267,20240301,Transport et livraison,1,8584.32
268,20241101,Entretien et réparations,2,1988.32
269,20250101,Énergie,3,2308.27
270,20240101,Énergie,3,2053.12
271,20240101,Logiciels et TI,1,3077.43
272,20240201,Télécommunications,3,415.55
273,20240601,Fournitures de bureau,2,535.95
274,20241201,Télécommunications,1,621.17
275,20240701,Transport et livraison,3,3617.48
276,20240201,Transport et livraison,1,7173.62
277,20240501,Télécommunications,3,416.63
278,20241201,Fournitures de bureau,1,512.15
279,20240201,Entretien et réparations,1,1571.99
280,20250501,Assurances,1,1914.39
281,20250301,Entretien et réparations,2,2362.08
282,20241201,Logiciels et TI,1,3044.63
283,20240401,Télécommunications,2,796.52
284,20250201,Loyer,3,9202.6
285,20240701,Entretien et réparations,2,2165.0
286,20250701,Assurances,1,1937.08
287,20250101,Fournitures de bureau,2,545.71
288,20240701,Assurances,3,1216.86
289,20251001,Fournitures de bureau,2,564.81
290,20250601,Entretien et réparations,1,1204.76
291,20250101,Entretien et réparations,1,1151.21
292,20241101,Entretien et réparations,1,1267.8
293,20240301,Entretien et réparations,1,1391.77
294,20250901,Entretien et réparations,3,991.53
295,20250401,Loyer,2,22231.0
296,20250601,Loyer,2,22231.0
297,20250201,Énergie,1,3004.75
298,20250401,Entretien et réparations,3,1008.23
299,20240501,Fournitures de bureau,2,717.12
300,20240801,Assurances,2,2422.33
301,20250801,Transport et livraison,2,15896.85
302,20250901,Logiciels et TI,1,3243.14
303,20241101,Loyer,2,21500.0
304,20250101,Transport et livraison,2,8262.91
305,20240901,Télécommunications,2,750.37
306,20250901,Loyer,2,22231.0
307,20240401,Assurances,3,1202.84
308,20240501,Entretien et réparations,2,1956.4
309,20250901,Télécommunications,3,412.15
310,20241201,Transport et livraison,2,7864.88
311,20250601,Télécommunications,2,825.51
312,20241001,Entretien et réparations,2,2274.65
313,20251201,Loyer,2,22231.0
314,20250501,Énergie,1,3144.06
315,20240901,Télécommunications,1,625.03
316,20250201,Énergie,2,4089.33
317,20250301,Fournitures de bureau,1,602.58
318,20240801,Transport et livraison,1,13815.4
319,20240601,Télécommunications,2,807.36
320,20250501,Fournitures de bureau,3,351.47
321,20250201,Télécommunications,3,412.83
322,20250701,Loyer,2,22231.0
323,20241201,Énergie,3,2302.65
324,20240501,Transport et livraison,2,14159.62
325,20240301,Transport et livraison,2,12125.66
326,20250401,Transport et livraison,2,12293.1
327,20250901,Entretien et réparations,1,1171.82
328,20241101,Assurances,1,1833.28
329,20250301,Télécommunications,2,784.42
330,20240301,Honoraires professionnels,1,2987.25
331,20240101,Transport et livraison,2,7069.25
332,20250501,Fournitures de bureau,1,522.29
333,20240401,Énergie,1,2642.54
334,20240801,Honoraires professionnels,1,1899.52
335,20240701,Loyer,2,21500.0
336,20250901,Énergie,1,3026.56
337,20250901,Transport et livraison,3,6088.58
338,20250401,Énergie,3,2420.46
339,20251201,Télécommunications,2,793.03
340,20240801,Transport et livraison,3,5976.28
341,20251001,Énergie,3,2397.47
342,20250601,Énergie,1,3169.7
343,20240601,Loyer,1,14200.0
344,20240401,Télécommunications,1,647.75
345,20250101,Assurances,3,1236.71
346,20240901,Entretien et réparations,3,1001.08
347,20250301,Assurances,3,1261.29
348,20251201,Énergie,2,4514.36
349,20250801,Télécommunications,3,428.94
350,20251101,Fournitures de bureau,3,358.35
351,20240601,Assurances,3,1193.17
352,20240601,Énergie,1,2968.51
353,20240501,Énergie,3,2091.06
354,20240301,Entretien et réparations,2,2074.53
355,20250801,Transport et livraison,1,14950.75
356,20240101,Télécommunications,1,604.1
357,20240201,Honoraires professionnels,1,2808.56
358,20251201,Fournitures de bureau,2,649.44
359,20250101,Fournitures de bureau,1,522.13
360,20250201,Entretien et réparations,3,984.8
361,20240801,Assurances,1,1874.9
362,20251201,Loyer,3,9202.6
363,20250201,Entretien et réparations,2,1876.24
364,20250101,Assurances,2,2468.59
365,20240301,Loyer,3,8900.0
366,20240201,Loyer,3,8900.0
367,20251201,Énergie,3,2137.7
368,20250901,Télécommunications,2,783.22
369,20250201,Logiciels et TI,1,3184.89
370,20241001,Énergie,1,3127.64
371,20250501,Énergie,2,4078.75
372,20240401,Honoraires professionnels,1,2120.57
373,20250601,Télécommunications,3,403.43
374,20241101,Fournitures de bureau,2,542.9
375,20251201,Logiciels et TI,1,3228.23
376,20240301,Transport et livraison,3,3875.73
377,20240701,Fournitures de bureau,1,545.77
378,20250901,Fournitures de bureau,1,591.17
379,20251001,Fournitures de bureau,1,642.05
380,20240401,Entretien et réparations,1,1639.78
381,20250201,Assurances,2,2492.15
382,20250601,Fournitures de bureau,2,723.11
383,20250801,Fournitures de bureau,1,489.61
384,20250601,Assurances,3,1223.55
385,20240901,Fournitures de bureau,3,277.74
386,20250701,Énergie,1,2738.14
387,20250901,Énergie,3,2305.42
388,20241201,Loyer,1,14200.0
389,20251001,Fournitures de bureau,3,361.42
390,20241001,Fournitures de bureau,3,345.16
391,20250301,Assurances,1,1945.28
392,20240301,Énergie,3,2087.08
393,20250601,Loyer,3,9202.6
394,20241001,Assurances,2,2383.22
395,20240201,Fournitures de bureau,2,598.86
396,20250201,Transport et livraison,1,7348.82
397,20240101,Honoraires professionnels,1,2097.35
398,20241001,Honoraires professionnels,1,2913.38
399,20241101,Entretien et réparations,3,836.55
400,20240201,Fournitures de bureau,3,265.59
401,20251201,Fournitures de bureau,1,492.75
402,20250901,Fournitures de bureau,2,562.73
403,20240901,Assurances,3,1176.49
404,20250401,Fournitures de bureau,2,606.7
405,20251101,Télécommunications,1,610.76
406,20240101,Loyer,2,21500.0
407,20250301,Logiciels et TI,1,3289.56
408,20240901,Entretien et réparations,2,2111.75
409,20251001,Transport et livraison,3,6872.93
410,20240501,Honoraires professionnels,1,2438.2
411,20251001,Télécommunications,1,639.39
412,20240801,Énergie,2,3887.43
413,20250601,Télécommunications,1,660.09
414,20251101,Entretien et réparations,1,1425.0
415,20250501,Honoraires professionnels,1,3136.89
416,20240101,Entretien et réparations,1,1536.48
417,20241201,Transport et livraison,1,6558.85
418,20251001,Entretien et réparations,2,2133.11
419,20240701,Énergie,2,3851.29
420,20240701,Assurances,2,2422.09
421,20250201,Honoraires professionnels,1,3208.89
422,20251201,Entretien et réparations,1,1565.29
423,20240201,Fournitures de bureau,1,479.78
424,20241101,Transport et livraison,3,4825.08
425,20250501,Assurances,2,2453.17
426,20241201,Honoraires professionnels,1,2268.32
427,20250101,Loyer,2,22231.0
428,20240601,Entretien et réparations,1,1292.42
429,20240801,Télécommunications,2,818.98
430,20250401,Énergie,1,2972.45
431,20240201,Loyer,2,21500.0
432,20240301,Logiciels et TI,1,3107.2
433,20241201,Assurances,1,1852.65
434,20251101,Loyer,3,9202.6
435,20250401,Télécommunications,2,780.47
436,20250301,Assurances,2,2480.25
437,20240201,Assurances,1,1842.65
438,20241001,Loyer,2,21500.0
439,20241201,Assurances,2,2382.33
440,20240401,Télécommunications,3,410.86
441,20251001,Assurances,3,1223.5
442,20240801,Fournitures de bureau,3,331.15
443,20250701,Transport et livraison,3,3559.1
444,20250501,Transport et livraison,1,12489.48
445,20250801,Entretien et réparations,2,2436.43
446,20240801,Loyer,1,14200.0
447,20240101,Transport et livraison,3,2558.33
448,20240501,Loyer,1,14200.0
449,20250601,Transport et livraison,2,11975.93
450,20250401,Assurances,1,1939.74
451,20241101,Télécommunications,1,633.03
452,20240101,Assurances,3,1219.63
453,20250201,Fournitures de bureau,1,532.77
454,20250401,Entretien et réparations,2,1819.29
455,20240701,Assurances,1,1846.19
456,20250301,Loyer,3,9202.6
457,20240601,Transport et livraison,3,4253.48
458,20250501,Logiciels et TI,1,3237.77
459,20250401,Fournitures de bureau,3,332.98
460,20240901,Énergie,2,3922.71
461,20240501,Fournitures de bureau,1,530.66
462,20251201,Assurances,2,2466.16
463,20250401,Transport et livraison,1,11985.38
464,20240301,Assurances,3,1207.51
465,20251101,Transport et livraison,2,15744.93
466,20250801,Assurances,2,2458.45
467,20241201,Énergie,1,3027.41
468,20240401,Fournitures de bureau,1,466.03
469,20251201,Assurances,3,1244.53
470,20240901,Fournitures de bureau,2,718.6
471,20250701,Honoraires professionnels,1,3556.51
472,20241001,Énergie,3,2225.97
473,20240401,Loyer,3,8900.0
474,20240901,Assurances,2,2377.91
475,20240801,Fournitures de bureau,2,668.92
476,20250801,Loyer,2,22231.0
477,20251101,Assurances,1,1930.29
478,20240801,Logiciels et TI,1,3168.93
479,20250601,Logiciels et TI,1,3198.6
480,20241201,Transport et livraison,3,2675.88
481,20240901,Assurances,1,1834.0
482,20250901,Loyer,1,14682.8
483,20241001,Télécommunications,2,818.43
484,20240501,Entretien et réparations,3,771.74
485,20240401,Loyer,2,21500.0
486,20250201,Transport et livraison,2,9157.23
487,20250801,Fournitures de bureau,2,561.89
488,20240701,Transport et livraison,1,7599.65
489,20250101,Entretien et réparations,2,2320.25
490,20250101,Logiciels et TI,1,3166.59
491,20250501,Assurances,3,1232.71
492,20240401,Énergie,3,2035.17
493,20251101,Fournitures de bureau,2,717.04
494,20241001,Entretien et réparations,1,1172.13
495,20250301,Entretien et réparations,3,1024.7
496,20250201,Télécommunications,1,666.31
497,20241001,Logiciels et TI,1,3027.48
498,20240401,Entretien et réparations,2,1653.87
499,20251001,Énergie,2,4135.43
500,20240701,Télécommunications,1,621.65
501,20250501,Télécommunications,3,406.79
502,20240501,Loyer,3,8900.0
503,20240601,Honoraires professionnels,1,2538.57
504,20250401,Assurances,2,2523.9
505,20240401,Transport et livraison,2,12949.77
506,20240501,Assurances,3,1190.19
507,20241001,Assurances,1,1823.76
508,20251201,Assurances,1,1910.73
509,20250901,Énergie,2,4163.25
510,20250901,Transport et livraison,2,16460.37
511,20250601,Fournitures de bureau,3,318.53
512,20250301,Télécommunications,1,656.39
513,20250801,Loyer,1,14682.8
514,20250601,Assurances,1,1886.23
515,20250101,Fournitures de bureau,3,335.2
516,20241101,Loyer,1,14200.0
517,20240601,Transport et livraison,2,14563.23
518,20251201,Fournitures de bureau,3,337.86
519,20240901,Loyer,2,21500.0
520,20240901,Transport et livraison,1,16383.67
521,20240601,Fournitures de bureau,1,470.65
522,20240801,Fournitures de bureau,1,573.54
523,20241001,Loyer,1,14200.0
524,20250801,Honoraires professionnels,1,3427.29
525,20240101,Assurances,1,1879.74
526,20250701,Fournitures de bureau,1,630.09
527,20251001,Télécommunications,2,837.9
528,20250801,Fournitures de bureau,3,364.55
529,20241101,Assurances,2,2419.94
530,20250301,Honoraires professionnels,1,2920.11
531,20250201,Énergie,3,2138.15
532,20241101,Logiciels et TI,1,3067.26
533,20251101,Énergie,2,3992.68
534,20250501,Télécommunications,1,625.77
535,20250401,Fournitures de bureau,1,555.17
536,20250801,Énergie,2,3912.92
537,20251101,Énergie,1,3199.93
538,20251001,Énergie,1,2987.64
539,20250501,Transport et livraison,2,17466.03
540,20240601,Assurances,2,2392.61
541,20250901,Entretien et réparations,2,1798.83
542,20250201,Assurances,3,1241.59
543,20240901,Logiciels et TI,1,3159.37
544,20251201,Loyer,1,14682.8
545,20240301,Loyer,1,14200.0
546,20250801,Énergie,3,2476.14
547,20241101,Transport et livraison,1,13326.28
548,20250301,Transport et livraison,3,4144.26
549,20250801,Entretien et réparations,3,951.75
550,20240901,Fournitures de bureau,1,573.24
551,20240301,Fournitures de bureau,1,505.16
552,20251201,Télécommunications,3,419.33
