rejet_id,source,cle,champ,valeur,motif,action
38,crm_clients.json,CLI-0108,province,qc,variante_ecriture,corrigee
39,crm_clients.json,CLI-0108,ville,Baie-Comeau ,casse_ou_espaces,corrigee
40,crm_clients.json,CLI-0119,province,Quebec,variante_ecriture,corrigee
41,crm_clients.json,CLI-0119,ville,Baie-Comeau ,casse_ou_espaces,corrigee
42,crm_clients.json,CLI-0119,courriel,,valeur_manquante,corrigee
43,crm_clients.json,CLI-0054,province,Quebec,variante_ecriture,corrigee
44,crm_clients.json,CLI-0054,ville,Laval ,casse_ou_espaces,corrigee
45,crm_clients.json,CLI-0056,province,Quebec,variante_ecriture,corrigee
46,crm_clients.json,CLI-0056,ville,Val-d'Or ,casse_ou_espaces,corrigee
47,crm_clients.json,CLI-0023,ville,MONCTON,casse_ou_espaces,corrigee
48,crm_clients.json,CLI-0100,province,on,variante_ecriture,corrigee
49,crm_clients.json,CLI-0100,ville,thunder bay,casse_ou_espaces,corrigee
50,crm_clients.json,CLI-0006,province,Ontario,variante_ecriture,corrigee
51,crm_clients.json,CLI-0070,province,on,variante_ecriture,corrigee
52,crm_clients.json,CLI-0070,ville,Kingston ,casse_ou_espaces,corrigee
53,crm_clients.json,CLI-0146,province,Quebec,variante_ecriture,corrigee
54,crm_clients.json,CLI-0109,province,Quebec,variante_ecriture,corrigee
55,crm_clients.json,CLI-0091,province,qc,variante_ecriture,corrigee
56,crm_clients.json,CLI-0091,ville,victoriaville,casse_ou_espaces,corrigee
57,crm_clients.json,CLI-906,raison_sociale,BOUTIQUE BOUCHERVILLE CHARLEVOIX,doublon_metier,fusionnee vers CLI-0091
58,crm_clients.json,CLI-0081,province,qc,variante_ecriture,corrigee
59,crm_clients.json,CLI-0081,ville,laval,casse_ou_espaces,corrigee
60,crm_clients.json,CLI-0081,code_postal,,valeur_manquante,corrigee
61,crm_clients.json,CLI-0022,province,Nouveau-Brunswick,variante_ecriture,corrigee
62,crm_clients.json,CLI-0022,code_postal,  ,valeur_manquante,corrigee
63,crm_clients.json,CLI-0131,province,Nouveau-Brunswick,variante_ecriture,corrigee
64,crm_clients.json,CLI-0028,ville,Trois-Rivières ,casse_ou_espaces,corrigee
65,crm_clients.json,CLI-0027,province,Québec,variante_ecriture,corrigee
66,crm_clients.json,CLI-0027,ville,victoriaville,casse_ou_espaces,corrigee
67,crm_clients.json,CLI-901,raison_sociale,CHALET SAINT-LAURENT,doublon_metier,fusionnee vers CLI-0027
68,crm_clients.json,CLI-0138,province,Quebec,variante_ecriture,corrigee
69,crm_clients.json,CLI-0138,ville,sherbrooke,casse_ou_espaces,corrigee
70,crm_clients.json,CLI-0220,province,Quebec,variante_ecriture,corrigee
71,crm_clients.json,CLI-0220,ville,Victoriaville ,casse_ou_espaces,corrigee
72,crm_clients.json,CLI-0060,province,Québec,variante_ecriture,corrigee
73,crm_clients.json,CLI-0060,ville,Shawinigan ,casse_ou_espaces,corrigee
74,crm_clients.json,CLI-0069,province,Île-du-Prince-Édouard,variante_ecriture,corrigee
75,crm_clients.json,CLI-0157,province,Quebec,variante_ecriture,corrigee
76,crm_clients.json,CLI-0157,ville,laval,casse_ou_espaces,corrigee
77,crm_clients.json,CLI-0157,courriel,a completer,courriel_invalide,corrigee
78,crm_clients.json,CLI-0071,ville,Baie-Comeau ,casse_ou_espaces,corrigee
79,crm_clients.json,CLI-0136,province,Québec,variante_ecriture,corrigee
80,crm_clients.json,CLI-0187,province,Ontario,variante_ecriture,corrigee
81,crm_clients.json,CLI-0187,ville,NORTH BAY,casse_ou_espaces,corrigee
82,crm_clients.json,CLI-908,raison_sociale,PLEIN AIR VAUDREUIL DU NORD,doublon_metier,fusionnee vers CLI-0187
83,crm_clients.json,CLI-0050,ville,Laval ,casse_ou_espaces,corrigee
84,crm_clients.json,CLI-0185,ville,SUDBURY,casse_ou_espaces,corrigee
85,crm_clients.json,CLI-0047,province,Quebec,variante_ecriture,corrigee
86,crm_clients.json,CLI-0047,ville,SHAWINIGAN,casse_ou_espaces,corrigee
87,crm_clients.json,CLI-0168,province,qc,variante_ecriture,corrigee
88,crm_clients.json,CLI-0168,ville,baie-comeau,casse_ou_espaces,corrigee
89,crm_clients.json,CLI-0067,province,Quebec,variante_ecriture,corrigee
90,crm_clients.json,CLI-0067,ville,victoriaville,casse_ou_espaces,corrigee
91,crm_clients.json,CLI-911,raison_sociale,COOPÉRATIVE ABITIBI,doublon_metier,fusionnee vers CLI-0067
92,crm_clients.json,CLI-0041,province,Quebec,variante_ecriture,corrigee
93,crm_clients.json,CLI-0113,province,Québec,variante_ecriture,corrigee
94,crm_clients.json,CLI-0113,ville,granby,casse_ou_espaces,corrigee
95,crm_clients.json,CLI-0062,province,qc,variante_ecriture,corrigee
96,crm_clients.json,CLI-0062,ville,saguenay,casse_ou_espaces,corrigee
97,crm_clients.json,CLI-0043,province,Quebec,variante_ecriture,corrigee
98,crm_clients.json,CLI-0043,courriel,None,valeur_manquante,corrigee
99,crm_clients.json,CLI-0058,ville,sudbury,casse_ou_espaces,corrigee
100,crm_clients.json,CLI-0118,ville,Saguenay ,casse_ou_espaces,corrigee
101,crm_clients.json,CLI-0188,province,qc,variante_ecriture,corrigee
102,crm_clients.json,CLI-0195,province,Québec,variante_ecriture,corrigee
103,crm_clients.json,CLI-0195,ville,SAINT-JEAN-SUR-RICHELIEU,casse_ou_espaces,corrigee
104,crm_clients.json,CLI-0084,province,qc,variante_ecriture,corrigee
105,crm_clients.json,CLI-0084,ville,QUÉBEC,casse_ou_espaces,corrigee
106,crm_clients.json,CLI-0057,ville,Rimouski ,casse_ou_espaces,corrigee
107,crm_clients.json,CLI-0057,courriel,n/a,courriel_invalide,corrigee
108,crm_clients.json,CLI-0077,province,Québec,variante_ecriture,corrigee
109,crm_clients.json,CLI-0077,ville,TROIS-RIVIÈRES,casse_ou_espaces,corrigee
110,crm_clients.json,CLI-0077,courriel,n/a,courriel_invalide,corrigee
111,crm_clients.json,CLI-0082,province,Québec,variante_ecriture,corrigee
112,crm_clients.json,CLI-0082,ville,SAINT-JEAN-SUR-RICHELIEU,casse_ou_espaces,corrigee
113,crm_clients.json,CLI-0082,courriel,n/a,courriel_invalide,corrigee
114,crm_clients.json,CLI-0048,ville,Drummondville ,casse_ou_espaces,corrigee
115,crm_clients.json,CLI-0101,province,Québec,variante_ecriture,corrigee
116,crm_clients.json,CLI-0183,ville,ottawa,casse_ou_espaces,corrigee
117,crm_clients.json,CLI-0183,code_postal,None,valeur_manquante,corrigee
118,crm_clients.json,CLI-0134,province,qc,variante_ecriture,corrigee
119,crm_clients.json,CLI-0134,ville,Sherbrooke ,casse_ou_espaces,corrigee
120,crm_clients.json,CLI-0110,province,qc,variante_ecriture,corrigee
121,crm_clients.json,CLI-0110,ville,Victoriaville ,casse_ou_espaces,corrigee
122,crm_clients.json,CLI-0110,courriel,,valeur_manquante,corrigee
123,crm_clients.json,CLI-0065,ville,moncton,casse_ou_espaces,corrigee
124,crm_clients.json,CLI-0008,province,Québec,variante_ecriture,corrigee
125,crm_clients.json,CLI-0008,ville,victoriaville,casse_ou_espaces,corrigee
126,crm_clients.json,CLI-0042,ville,ottawa,casse_ou_espaces,corrigee
127,crm_clients.json,CLI-0178,province,Québec,variante_ecriture,corrigee
128,crm_clients.json,CLI-0160,province,on,variante_ecriture,corrigee
129,crm_clients.json,CLI-0160,ville,KINGSTON,casse_ou_espaces,corrigee
130,crm_clients.json,CLI-0189,province,qc,variante_ecriture,corrigee
131,crm_clients.json,CLI-0189,ville,Drummondville ,casse_ou_espaces,corrigee
132,crm_clients.json,CLI-0133,province,Ontario,variante_ecriture,corrigee
133,crm_clients.json,CLI-0133,ville,OTTAWA,casse_ou_espaces,corrigee
134,crm_clients.json,CLI-909,raison_sociale,PLEIN AIR DU NORD,doublon_metier,fusionnee vers CLI-0133
135,crm_clients.json,CLI-0216,province,Quebec,variante_ecriture,corrigee
136,crm_clients.json,CLI-0216,ville,laval,casse_ou_espaces,corrigee
137,crm_clients.json,CLI-0210,province,Québec,variante_ecriture,corrigee
138,crm_clients.json,CLI-0150,province,Quebec,variante_ecriture,corrigee
139,crm_clients.json,CLI-0072,province,Quebec,variante_ecriture,corrigee
140,crm_clients.json,CLI-0072,ville,Laval ,casse_ou_espaces,corrigee
141,crm_clients.json,CLI-0016,ville,sept-îles,casse_ou_espaces,corrigee
142,crm_clients.json,CLI-0016,code_postal,,valeur_manquante,corrigee
143,crm_clients.json,CLI-0064,ville,QUÉBEC,casse_ou_espaces,corrigee
144,crm_clients.json,CLI-0177,province,Quebec,variante_ecriture,corrigee
145,crm_clients.json,CLI-0145,province,qc,variante_ecriture,corrigee
146,crm_clients.json,CLI-0145,courriel,a completer,courriel_invalide,corrigee
147,crm_clients.json,CLI-0167,province,Ontario,variante_ecriture,corrigee
148,crm_clients.json,CLI-0167,ville,kingston,casse_ou_espaces,corrigee
149,crm_clients.json,CLI-0167,code_postal,None,valeur_manquante,corrigee
150,crm_clients.json,CLI-0037,province,Nouveau-Brunswick,variante_ecriture,corrigee
151,crm_clients.json,CLI-0037,ville,BATHURST,casse_ou_espaces,corrigee
152,crm_clients.json,CLI-0194,province,Île-du-Prince-Édouard,variante_ecriture,corrigee
153,crm_clients.json,CLI-0096,ville,Fredericton ,casse_ou_espaces,corrigee
154,crm_clients.json,CLI-0096,code_postal,,valeur_manquante,corrigee
155,crm_clients.json,CLI-0126,province,qc,variante_ecriture,corrigee
156,crm_clients.json,CLI-0126,ville,Saint-Jean-sur-Richelieu ,casse_ou_espaces,corrigee
157,crm_clients.json,CLI-0203,province,qc,variante_ecriture,corrigee
158,crm_clients.json,CLI-0203,ville,LÉVIS,casse_ou_espaces,corrigee
159,crm_clients.json,CLI-0217,province,Quebec,variante_ecriture,corrigee
160,crm_clients.json,CLI-0217,ville,MONTRÉAL,casse_ou_espaces,corrigee
161,crm_clients.json,CLI-0207,province,Quebec,variante_ecriture,corrigee
162,crm_clients.json,CLI-905,raison_sociale,NATURE HULL LTÉE,doublon_metier,fusionnee vers CLI-0207
163,crm_clients.json,CLI-0019,province,Ontario,variante_ecriture,corrigee
164,crm_clients.json,CLI-0019,ville,NORTH BAY,casse_ou_espaces,corrigee
165,crm_clients.json,CLI-0019,courriel,None,valeur_manquante,corrigee
166,crm_clients.json,CLI-0099,ville,North Bay ,casse_ou_espaces,corrigee
167,crm_clients.json,CLI-0191,province,Québec,variante_ecriture,corrigee
168,crm_clients.json,CLI-0078,province,Québec,variante_ecriture,corrigee
169,crm_clients.json,CLI-0078,ville,Saint-Jérôme ,casse_ou_espaces,corrigee
170,crm_clients.json,CLI-0130,ville,shawinigan,casse_ou_espaces,corrigee
171,crm_clients.json,CLI-0190,province,Quebec,variante_ecriture,corrigee
172,crm_clients.json,CLI-0053,ville,Bathurst ,casse_ou_espaces,corrigee
173,crm_clients.json,CLI-0174,province,qc,variante_ecriture,corrigee
174,crm_clients.json,CLI-0174,ville,Saguenay ,casse_ou_espaces,corrigee
175,crm_clients.json,CLI-0001,province,Québec,variante_ecriture,corrigee
176,crm_clients.json,CLI-0001,ville,Victoriaville ,casse_ou_espaces,corrigee
177,crm_clients.json,CLI-0139,province,Nouveau-Brunswick,variante_ecriture,corrigee
178,crm_clients.json,CLI-0139,ville,Moncton ,casse_ou_espaces,corrigee
179,crm_clients.json,CLI-0005,province,Québec,variante_ecriture,corrigee
180,crm_clients.json,CLI-0005,ville,baie-comeau,casse_ou_espaces,corrigee
181,crm_clients.json,CLI-0009,province,Quebec,variante_ecriture,corrigee
182,crm_clients.json,CLI-0009,ville,VAL-D'OR,casse_ou_espaces,corrigee
183,crm_clients.json,CLI-0080,province,Québec,variante_ecriture,corrigee
184,crm_clients.json,CLI-0080,ville,Drummondville ,casse_ou_espaces,corrigee
185,crm_clients.json,CLI-0080,courriel,n/a,courriel_invalide,corrigee
186,crm_clients.json,CLI-904,raison_sociale,RANDONNEURS VERDUN ABITIBI,doublon_metier,fusionnee vers CLI-0080
187,crm_clients.json,CLI-0120,province,Québec,variante_ecriture,corrigee
188,crm_clients.json,CLI-0120,ville,lévis,casse_ou_espaces,corrigee
189,crm_clients.json,CLI-0147,province,qc,variante_ecriture,corrigee
190,crm_clients.json,CLI-0199,province,Québec,variante_ecriture,corrigee
191,crm_clients.json,CLI-0199,ville,Shawinigan ,casse_ou_espaces,corrigee
192,crm_clients.json,CLI-0165,province,Québec,variante_ecriture,corrigee
193,crm_clients.json,CLI-0117,province,qc,variante_ecriture,corrigee
194,crm_clients.json,CLI-0117,ville,saguenay,casse_ou_espaces,corrigee
195,crm_clients.json,CLI-0032,province,Quebec,variante_ecriture,corrigee
196,crm_clients.json,CLI-0032,ville,SHAWINIGAN,casse_ou_espaces,corrigee
197,crm_clients.json,CLI-914,raison_sociale,BASE CAMP LAURENTIDES,doublon_metier,fusionnee vers CLI-0032
198,crm_clients.json,CLI-0025,ville,Sudbury ,casse_ou_espaces,corrigee
199,crm_clients.json,CLI-0025,code_postal,None,valeur_manquante,corrigee
200,crm_clients.json,CLI-0204,province,Quebec,variante_ecriture,corrigee
201,crm_clients.json,CLI-0204,ville,SEPT-ÎLES,casse_ou_espaces,corrigee
202,crm_clients.json,CLI-0075,province,Québec,variante_ecriture,corrigee
203,crm_clients.json,CLI-0075,ville,terrebonne,casse_ou_espaces,corrigee
204,crm_clients.json,CLI-0149,province,Québec,variante_ecriture,corrigee
205,crm_clients.json,CLI-910,raison_sociale,AVENTURE JONQUIÈRE ABITIBI,doublon_metier,fusionnee vers CLI-0149
206,crm_clients.json,CLI-0015,province,Ontario,variante_ecriture,corrigee
207,crm_clients.json,CLI-0015,courriel,None,valeur_manquante,corrigee
208,crm_clients.json,CLI-0104,province,qc,variante_ecriture,corrigee
209,crm_clients.json,CLI-0104,ville,SEPT-ÎLES,casse_ou_espaces,corrigee
210,crm_clients.json,CLI-0013,province,Québec,variante_ecriture,corrigee
211,crm_clients.json,CLI-0013,ville,Rimouski ,casse_ou_espaces,corrigee
212,crm_clients.json,CLI-0219,province,Québec,variante_ecriture,corrigee
213,crm_clients.json,CLI-0200,province,Québec,variante_ecriture,corrigee
214,crm_clients.json,CLI-0200,ville,LAVAL,casse_ou_espaces,corrigee
215,crm_clients.json,CLI-0193,province,qc,variante_ecriture,corrigee
216,crm_clients.json,CLI-0211,province,Quebec,variante_ecriture,corrigee
217,crm_clients.json,CLI-0211,ville,québec,casse_ou_espaces,corrigee
218,crm_clients.json,CLI-0088,province,Quebec,variante_ecriture,corrigee
219,crm_clients.json,CLI-0088,ville,Gatineau ,casse_ou_espaces,corrigee
220,crm_clients.json,CLI-0182,province,Quebec,variante_ecriture,corrigee
221,crm_clients.json,CLI-0182,ville,laval,casse_ou_espaces,corrigee
222,crm_clients.json,CLI-0172,province,qc,variante_ecriture,corrigee
223,crm_clients.json,CLI-0172,ville,Rimouski ,casse_ou_espaces,corrigee
224,crm_clients.json,CLI-0171,province,Québec,variante_ecriture,corrigee
225,crm_clients.json,CLI-0171,code_postal,None,valeur_manquante,corrigee
226,crm_clients.json,CLI-0046,province,qc,variante_ecriture,corrigee
227,crm_clients.json,CLI-0046,ville,sept-îles,casse_ou_espaces,corrigee
228,crm_clients.json,CLI-0011,province,Quebec,variante_ecriture,corrigee
229,crm_clients.json,CLI-0186,province,Québec,variante_ecriture,corrigee
230,crm_clients.json,CLI-0186,ville,Rouyn-Noranda ,casse_ou_espaces,corrigee
231,crm_clients.json,CLI-907,raison_sociale,GRAND AIR GASPÉSIE,doublon_metier,fusionnee vers CLI-0111
232,crm_clients.json,CLI-0123,province,Quebec,variante_ecriture,corrigee
233,crm_clients.json,CLI-0123,ville,Shawinigan ,casse_ou_espaces,corrigee
234,crm_clients.json,CLI-0123,courriel,,valeur_manquante,corrigee
235,crm_clients.json,CLI-0068,province,qc,variante_ecriture,corrigee
236,crm_clients.json,CLI-0068,ville,saguenay,casse_ou_espaces,corrigee
237,crm_clients.json,CLI-0031,province,qc,variante_ecriture,corrigee
238,crm_clients.json,CLI-0031,ville,VAL-D'OR,casse_ou_espaces,corrigee
239,crm_clients.json,CLI-0049,province,on,variante_ecriture,corrigee
240,crm_clients.json,CLI-0049,ville,TORONTO,casse_ou_espaces,corrigee
241,crm_clients.json,CLI-0044,province,Ontario,variante_ecriture,corrigee
242,crm_clients.json,CLI-0044,ville,OTTAWA,casse_ou_espaces,corrigee
243,crm_clients.json,CLI-0115,ville,shawinigan,casse_ou_espaces,corrigee
244,crm_clients.json,CLI-0192,province,qc,variante_ecriture,corrigee
245,crm_clients.json,CLI-0196,ville,LAVAL,casse_ou_espaces,corrigee
246,crm_clients.json,CLI-0040,province,Quebec,variante_ecriture,corrigee
247,crm_clients.json,CLI-0164,province,Quebec,variante_ecriture,corrigee
248,crm_clients.json,CLI-0164,ville,GATINEAU,casse_ou_espaces,corrigee
249,crm_clients.json,CLI-0164,courriel,achats@,courriel_invalide,corrigee
250,crm_clients.json,CLI-0151,province,Île-du-Prince-Édouard,variante_ecriture,corrigee
251,crm_clients.json,CLI-0215,province,Quebec,variante_ecriture,corrigee
252,crm_clients.json,CLI-0215,ville,Victoriaville ,casse_ou_espaces,corrigee
253,crm_clients.json,CLI-0215,code_postal,  ,valeur_manquante,corrigee
254,crm_clients.json,CLI-0039,ville,QUÉBEC,casse_ou_espaces,corrigee
255,crm_clients.json,CLI-0129,province,qc,variante_ecriture,corrigee
256,crm_clients.json,CLI-0129,ville,rimouski,casse_ou_espaces,corrigee
257,crm_clients.json,CLI-0010,province,Quebec,variante_ecriture,corrigee
258,crm_clients.json,CLI-0010,courriel,,valeur_manquante,corrigee
259,crm_clients.json,CLI-0085,province,Québec,variante_ecriture,corrigee
260,crm_clients.json,CLI-0085,ville,SAINT-JEAN-SUR-RICHELIEU,casse_ou_espaces,corrigee
261,crm_clients.json,CLI-0105,province,on,variante_ecriture,corrigee
262,crm_clients.json,CLI-0105,ville,Kingston ,casse_ou_espaces,corrigee
263,crm_clients.json,CLI-0105,code_postal,None,valeur_manquante,corrigee
264,crm_clients.json,CLI-0090,province,qc,variante_ecriture,corrigee
265,crm_clients.json,CLI-0090,ville,saint-jean-sur-richelieu,casse_ou_espaces,corrigee
266,crm_clients.json,CLI-0122,province,Québec,variante_ecriture,corrigee
267,crm_clients.json,CLI-0122,ville,SAINT-JEAN-SUR-RICHELIEU,casse_ou_espaces,corrigee
268,crm_clients.json,CLI-0066,ville,Bathurst ,casse_ou_espaces,corrigee
269,crm_clients.json,CLI-903,raison_sociale,GRAND AIR APPALACHES,doublon_metier,fusionnee vers CLI-0066
270,crm_clients.json,CLI-0184,province,Québec,variante_ecriture,corrigee
271,crm_clients.json,CLI-0184,ville,victoriaville,casse_ou_espaces,corrigee
272,crm_clients.json,CLI-0116,province,Québec,variante_ecriture,corrigee
273,crm_clients.json,CLI-0116,ville,trois-rivières,casse_ou_espaces,corrigee
274,crm_clients.json,CLI-0094,province,qc,variante_ecriture,corrigee
275,crm_clients.json,CLI-0051,ville,gatineau,casse_ou_espaces,corrigee
276,crm_clients.json,CLI-0209,ville,Val-d'Or ,casse_ou_espaces,corrigee
277,crm_clients.json,CLI-0218,province,Québec,variante_ecriture,corrigee
278,crm_clients.json,CLI-0218,ville,saguenay,casse_ou_espaces,corrigee
279,crm_clients.json,CLI-0218,courriel,,valeur_manquante,corrigee
280,crm_clients.json,CLI-0007,province,Nouveau-Brunswick,variante_ecriture,corrigee
281,crm_clients.json,CLI-0007,ville,MONCTON,casse_ou_espaces,corrigee
282,crm_clients.json,CLI-0169,ville,Lévis ,casse_ou_espaces,corrigee
283,crm_clients.json,CLI-0173,province,Quebec,variante_ecriture,corrigee
284,crm_clients.json,CLI-0173,ville,TROIS-RIVIÈRES,casse_ou_espaces,corrigee
285,crm_clients.json,CLI-0021,ville,Trois-Rivières ,casse_ou_espaces,corrigee
286,crm_clients.json,CLI-0142,province,qc,variante_ecriture,corrigee
287,crm_clients.json,CLI-0142,ville,lévis,casse_ou_espaces,corrigee
288,crm_clients.json,CLI-0142,courriel,,valeur_manquante,corrigee
289,crm_clients.json,CLI-0152,province,Quebec,variante_ecriture,corrigee
290,crm_clients.json,CLI-0152,ville,Laval ,casse_ou_espaces,corrigee
291,crm_clients.json,CLI-0055,province,qc,variante_ecriture,corrigee
292,crm_clients.json,CLI-0055,ville,drummondville,casse_ou_espaces,corrigee
293,crm_clients.json,CLI-0055,courriel,n/a,courriel_invalide,corrigee
294,crm_clients.json,CLI-0087,province,qc,variante_ecriture,corrigee
295,crm_clients.json,CLI-0087,ville,LAVAL,casse_ou_espaces,corrigee
296,crm_clients.json,CLI-0179,ville,saint-jean-sur-richelieu,casse_ou_espaces,corrigee
297,crm_clients.json,CLI-0179,code_postal,  ,valeur_manquante,corrigee
298,crm_clients.json,CLI-0198,province,Québec,variante_ecriture,corrigee
299,crm_clients.json,CLI-0198,ville,MONTRÉAL,casse_ou_espaces,corrigee
300,crm_clients.json,CLI-0089,province,qc,variante_ecriture,corrigee
301,crm_clients.json,CLI-0089,ville,SAINT-JEAN-SUR-RICHELIEU,casse_ou_espaces,corrigee
302,crm_clients.json,CLI-0143,ville,DRUMMONDVILLE,casse_ou_espaces,corrigee
303,crm_clients.json,CLI-0141,province,qc,variante_ecriture,corrigee
304,crm_clients.json,CLI-0141,ville,rouyn-noranda,casse_ou_espaces,corrigee
305,crm_clients.json,CLI-0154,province,Quebec,variante_ecriture,corrigee
306,crm_clients.json,CLI-0154,ville,val-d'or,casse_ou_espaces,corrigee
307,crm_clients.json,CLI-0166,province,qc,variante_ecriture,corrigee
308,crm_clients.json,CLI-0166,ville,DRUMMONDVILLE,casse_ou_espaces,corrigee
309,crm_clients.json,CLI-0166,code_postal,,valeur_manquante,corrigee
310,crm_clients.json,CLI-0175,province,Québec,variante_ecriture,corrigee
311,crm_clients.json,CLI-0175,ville,Laval ,casse_ou_espaces,corrigee
312,crm_clients.json,CLI-0140,province,Quebec,variante_ecriture,corrigee
313,crm_clients.json,CLI-0018,province,Québec,variante_ecriture,corrigee
314,crm_clients.json,CLI-0018,ville,Rimouski ,casse_ou_espaces,corrigee
315,crm_clients.json,CLI-0158,province,Québec,variante_ecriture,corrigee
316,crm_clients.json,CLI-0030,province,qc,variante_ecriture,corrigee
317,crm_clients.json,CLI-0030,ville,Lévis ,casse_ou_espaces,corrigee
318,crm_clients.json,CLI-0098,province,Quebec,variante_ecriture,corrigee
319,crm_clients.json,CLI-0098,ville,Drummondville ,casse_ou_espaces,corrigee
320,crm_clients.json,CLI-0052,ville,NORTH BAY,casse_ou_espaces,corrigee
321,crm_clients.json,CLI-0156,ville,bathurst,casse_ou_espaces,corrigee
322,crm_clients.json,CLI-0144,ville,QUÉBEC,casse_ou_espaces,corrigee
323,crm_clients.json,CLI-0012,province,Quebec,variante_ecriture,corrigee
324,crm_clients.json,CLI-0012,ville,Sept-Îles ,casse_ou_espaces,corrigee
325,crm_clients.json,CLI-0155,province,Quebec,variante_ecriture,corrigee
326,crm_clients.json,CLI-0155,ville,SEPT-ÎLES,casse_ou_espaces,corrigee
327,crm_clients.json,CLI-0095,province,qc,variante_ecriture,corrigee
328,crm_clients.json,CLI-0095,ville,rouyn-noranda,casse_ou_espaces,corrigee
329,crm_clients.json,CLI-0017,ville,Drummondville ,casse_ou_espaces,corrigee
330,crm_clients.json,CLI-0201,province,Ontario,variante_ecriture,corrigee
331,crm_clients.json,CLI-0201,ville,KINGSTON,casse_ou_espaces,corrigee
332,crm_clients.json,CLI-0163,province,Québec,variante_ecriture,corrigee
333,crm_clients.json,CLI-0163,ville,SHERBROOKE,casse_ou_espaces,corrigee
334,crm_clients.json,CLI-0038,province,Québec,variante_ecriture,corrigee
335,crm_clients.json,CLI-0038,ville,montréal,casse_ou_espaces,corrigee
336,crm_clients.json,CLI-0125,province,Québec,variante_ecriture,corrigee
337,crm_clients.json,CLI-0125,ville,gatineau,casse_ou_espaces,corrigee
338,crm_clients.json,CLI-0127,province,Québec,variante_ecriture,corrigee
339,crm_clients.json,CLI-0127,ville,Sept-Îles ,casse_ou_espaces,corrigee
340,crm_clients.json,CLI-0127,courriel,a completer,courriel_invalide,corrigee
341,crm_clients.json,CLI-0202,province,Québec,variante_ecriture,corrigee
342,crm_clients.json,CLI-0202,ville,Victoriaville ,casse_ou_espaces,corrigee
343,crm_clients.json,CLI-0202,courriel,None,valeur_manquante,corrigee
344,crm_clients.json,CLI-0035,province,Québec,variante_ecriture,corrigee
345,crm_clients.json,CLI-0181,ville,Sudbury ,casse_ou_espaces,corrigee
346,crm_clients.json,CLI-0212,province,qc,variante_ecriture,corrigee
