stock_id,date_id,entrepot_id,produit_id,quantite,cout_unitaire,valeur_stock,seuil_minimum,sous_seuil
49,20241231,1,36,27,159.06,4294.62,19,0
50,20241031,3,36,39,159.06,6203.34,8,0
51,20240331,2,157,28,24.69,691.32,12,0
52,20250430,3,163,30,300.77,9023.1,4,0
53,20250131,1,145,35,111.12,3889.2,16,0
54,20250630,3,50,117,297.82,34844.94,8,0
55,20250131,1,180,45,95.3,4288.5,15,0
56,20250228,3,2,0,298.72,0.0,3,1
57,20250630,3,141,21,314.24,6599.04,4,0
58,20241231,3,55,18,209.35,3768.3,7,0
59,20240331,2,57,85,19.26,1637.1,16,0
60,20250831,1,108,11,169.96,1869.56,14,1
61,20250228,1,139,17,203.11,3452.87,17,0
62,20250430,3,28,94,143.73,13510.62,6,0
63,20250731,2,175,36,96.85,3486.6,16,0
64,20241130,1,67,68,23.77,1616.36,14,0
65,20250930,2,23,7,244.32,1710.24,13,1
66,20240331,3,103,11,151.66,1668.26,5,0
67,20250430,1,132,6,128.45,770.7,14,1
68,20250531,1,5,78,208.35,16251.3,13,0
69,20250430,3,136,9,112.45,1012.05,5,0
70,20240430,1,147,17,339.78,5776.26,10,0
71,20251231,3,150,84,347.06,29153.04,6,0
72,20250131,3,37,39,16.65,649.35,9,0
73,20241231,3,54,8,257.53,2060.24,7,0
74,20240131,3,16,19,219.41,4168.79,4,0
75,20240630,3,83,27,157.14,4242.78,4,0
76,20250131,2,32,14,347.11,4859.54,12,0
77,20241130,2,39,25,119.66,2991.5,18,0
78,20241231,2,95,9,53.64,482.76,7,0
79,20250831,3,177,25,215.66,5391.5,5,0
80,20240630,1,72,23,196.62,4522.26,13,0
81,20250131,1,165,15,107.92,1618.8,12,0
82,20251031,2,109,4,310.2,1240.8,10,1
83,20240229,3,83,12,157.14,1885.68,4,0
84,20240430,1,130,2,317.23,634.46,14,1
85,20240430,3,126,60,130.29,7817.4,5,0
86,20250228,2,113,11,281.81,3099.91,9,0
87,20250430,3,89,1,160.95,160.95,5,1
88,20240331,3,137,0,25.06,0.0,5,1
89,20240229,3,179,31,226.59,7024.29,5,0
90,20250831,3,132,15,128.45,1926.75,6,0
91,20240331,1,49,110,30.58,3363.8,18,0
92,20241130,2,67,57,23.77,1354.89,13,0
93,20240930,2,92,68,140.04,9522.72,14,0
94,20250430,3,51,124,79.76,9890.24,8,0
95,20251031,3,179,46,231.35,10642.1,5,0
96,20251031,3,127,79,174.31,13770.49,6,0
97,20250531,1,106,62,340.08,21084.96,14,0
98,20250131,2,57,4,19.66,78.64,16,1
99,20250831,1,13,8,315.34,2522.72,12,1
100,20240630,1,102,2,255.33,510.66,10,1
101,20250930,1,46,21,372.17,7815.57,17,0
102,20241031,1,173,45,207.98,9359.1,16,0
103,20240630,1,98,16,257.11,4113.76,15,0
104,20250930,2,43,10,300.28,3002.8,14,1
105,20251130,1,41,3,163.24,489.72,16,1
106,20240731,3,36,123,159.06,19564.38,8,0
107,20240630,2,156,14,161.25,2257.5,11,0
108,20240331,1,127,16,170.72,2731.52,15,0
109,20250731,2,124,6,153.77,922.62,12,1
110,20251231,3,148,86,302.28,25996.08,5,0
111,20240731,1,15,78,318.69,24857.82,14,0
112,20241130,3,92,89,140.04,12463.56,6,0
113,20240831,3,108,17,166.46,2829.82,6,0
114,20240930,2,86,60,80.72,4843.2,11,0
115,20240831,1,117,11,98.28,1081.08,10,0
116,20240331,1,173,28,207.98,5823.44,16,0
117,20250731,2,86,13,97.25,1264.25,11,0
118,20250630,3,120,81,186.72,15124.32,5,0
119,20241231,1,159,42,166.16,6978.72,20,0
120,20240131,2,68,15,284.28,4264.2,12,0
121,20250731,2,55,94,213.75,20092.5,15,0
122,20250228,3,124,1,153.77,153.77,5,1
123,20240331,1,125,16,285.25,4564.0,12,0
124,20250331,2,153,9,116.0,1044.0,10,1
125,20250630,2,146,2,225.52,451.04,14,1
126,20250930,2,38,19,319.94,6078.86,20,1
127,20250131,1,10,0,88.91,0.0,12,1
128,20240630,2,69,12,198.5,2382.0,11,0
129,20241231,3,99,10,287.66,2876.6,5,0
130,20250131,1,51,23,79.76,1834.48,18,0
131,20250630,1,131,12,37.08,444.96,14,1
132,20240831,3,74,92,108.27,9960.84,5,0
133,20250930,3,27,28,254.96,7138.88,6,0
134,20240229,1,165,40,105.7,4228.0,12,0
135,20241130,1,159,52,166.16,8640.32,20,0
136,20241231,1,58,0,146.46,0.0,18,1
137,20250531,1,161,24,64.16,1539.84,14,0
138,20250531,1,166,37,217.35,8041.95,13,0
139,20240630,1,82,19,278.39,5289.41,11,0
140,20251130,1,116,19,60.17,1143.23,16,0
141,20251031,1,156,58,164.64,9549.12,12,0
142,20240731,2,165,18,105.7,1902.6,12,0
143,20250331,1,13,11,315.34,3468.74,12,1
144,20240930,2,113,2,276.01,552.02,9,1
145,20250930,1,26,11,246.82,2715.02,11,0
146,20250228,1,60,23,246.98,5680.54,17,0
147,20250331,1,31,5,300.62,1503.1,14,1
148,20240229,2,21,0,201.55,0.0,11,1
149,20241231,2,33,11,110.89,1219.79,13,1
150,20250228,1,143,8,220.45,1763.6,13,1
151,20250731,3,162,51,68.38,3487.38,6,0
152,20240831,1,104,7,75.12,525.84,11,1
153,20250731,2,83,13,189.32,2461.16,10,0
154,20250731,2,139,15,203.11,3046.65,16,1
155,20250831,3,148,0,302.28,0.0,5,1
156,20250531,3,156,13,164.64,2140.32,5,0
157,20250430,1,156,5,164.64,823.2,12,1
158,20250831,2,80,48,208.57,10011.36,11,0
159,20240930,1,182,30,56.87,1706.1,14,0
160,20240131,1,148,13,296.06,3848.78,12,0
161,20241130,1,68,59,284.28,16772.52,13,0
162,20250228,2,77,6,171.09,1026.54,13,1
163,20241231,3,116,0,58.93,0.0,7,1
164,20241231,1,64,30,69.43,2082.9,15,0
165,20251130,2,42,17,267.02,4539.34,22,1
166,20250930,1,2,6,298.72,1792.32,7,1
167,20250930,1,110,11,182.67,2009.37,12,1
168,20240630,1,124,84,150.61,12651.24,12,0
169,20250731,2,154,3,329.92,989.76,12,1
170,20241031,1,141,57,307.78,17543.46,10,0
171,20240831,1,128,1,77.25,77.25,10,1
172,20250930,3,68,89,342.49,30481.61,5,0
173,20250331,1,116,4,60.17,240.68,16,1
174,20240229,3,100,6,306.44,1838.64,4,0
175,20250831,1,57,89,23.2,2064.8,17,0
176,20251130,1,45,13,78.37,1018.81,16,1
177,20240930,2,105,0,166.12,0.0,11,1
178,20240731,3,9,42,66.28,2783.76,3,0
179,20240731,3,50,78,291.69,22751.82,8,0
180,20250930,1,64,15,70.89,1063.35,15,0
181,20250430,1,72,13,200.75,2609.75,13,0
182,20250630,1,87,0,215.66,0.0,15,1
183,20250531,1,86,2,97.25,194.5,12,1
184,20251130,1,92,66,168.72,11135.52,15,0
185,20250430,1,35,70,30.63,2144.1,19,0
186,20250131,1,169,21,282.28,5927.88,14,0
187,20250831,2,54,68,262.94,17879.92,16,0
188,20250930,2,32,4,409.59,1638.36,12,1
189,20240630,3,160,69,40.71,2808.99,6,0
190,20250228,1,129,16,46.45,743.2,20,1
191,20250430,2,128,10,78.87,788.7,10,0
192,20240930,2,149,70,108.85,7619.5,17,0
193,20250531,2,173,40,212.35,8494.0,15,0
194,20250831,2,121,3,44.65,133.95,9,1
195,20250131,1,117,0,100.34,0.0,10,1
196,20240731,1,83,9,157.14,1414.26,11,1
197,20250331,3,107,15,150.54,2258.1,6,0
198,20240430,2,157,12,24.69,296.28,12,0
199,20250331,1,12,0,69.62,0.0,11,1
200,20250831,1,117,0,100.34,0.0,10,1
201,20240930,3,143,72,215.92,15546.24,5,0
202,20250630,2,137,5,25.59,127.95,13,1
203,20250331,2,36,91,162.4,14778.4,18,0
204,20240930,1,160,20,40.71,814.2,15,0
205,20240930,3,109,17,303.82,5164.94,4,0
206,20250630,2,79,6,147.87,887.22,12,1
207,20251130,2,146,51,225.52,11501.52,14,0
208,20241231,2,164,11,98.38,1082.18,10,0
209,20241231,2,124,0,150.61,0.0,12,1
210,20250331,1,69,13,202.67,2634.71,12,0
211,20250331,1,140,9,41.26,371.34,12,1
212,20240930,2,2,1,292.58,292.58,7,1
213,20240131,3,178,44,116.97,5146.68,7,0
214,20240131,3,167,25,205.42,5135.5,5,0
215,20251130,1,34,14,182.99,2561.86,13,0
216,20250331,1,7,10,57.14,571.4,10,0
217,20250131,1,34,8,155.08,1240.64,13,1
218,20240831,2,67,60,23.77,1426.2,13,0
219,20241130,1,30,17,98.88,1680.96,11,0
220,20240229,2,40,9,268.77,2418.93,17,1
221,20250930,2,48,13,33.51,435.63,15,1
222,20250731,1,74,4,130.44,521.76,13,1
223,20251031,1,91,72,336.22,24207.84,11,0
224,20240531,1,137,0,25.06,0.0,13,1
225,20250228,3,177,47,215.66,10136.02,5,0
226,20241130,1,43,26,294.1,7646.6,15,0
227,20250331,1,91,18,284.93,5128.74,11,0
228,20250228,3,94,11,124.3,1367.3,5,0
229,20241130,3,19,15,170.21,2553.15,5,0
230,20250430,1,135,6,40.73,244.38,15,1
231,20250228,2,2,6,298.72,1792.32,7,1
232,20240229,2,41,10,159.88,1598.8,15,1
233,20250731,3,118,13,343.17,4461.21,5,0
234,20241130,1,24,9,185.46,1669.14,12,1
235,20250131,2,156,6,164.64,987.84,11,1
236,20240930,2,58,18,146.46,2636.28,17,0
237,20250228,2,167,23,209.73,4823.79,12,0
238,20251031,1,2,8,298.72,2389.76,7,0
239,20250131,2,83,8,160.44,1283.52,10,1
240,20250331,2,48,62,33.51,2077.62,15,0
241,20240131,2,8,8,128.94,1031.52,9,1
242,20240430,2,56,94,287.11,26988.34,18,0
243,20250531,2,152,7,271.4,1899.8,9,1
244,20240229,1,57,14,19.26,269.64,17,1
245,20240930,1,21,5,201.55,1007.75,12,1
246,20240229,1,136,19,110.14,2092.66,12,0
247,20250531,2,142,12,100.93,1211.16,10,0
248,20250930,1,48,6,33.51,201.06,16,1
249,20250831,3,112,4,67.02,268.08,5,1
250,20240430,3,50,116,291.69,33836.04,8,0
251,20251130,2,176,23,328.78,7561.94,16,0
252,20240731,2,90,6,57.58,345.48,11,1
253,20241130,1,52,0,179.27,0.0,17,1
254,20240229,2,128,17,77.25,1313.25,10,0
255,20250630,2,127,10,174.31,1743.1,14,1
256,20250731,2,85,7,49.28,344.96,9,1
257,20240131,3,26,16,241.74,3867.84,4,0
258,20250630,1,169,46,282.28,12984.88,14,0
259,20240430,3,8,65,128.94,8381.1,4,0
260,20240930,3,55,25,209.35,5233.75,7,0
261,20241031,1,43,0,294.1,0.0,15,1
262,20240831,1,154,5,323.13,1615.65,13,1
263,20250430,1,93,7,134.96,944.72,10,1
264,20241031,2,77,63,167.57,10556.91,13,0
265,20241231,3,126,0,130.29,0.0,5,1
266,20250131,1,61,24,76.81,1843.44,18,0
267,20240731,1,99,25,287.66,7191.5,12,0
268,20250131,2,163,13,300.77,3910.01,10,0
269,20250430,1,48,83,33.51,2781.33,16,0
270,20250930,2,109,8,310.2,2481.6,10,1
271,20251231,1,137,86,25.59,2200.74,13,0
272,20250930,2,108,3,169.96,509.88,13,1
273,20251231,1,96,15,205.7,3085.5,10,0
274,20241130,1,82,52,278.39,14476.28,11,0
275,20240131,1,49,34,30.58,1039.72,18,0
276,20250831,3,97,83,253.06,21003.98,5,0
277,20240131,1,84,14,312.0,4368.0,12,0
278,20240731,1,103,8,151.66,1213.28,13,1
279,20240831,1,106,13,333.09,4330.17,14,1
280,20250228,1,105,11,169.61,1865.71,12,1
281,20250430,2,126,65,133.03,8646.95,12,0
282,20240531,2,71,4,301.72,1206.88,15,1
283,20250331,1,149,29,111.14,3223.06,18,0
284,20240430,2,106,60,333.09,19985.4,13,0
285,20250331,1,153,11,116.0,1276.0,11,0
286,20250630,2,108,61,169.96,10367.56,13,0
287,20250831,2,168,28,229.43,6424.04,12,0
288,20240731,1,110,10,178.91,1789.1,12,1
289,20250228,1,172,20,221.22,4424.4,13,0
290,20240531,1,143,2,215.92,431.84,13,1
291,20250831,1,54,101,262.94,26556.94,17,0
292,20251231,3,82,13,335.4,4360.2,4,0
293,20251031,2,96,48,205.7,9873.6,10,0
294,20250731,1,143,9,220.45,1984.05,13,1
295,20241231,3,33,38,110.89,4213.82,6,0
296,20250630,1,111,67,148.9,9976.3,12,0
297,20240331,1,66,8,199.26,1594.08,10,1
298,20240831,1,176,52,322.02,16745.04,17,0
299,20250930,1,63,13,247.24,3214.12,21,1
300,20251231,2,55,25,213.75,5343.75,15,0
301,20241130,2,68,60,284.28,17056.8,12,0
302,20250630,2,23,53,244.32,12948.96,13,0
303,20250630,2,4,57,158.83,9053.31,10,0
304,20251031,1,63,13,247.24,3214.12,21,1
305,20240831,3,68,74,284.28,21036.72,5,0
306,20240331,2,125,16,285.25,4564.0,11,0
307,20241031,1,93,55,132.18,7269.9,10,0
308,20250531,1,151,6,92.25,553.5,10,1
309,20240430,2,152,12,265.82,3189.84,9,0
310,20251130,1,132,76,128.45,9762.2,14,0
311,20241031,1,98,77,257.11,19797.47,15,0
312,20241231,1,105,18,166.12,2990.16,12,0
313,20250331,1,159,43,169.65,7294.95,20,0
314,20250331,1,10,9,88.91,800.19,12,1
315,20241031,1,62,34,112.54,3826.36,17,0
316,20240630,2,173,27,207.98,5615.46,15,0
317,20240131,1,108,9,166.46,1498.14,14,1
318,20240731,3,103,34,151.66,5156.44,5,0
319,20251130,2,19,3,205.07,615.21,11,1
320,20250930,1,124,20,153.77,3075.4,12,0
321,20240630,2,176,33,322.02,10626.66,16,0
322,20251130,2,67,68,28.64,1947.52,13,0
323,20251231,3,75,0,71.97,0.0,5,1
324,20250131,2,44,11,199.55,2195.05,16,1
325,20240331,1,9,18,66.28,1193.04,9,0
326,20250331,3,92,29,142.98,4146.42,6,0
327,20250131,3,68,3,290.25,870.75,5,1
328,20240131,2,107,14,147.44,2064.16,13,0
329,20240831,1,177,17,211.22,3590.74,12,0
330,20240531,3,2,33,292.58,9655.14,3,0
331,20250228,3,150,8,347.06,2776.48,6,0
332,20250930,2,124,10,153.77,1537.7,12,1
333,20241130,2,57,8,19.26,154.08,16,1
334,20240930,3,178,25,116.97,2924.25,7,0
335,20241130,1,79,70,144.83,10138.1,12,0
336,20250131,1,78,9,201.79,1816.11,9,0
337,20240630,2,104,45,75.12,3380.4,11,0
338,20240229,3,65,13,128.81,1674.53,5,0
339,20251231,3,132,70,128.45,8991.5,6,0
340,20250731,1,181,55,312.4,17182.0,18,0
341,20240430,3,147,2,339.78,679.56,4,1
342,20251031,2,171,27,85.46,2307.42,12,0
343,20240531,2,127,0,170.72,0.0,14,1
344,20250131,1,106,4,340.08,1360.32,14,1
345,20240630,2,117,51,98.28,5012.28,10,0
346,20240331,2,36,102,159.06,16224.12,18,0
347,20251231,3,100,4,369.19,1476.76,4,0
348,20251231,2,36,14,191.63,2682.82,18,1
349,20240331,1,62,91,112.54,10241.14,17,0
350,20240731,2,58,74,146.46,10838.04,17,0
351,20240831,3,73,87,255.0,22185.0,6,0
352,20250331,2,66,11,203.44,2237.84,9,0
353,20241031,3,93,80,132.18,10574.4,4,0
354,20240331,1,133,9,61.66,554.94,16,1
355,20240831,2,109,4,303.82,1215.28,10,1
356,20240229,1,110,9,178.91,1610.19,12,1
357,20250430,2,116,65,60.17,3911.05,16,0
358,20250430,3,117,42,100.34,4214.28,4,0
359,20240229,2,172,23,216.67,4983.41,12,0
360,20250531,1,105,57,169.61,9667.77,12,0
361,20240331,1,69,7,198.5,1389.5,12,1
362,20250430,2,21,58,205.78,11935.24,11,0
363,20240531,1,150,17,339.92,5778.64,14,0
364,20250630,2,80,12,208.57,2502.84,11,0
365,20250430,1,115,63,47.23,2975.49,11,0
366,20240630,3,78,2,197.64,395.28,4,1
367,20240331,3,163,27,294.58,7953.66,4,0
368,20250131,1,36,15,162.4,2436.0,19,1
369,20240229,2,84,6,312.0,1872.0,12,1
370,20250131,1,92,5,142.98,714.9,15,1
371,20240630,2,153,22,113.61,2499.42,10,0
372,20250331,2,80,0,176.76,0.0,11,1
373,20241130,2,120,6,182.88,1097.28,11,1
374,20250131,1,130,14,323.89,4534.46,14,0
375,20240630,2,33,61,110.89,6764.29,13,0
376,20240831,1,101,74,62.94,4657.56,12,0
377,20241130,3,75,87,59.74,5197.38,5,0
378,20240630,2,24,57,185.46,10571.22,12,0
379,20240531,3,50,139,291.69,40544.91,8,0
380,20250331,2,127,6,174.31,1045.86,14,1
381,20240430,1,135,10,39.89,398.9,15,1
382,20240131,2,104,17,75.12,1277.04,11,0
383,20240930,1,16,12,219.41,2632.92,9,0
384,20240331,2,94,19,121.74,2313.06,11,0
385,20241231,1,49,6,30.58,183.48,18,1
386,20240229,1,97,17,210.05,3570.85,12,0
387,20240630,2,48,64,32.82,2100.48,15,0
388,20250228,3,74,20,110.54,2210.8,5,0
389,20241231,2,7,9,55.96,503.64,9,0
390,20250430,1,92,28,142.98,4003.44,15,0
391,20241130,3,134,66,60.5,3993.0,4,0
392,20250831,3,52,119,183.03,21780.57,7,0
393,20240731,1,101,19,62.94,1195.86,12,0
394,20240531,2,6,35,178.72,6255.2,10,0
395,20251130,3,141,67,314.24,21054.08,4,0
396,20251031,2,124,9,153.77,1383.93,12,1
397,20250930,1,126,3,133.03,399.09,12,1
398,20250831,1,37,119,16.65,1981.35,22,0
399,20241231,2,129,99,45.49,4503.51,19,0
400,20251130,3,172,44,221.22,9733.68,5,0
401,20240930,1,97,59,210.05,12392.95,12,0
402,20251231,3,143,71,220.45,15651.95,5,0
403,20240831,3,147,12,339.78,4077.36,4,0
404,20251231,3,21,5,242.82,1214.1,5,0
405,20240131,1,8,22,128.94,2836.68,10,0
406,20250228,3,78,18,201.79,3632.22,4,0
407,20250430,2,29,36,243.45,8764.2,10,0
408,20240731,3,121,9,43.73,393.57,4,0
409,20250630,1,1,55,219.63,12079.65,9,0
410,20241031,2,148,54,296.06,15987.24,11,0
411,20240131,2,179,15,226.59,3398.85,12,0
412,20241031,2,163,19,294.58,5597.02,10,0
413,20250731,2,77,10,171.09,1710.9,13,1
414,20240930,2,101,52,62.94,3272.88,12,0
415,20240229,3,143,0,215.92,0.0,5,1
416,20240229,1,78,5,197.64,988.2,9,1
417,20250630,1,58,97,149.54,14505.38,18,0
418,20240531,2,42,97,261.53,25368.41,22,0
419,20250930,1,4,13,158.83,2064.79,11,0
420,20241130,1,57,31,19.26,597.06,17,0
421,20251231,3,109,14,310.2,4342.8,4,0
422,20250131,1,85,14,41.76,584.64,10,0
423,20240930,3,94,77,121.74,9373.98,5,0
424,20250228,3,71,7,308.06,2156.42,7,0
425,20240831,3,165,30,105.7,3171.0,5,0
426,20250531,1,89,18,189.92,3418.56,12,0
427,20250930,3,152,65,271.4,17641.0,4,0
428,20251031,1,104,5,76.7,383.5,11,1
429,20250430,3,102,15,260.69,3910.35,4,0
430,20250731,3,82,18,335.4,6037.2,4,0
431,20241130,1,136,72,110.14,7930.08,12,0
432,20240229,2,58,6,146.46,878.76,17,1
433,20240630,2,73,6,255.0,1530.0,13,1
434,20250930,2,102,44,260.69,11470.36,10,0
435,20250831,1,152,14,271.4,3799.6,10,0
436,20240531,2,4,45,155.56,7000.2,10,0
437,20250831,1,181,68,312.4,21243.2,18,0
438,20250831,1,18,7,247.17,1730.19,6,0
439,20251231,3,153,83,116.0,9628.0,4,0
440,20240831,1,37,111,16.31,1810.41,22,0
441,20251031,3,150,98,347.06,34011.88,6,0
442,20240331,1,160,23,40.71,936.33,15,0
443,20240831,2,173,33,207.98,6863.34,15,0
444,20240229,1,112,17,65.64,1115.88,13,0
445,20241231,1,102,13,255.33,3319.29,10,0
446,20240531,1,112,62,65.64,4069.68,13,0
447,20250630,2,29,43,243.45,10468.35,10,0
448,20240630,2,6,47,178.72,8399.84,10,0
449,20250630,2,71,0,363.51,0.0,15,1
450,20240831,2,128,2,77.25,154.5,10,1
451,20241231,1,168,41,224.71,9213.11,13,0
452,20240430,2,55,75,209.35,15701.25,15,0
453,20250930,3,117,10,100.34,1003.4,4,0
454,20240531,2,110,48,178.91,8587.68,12,0
455,20240331,3,63,137,242.15,33174.55,9,0
456,20240229,3,122,15,208.3,3124.5,4,0
457,20240229,2,135,14,39.89,558.46,14,0
458,20251130,2,138,68,88.19,5996.92,13,0
459,20241031,2,151,46,90.35,4156.1,10,0
460,20240531,1,8,45,128.94,5802.3,10,0
461,20241130,2,107,2,147.44,294.88,13,1
462,20240229,1,12,27,68.19,1841.13,11,0
463,20250831,1,114,6,152.73,916.38,12,1
464,20240229,1,106,25,333.09,8327.25,14,0
465,20250630,1,25,51,149.35,7616.85,9,0
466,20250131,1,122,6,212.67,1276.02,11,1
467,20250531,1,112,66,67.02,4423.32,13,0
468,20240131,1,17,4,307.26,1229.04,14,1
469,20251231,2,167,28,209.73,5872.44,12,0
470,20250430,3,46,115,315.4,36271.0,7,0
471,20251231,1,111,9,148.9,1340.1,12,1
472,20251031,3,132,87,128.45,11175.15,6,0
473,20240430,2,163,14,294.58,4124.12,10,0
474,20250630,1,124,57,153.77,8764.89,12,0
475,20251130,3,143,70,220.45,15431.5,5,0
476,20241031,2,10,8,87.08,696.64,11,1
477,20250331,2,113,10,281.81,2818.1,9,0
478,20240930,2,136,65,110.14,7159.1,12,0
479,20240531,1,167,32,205.42,6573.44,13,0
480,20251031,3,121,14,44.65,625.1,4,0
481,20240430,2,48,55,32.82,1805.1,15,0
482,20240229,2,182,22,56.87,1251.14,13,0
483,20240229,1,162,28,66.97,1875.16,14,0
484,20240430,1,138,16,86.38,1382.08,14,0
485,20240731,1,165,24,105.7,2536.8,12,0
486,20250531,1,12,68,69.62,4734.16,11,0
487,20251130,2,56,29,293.14,8501.06,18,0
488,20240831,1,155,29,322.38,9349.02,17,0
489,20251130,3,127,104,174.31,18128.24,6,0
490,20240229,1,22,6,247.74,1486.44,8,1
491,20241130,1,151,48,90.35,4336.8,10,0
492,20250731,1,76,17,338.68,5757.56,12,0
493,20251231,2,20,9,33.12,298.08,15,1
494,20240930,1,148,69,296.06,20428.14,12,0
495,20240229,1,95,3,53.64,160.92,8,1
496,20240229,3,80,5,173.12,865.6,5,0
497,20250831,1,171,24,85.46,2051.04,12,0
498,20250228,1,53,40,180.55,7222.0,20,0
499,20241031,2,54,0,257.53,0.0,16,1
500,20240331,1,149,22,108.85,2394.7,18,0
501,20240229,3,167,45,205.42,9243.9,5,0
502,20250331,3,51,127,79.76,10129.52,8,0
503,20240229,3,52,40,179.27,7170.8,7,0
504,20250630,3,78,0,238.11,0.0,4,1
505,20251130,1,80,72,208.57,15017.04,12,0
506,20250228,1,118,17,343.17,5833.89,13,0
507,20250930,1,20,2,33.12,66.24,16,1
508,20251130,2,80,52,208.57,10845.64,11,0
509,20240630,1,165,38,105.7,4016.6,12,0
510,20241231,1,57,31,19.26,597.06,17,0
511,20250630,1,27,86,254.96,21926.56,14,0
512,20250228,2,128,9,78.87,709.83,10,1
513,20240229,3,154,16,323.13,5170.08,5,0
514,20250331,3,99,8,293.7,2349.6,5,0
515,20240930,3,97,67,210.05,14073.35,5,0
516,20240131,1,168,10,224.71,2247.1,13,1
517,20240131,3,36,1,159.06,159.06,8,1
518,20251231,1,129,97,46.45,4505.65,20,0
519,20240229,3,137,14,25.06,350.84,5,0
520,20251130,3,88,68,404.63,27514.84,4,0
521,20250131,3,181,36,312.4,11246.4,8,0
522,20240930,2,44,7,195.45,1368.15,16,1
523,20251130,1,139,103,203.11,20920.33,17,0
524,20240229,1,36,0,159.06,0.0,19,1
525,20251130,1,57,20,23.2,464.0,17,0
526,20240131,3,9,26,66.28,1723.28,3,0
527,20240131,2,2,3,292.58,877.74,7,1
528,20251231,2,24,12,189.35,2272.2,12,0
529,20250331,1,115,18,47.23,850.14,11,0
530,20240731,3,93,5,132.18,660.9,4,0
531,20250930,1,178,41,119.43,4896.63,17,0
532,20240930,2,43,6,294.1,1764.6,14,1
533,20241231,2,55,11,209.35,2302.85,15,1
534,20240930,1,123,35,129.56,4534.6,13,0
535,20250731,1,118,7,343.17,2402.19,13,1
536,20240430,1,94,7,121.74,852.18,12,1
537,20240731,3,100,14,306.44,4290.16,4,0
538,20250731,1,151,15,92.25,1383.75,10,0
539,20240731,2,48,82,32.82,2691.24,15,0
540,20250630,3,46,103,372.17,38333.51,7,0
541,20250930,2,42,3,267.02,801.06,22,1
542,20250331,1,178,29,119.43,3463.47,17,0
543,20251031,1,116,21,60.17,1263.57,16,0
544,20240430,1,47,81,70.06,5674.86,15,0
545,20251130,1,37,0,16.65,0.0,22,1
546,20241231,1,103,0,151.66,0.0,13,1
547,20250831,3,33,15,113.22,1698.3,6,0
548,20250831,2,173,21,212.35,4459.35,15,0
549,20251231,3,126,14,133.03,1862.42,5,0
550,20250831,1,129,23,46.45,1068.35,20,0
551,20250630,3,132,1,128.45,128.45,6,1
552,20250331,1,111,7,148.9,1042.3,12,1
553,20240731,1,77,14,167.57,2345.98,14,0
554,20240630,3,89,11,157.64,1734.04,5,0
555,20250731,2,94,5,124.3,621.5,11,1
556,20240831,3,2,11,292.58,3218.38,3,0
557,20250531,1,96,0,205.7,0.0,10,1
558,20251130,1,71,96,363.51,34896.96,16,0
559,20250831,2,132,18,128.45,2312.1,13,0
560,20240731,1,29,57,238.44,13591.08,10,0
