Mois;Categorie;Entrepot;Montant
08/2025;LOGICIELS ET TI;ENT-QC;3227,30
03/2025;télécommunications;ENT-SAG;441,04
04/2025;Honoraires professionnels;ENT-QC;3120,30
03/2025;entretien et réparations;ENT-QC;1296,96
01/2025;entretien et réparations;ENT-SAG;1009,52
07/2024;Entretien et réparations;ENT-QC;1261,93
09/2025;ASSURANCES;ENT-QC;1884,59
12/2025;ENTRETIEN ET RÉPARATIONS;ENT-MTL;2572,95
10/2024;LOYER;ENT-SAG;8900,00
12/2024;loyer;ENT-MTL;21500,00
11/2024;Assurances;ENT-SAG;1211,38
05/2024;fournitures de bureau;ENT-SAG;288,02
07/2024;transport et livraison;ENT-MTL;10274,32
05/2024;LOYER;ENT-MTL;21500,00
02/2024;logiciels et ti;ENT-QC;3184,65
04/2024;FOURNITURES DE BUREAU;ENT-SAG;343,11
03/2024;FOURNITURES DE BUREAU;ENT-SAG;281,62
05/2025;entretien et réparations;ENT-MTL;2619,47
09/2024;HONORAIRES PROFESSIONNELS;ENT-QC;2866,78
01/2025;transport et livraison;ENT-QC;6141,90
07/2025;Loyer;ENT-QC;14682,80
06/2024;télécommunications;ENT-SAG;396,85
06/2024;TÉLÉCOMMUNICATIONS;ENT-QC;649,28
11/2024;LOYER;ENT-SAG;8900,00
03/2025;Énergie;ENT-MTL;3931,71
10/2025;assurances;ENT-QC;1913,78
07/2025;ENTRETIEN ET RÉPARATIONS;ENT-SAG;944,80
03/2025;Fournitures de bureau;ENT-SAG;279,86
02/2024;Assurances;ENT-MTL;2362,94
08/2025;entretien et réparations;ENT-QC;1328,81
06/2024;TRANSPORT ET LIVRAISON;ENT-QC;10162,29
10/2025;Loyer;ENT-MTL;22231,00
01/2025;télécommunications;ENT-QC;632,97
10/2024;ÉNERGIE;ENT-MTL;3879,31
09/2024;Énergie;ENT-SAG;2297,33
11/2024;honoraires professionnels;ENT-QC;3194,81
07/2025;Énergie;ENT-MTL;4151,58
10/2025;Transport et livraison;ENT-QC;13611,55
06/2024;LOGICIELS ET TI;ENT-QC;3033,73
09/2025;assurances;ENT-MTL;2518,77
01/2024;Entretien et réparations;ENT-MTL;2149,66
07/2025;LOGICIELS ET TI;ENT-QC;3130,54
10/2024;TRANSPORT ET LIVRAISON;ENT-MTL;15922,02
10/2025;Entretien et réparations;ENT-QC;1603,94
07/2025;énergie;ENT-SAG;2252,24
02/2025;entretien et réparations;ENT-QC;1755,32
01/2024;ÉNERGIE;ENT-MTL;3909,37
06/2024;entretien et réparations;ENT-MTL;2267,44
04/2025;ÉNERGIE;ENT-MTL;4258,39
06/2024;énergie;ENT-MTL;3764,23
10/2025;Loyer;ENT-QC;14682,80
05/2024;TÉLÉCOMMUNICATIONS;ENT-QC;644,32
03/2025;TRANSPORT ET LIVRAISON;ENT-QC;8884,06
05/2024;Énergie;ENT-QC;2795,81
08/2025;LOYER;ENT-SAG;9202,60
05/2025;TÉLÉCOMMUNICATIONS;ENT-MTL;766,43
05/2025;Loyer;ENT-SAG;9202,60
04/2024;TRANSPORT ET LIVRAISON;ENT-SAG;4618,81
08/2025;Assurances;ENT-SAG;1259,82
07/2024;énergie;ENT-QC;2776,56
03/2024;ASSURANCES;ENT-MTL;2386,16
07/2025;ASSURANCES;ENT-MTL;2469,43
12/2025;Entretien et réparations;ENT-SAG;1124,55
09/2024;Transport et livraison;ENT-MTL;20890,70
11/2025;loyer;ENT-MTL;22231,00
01/2024;Loyer;ENT-QC;14200,00
04/2025;logiciels et ti;ENT-QC;3309,60
05/2024;TRANSPORT ET LIVRAISON;ENT-QC;12166,91
07/2024;Loyer;ENT-QC;14200,00
11/2025;Logiciels et TI;ENT-QC;3229,82
12/2025;transport et livraison;ENT-MTL;9194,92
12/2024;télécommunications;ENT-SAG;399,94
08/2025;TÉLÉCOMMUNICATIONS;ENT-QC;647,95
02/2025;Loyer;ENT-QC;14682,80
12/2024;Fournitures de bureau;ENT-SAG;304,21
02/2025;Fournitures de bureau;ENT-SAG;365,55
10/2025;assurances;ENT-MTL;2477,98
07/2025;fournitures de bureau;ENT-SAG;327,86
08/2024;Télécommunications;ENT-QC;647,78
01/2024;loyer;ENT-SAG;8900,00
11/2025;télécommunications;ENT-SAG;405,57
08/2025;énergie;ENT-QC;2929,88
04/2024;ENTRETIEN ET RÉPARATIONS;ENT-SAG;768,20
01/2024;énergie;ENT-QC;2797,15
08/2025;ASSURANCES;ENT-QC;1936,37
10/2025;Loyer;ENT-SAG;9202,60
04/2024;ÉNERGIE;ENT-MTL;4238,80
06/2024;LOYER;ENT-SAG;8900,00
04/2024;Logiciels et TI;ENT-QC;3121,77
04/2024;loyer;ENT-QC;14200,00
01/2024;fournitures de bureau;ENT-SAG;351,73
09/2024;entretien et réparations;ENT-QC;1525,00
11/2024;Transport et livraison;ENT-MTL;13733,01
05/2025;entretien et réparations;ENT-QC;1723,95
12/2024;fournitures de bureau;ENT-MTL;535,50
11/2025;ENTRETIEN ET RÉPARATIONS;ENT-MTL;1915,11
10/2025;ENTRETIEN ET RÉPARATIONS;ENT-SAG;1104,01
06/2025;honoraires professionnels;ENT-QC;2752,32
05/2024;énergie;ENT-MTL;4386,68
11/2024;TÉLÉCOMMUNICATIONS;ENT-SAG;401,33
02/2025;assurances;ENT-QC;1936,31
08/2025;télécommunications;ENT-MTL;841,47
03/2024;entretien et réparations;ENT-SAG;704,32
05/2024;télécommunications;ENT-MTL;757,25
07/2025;ENTRETIEN ET RÉPARATIONS;ENT-QC;1242,92
04/2025;loyer;ENT-QC;14682,80
02/2025;Télécommunications;ENT-MTL;772,51
10/2024;télécommunications;ENT-SAG;404,27
07/2025;ENTRETIEN ET RÉPARATIONS;ENT-SAG;944,80
11/2024;fournitures de bureau;ENT-SAG;347,94
01/2024;entretien et réparations;ENT-SAG;783,86
07/2025;ASSURANCES;ENT-SAG;1246,97
12/2024;ÉNERGIE;ENT-MTL;3892,20
03/2025;TRANSPORT ET LIVRAISON;ENT-MTL;11558,73
08/2024;Énergie;ENT-QC;3024,90
12/2024;LOYER;ENT-SAG;8900,00
06/2024;loyer;ENT-MTL;21500,00
02/2025;fournitures de bureau;ENT-MTL;607,32
01/2024;Transport et livraison;ENT-QC;6907,47
06/2024;entretien et réparations;ENT-SAG;730,52
02/2024;Énergie;ENT-MTL;4098,47
01/2025;assurances;ENT-QC;1889,19
10/2025;honoraires professionnels;ENT-QC;2846,85
09/2025;Honoraires professionnels;ENT-QC;2621,25
01/2025;Télécommunications;ENT-SAG;407,54
11/2024;Énergie;ENT-QC;3041,64
02/2024;ENTRETIEN ET RÉPARATIONS;ENT-MTL;1666,92
07/2025;FOURNITURES DE BUREAU;ENT-MTL;719,42
03/2025;énergie;ENT-QC;2954,46
11/2025;Télécommunications;ENT-MTL;818,84
12/2025;transport et livraison;ENT-SAG;3238,39
06/2024;Énergie;ENT-SAG;2297,74
07/2025;télécommunications;ENT-SAG;425,07
08/2024;ASSURANCES;ENT-SAG;1198,35
08/2024;Loyer;ENT-MTL;21500,00
11/2024;Télécommunications;ENT-MTL;799,73
05/2025;loyer;ENT-QC;14682,80
11/2025;entretien et réparations;ENT-SAG;744,88
02/2024;énergie;ENT-SAG;2275,21
07/2025;entretien et réparations;ENT-MTL;1907,08
12/2025;Énergie;ENT-QC;3125,81
08/2024;Énergie;ENT-SAG;2360,90
01/2024;Télécommunications;ENT-SAG;413,20
07/2024;FOURNITURES DE BUREAU;ENT-MTL;710,62
11/2025;assurances;ENT-MTL;2493,90
04/2025;LOYER;ENT-SAG;9202,60
03/2024;ÉNERGIE;ENT-QC;2983,55
03/2024;télécommunications;ENT-SAG;426,78
09/2025;loyer;ENT-SAG;9202,60
01/2024;fournitures de bureau;ENT-QC;494,17
10/2024;FOURNITURES DE BUREAU;ENT-QC;579,74
02/2025;transport et livraison;ENT-SAG;3444,83
07/2025;entretien et réparations;ENT-MTL;1907,08
06/2024;ASSURANCES;ENT-QC;1857,97
06/2025;fournitures de bureau;ENT-QC;533,29
04/2025;TRANSPORT ET LIVRAISON;ENT-SAG;4546,00
03/2024;TÉLÉCOMMUNICATIONS;ENT-MTL;786,41
11/2025;ÉNERGIE;ENT-SAG;2085,45
04/2025;ENTRETIEN ET RÉPARATIONS;ENT-QC;1271,00
03/2024;Assurances;ENT-QC;1820,58
06/2025;Énergie;ENT-SAG;2243,74
02/2024;entretien et réparations;ENT-SAG;711,70
03/2025;Fournitures de bureau;ENT-MTL;574,14
02/2024;Transport et livraison;ENT-SAG;2761,42
01/2025;Énergie;ENT-QC;3117,09
09/2025;Fournitures de bureau;ENT-SAG;332,38
12/2024;ENTRETIEN ET RÉPARATIONS;ENT-MTL;2443,30
07/2025;Loyer;ENT-SAG;9202,60
07/2025;télécommunications;ENT-MTL;796,51
11/2025;ASSURANCES;ENT-SAG;1261,43
01/2024;Assurances;ENT-MTL;2390,20
08/2025;transport et livraison;ENT-SAG;6006,74
05/2025;entretien et réparations;ENT-SAG;958,68
10/2024;Transport et livraison;ENT-SAG;5497,36
11/2024;ÉNERGIE;ENT-MTL;3828,16
03/2024;Télécommunications;ENT-QC;594,37
03/2024;Transport et livraison;ENT-QC;8584,32
11/2024;ENTRETIEN ET RÉPARATIONS;ENT-MTL;1988,32
01/2025;énergie;ENT-SAG;2308,27
01/2024;énergie;ENT-SAG;2053,12
01/2024;logiciels et ti;ENT-QC;3077,43
02/2024;télécommunications;ENT-SAG;415,55
06/2024;fournitures de bureau;ENT-MTL;535,95
12/2024;TÉLÉCOMMUNICATIONS;ENT-QC;621,17
07/2024;TRANSPORT ET LIVRAISON;ENT-SAG;3617,48
02/2024;transport et livraison;ENT-QC;7173,62
05/2024;TÉLÉCOMMUNICATIONS;ENT-SAG;416,63
12/2024;FOURNITURES DE BUREAU;ENT-QC;512,15
02/2024;Entretien et réparations;ENT-QC;1571,99
05/2025;Assurances;ENT-QC;1914,39
03/2025;ENTRETIEN ET RÉPARATIONS;ENT-MTL;2362,08
12/2024;Logiciels et TI;ENT-QC;3044,63
04/2024;Télécommunications;ENT-MTL;796,52
02/2025;Loyer;ENT-SAG;9202,60
07/2024;ENTRETIEN ET RÉPARATIONS;ENT-MTL;2165,00
07/2025;Assurances;ENT-QC;1937,08
01/2025;fournitures de bureau;ENT-MTL;545,71
07/2024;assurances;ENT-SAG;1216,86
10/2025;FOURNITURES DE BUREAU;ENT-MTL;564,81
06/2025;Entretien et réparations;ENT-QC;1204,76
01/2025;Entretien et réparations;ENT-QC;1151,21
11/2024;ENTRETIEN ET RÉPARATIONS;ENT-QC;1267,80
03/2024;entretien et réparations;ENT-QC;1391,77
09/2025;ENTRETIEN ET RÉPARATIONS;ENT-SAG;991,53
04/2025;LOYER;ENT-MTL;22231,00
06/2025;Loyer;ENT-MTL;22231,00
02/2025;énergie;ENT-QC;3004,75
04/2025;ENTRETIEN ET RÉPARATIONS;ENT-SAG;1008,23
05/2024;fournitures de bureau;ENT-MTL;717,12
08/2024;assurances;ENT-MTL;2422,33
08/2025;TRANSPORT ET LIVRAISON;ENT-MTL;15896,85
09/2025;LOGICIELS ET TI;ENT-QC;3243,14
11/2024;Loyer;ENT-MTL;21500,00
01/2025;TRANSPORT ET LIVRAISON;ENT-MTL;8262,91
09/2024;Télécommunications;ENT-MTL;750,37
09/2025;LOYER;ENT-MTL;22231,00
04/2024;Assurances;ENT-SAG;1202,84
05/2024;ENTRETIEN ET RÉPARATIONS;ENT-MTL;1956,40
09/2025;Télécommunications;ENT-SAG;412,15
12/2024;Transport et livraison;ENT-MTL;7864,88
06/2025;TÉLÉCOMMUNICATIONS;ENT-MTL;825,51
10/2024;ENTRETIEN ET RÉPARATIONS;ENT-MTL;2274,65
12/2025;LOYER;ENT-MTL;22231,00
05/2025;énergie;ENT-QC;3144,06
09/2024;Télécommunications;ENT-QC;625,03
02/2025;ÉNERGIE;ENT-MTL;4089,33
03/2025;FOURNITURES DE BUREAU;ENT-QC;602,58
08/2024;TRANSPORT ET LIVRAISON;ENT-QC;13815,40
06/2024;TÉLÉCOMMUNICATIONS;ENT-MTL;807,36
05/2025;fournitures de bureau;ENT-SAG;351,47
02/2025;Télécommunications;ENT-SAG;412,83
07/2025;Loyer;ENT-MTL;22231,00
12/2024;énergie;ENT-SAG;2302,65
05/2024;Transport et livraison;ENT-MTL;14159,62
03/2024;transport et livraison;ENT-MTL;12125,66
04/2025;transport et livraison;ENT-MTL;12293,10
09/2025;ENTRETIEN ET RÉPARATIONS;ENT-QC;1171,82
11/2024;Assurances;ENT-QC;1833,28
03/2025;télécommunications;ENT-MTL;784,42
03/2024;HONORAIRES PROFESSIONNELS;ENT-QC;2987,25
01/2024;Transport et livraison;ENT-MTL;7069,25
05/2025;fournitures de bureau;ENT-QC;522,29
04/2024;énergie;ENT-QC;2642,54
08/2024;honoraires professionnels;ENT-QC;1899,52
07/2024;Loyer;ENT-MTL;21500,00
09/2025;énergie;ENT-QC;3026,56
09/2025;transport et livraison;ENT-SAG;6088,58
04/2025;Énergie;ENT-SAG;2420,46
12/2025;télécommunications;ENT-MTL;793,03
08/2024;Transport et livraison;ENT-SAG;5976,28
10/2025;Énergie;ENT-SAG;2397,47
06/2025;ÉNERGIE;ENT-QC;3169,70
06/2024;Loyer;ENT-QC;14200,00
04/2024;TÉLÉCOMMUNICATIONS;ENT-QC;647,75
01/2025;Assurances;ENT-SAG;1236,71
09/2024;entretien et réparations;ENT-SAG;1001,08
03/2025;assurances;ENT-SAG;1261,29
12/2025;énergie;ENT-MTL;4514,36
08/2025;télécommunications;ENT-SAG;428,94
11/2025;FOURNITURES DE BUREAU;ENT-SAG;358,35
06/2024;ASSURANCES;ENT-SAG;1193,17
06/2024;ÉNERGIE;ENT-QC;2968,51
05/2024;ÉNERGIE;ENT-SAG;2091,06
03/2024;ENTRETIEN ET RÉPARATIONS;ENT-MTL;2074,53
08/2025;TRANSPORT ET LIVRAISON;ENT-QC;14950,75
01/2024;TÉLÉCOMMUNICATIONS;ENT-QC;604,10
02/2024;HONORAIRES PROFESSIONNELS;ENT-QC;2808,56
12/2025;fournitures de bureau;ENT-MTL;649,44
01/2025;FOURNITURES DE BUREAU;ENT-QC;522,13
02/2025;ENTRETIEN ET RÉPARATIONS;ENT-SAG;984,80
08/2024;assurances;ENT-QC;1874,90
12/2025;Loyer;ENT-SAG;9202,60
02/2025;Entretien et réparations;ENT-MTL;1876,24
01/2025;assurances;ENT-MTL;2468,59
03/2024;loyer;ENT-SAG;8900,00
02/2024;loyer;ENT-SAG;8900,00
12/2025;ÉNERGIE;ENT-SAG;2137,70
09/2025;télécommunications;ENT-MTL;783,22
02/2025;Logiciels et TI;ENT-QC;3184,89
10/2024;énergie;ENT-QC;3127,64
05/2025;énergie;ENT-MTL;4078,75
04/2024;Honoraires professionnels;ENT-QC;2120,57
06/2025;Télécommunications;ENT-SAG;403,43
11/2024;fournitures de bureau;ENT-MTL;542,90
12/2025;LOGICIELS ET TI;ENT-QC;3228,23
03/2024;Transport et livraison;ENT-SAG;3875,73
07/2024;Fournitures de bureau;ENT-QC;545,77
09/2025;fournitures de bureau;ENT-QC;591,17
10/2025;fournitures de bureau;ENT-QC;642,05
04/2024;ENTRETIEN ET RÉPARATIONS;ENT-QC;1639,78
02/2025;ASSURANCES;ENT-MTL;2492,15
06/2025;FOURNITURES DE BUREAU;ENT-MTL;723,11
08/2025;Fournitures de bureau;ENT-QC;489,61
06/2025;Assurances;ENT-SAG;1223,55
09/2024;FOURNITURES DE BUREAU;ENT-SAG;277,74
07/2025;énergie;ENT-QC;2738,14
09/2025;ÉNERGIE;ENT-SAG;2305,42
12/2024;Loyer;ENT-QC;14200,00
10/2025;FOURNITURES DE BUREAU;ENT-SAG;361,42
10/2024;Fournitures de bureau;ENT-SAG;345,16
03/2025;assurances;ENT-QC;1945,28
03/2024;Énergie;ENT-SAG;2087,08
03/2024;Assurances;ENT-QC;1820,58
06/2025;loyer;ENT-SAG;9202,60
10/2024;Assurances;ENT-MTL;2383,22
02/2024;Fournitures de bureau;ENT-MTL;598,86
02/2025;Transport et livraison;ENT-QC;7348,82
01/2024;Honoraires professionnels;ENT-QC;2097,35
10/2024;HONORAIRES PROFESSIONNELS;ENT-QC;2913,38
11/2024;ENTRETIEN ET RÉPARATIONS;ENT-SAG;836,55
02/2024;Fournitures de bureau;ENT-SAG;265,59
12/2025;fournitures de bureau;ENT-QC;492,75
09/2025;FOURNITURES DE BUREAU;ENT-MTL;562,73
09/2024;assurances;ENT-SAG;1176,49
04/2025;Fournitures de bureau;ENT-MTL;606,70
11/2025;télécommunications;ENT-QC;610,76
01/2024;LOYER;ENT-MTL;21500,00
03/2025;logiciels et ti;ENT-QC;3289,56
05/2025;ÉNERGIE;ENT-SAG;2386,39
09/2024;Entretien et réparations;ENT-MTL;2111,75
10/2025;transport et livraison;ENT-SAG;6872,93
05/2024;HONORAIRES PROFESSIONNELS;ENT-QC;2438,20
10/2025;TÉLÉCOMMUNICATIONS;ENT-QC;639,39
08/2024;Énergie;ENT-MTL;3887,43
06/2025;TÉLÉCOMMUNICATIONS;ENT-QC;660,09
11/2025;ENTRETIEN ET RÉPARATIONS;ENT-QC;1425,00
05/2025;Honoraires professionnels;ENT-QC;3136,89
01/2024;entretien et réparations;ENT-QC;1536,48
12/2024;TRANSPORT ET LIVRAISON;ENT-QC;6558,85
10/2025;ENTRETIEN ET RÉPARATIONS;ENT-MTL;2133,11
07/2024;énergie;ENT-MTL;3851,29
07/2024;ASSURANCES;ENT-MTL;2422,09
02/2025;Honoraires professionnels;ENT-QC;3208,89
12/2025;entretien et réparations;ENT-QC;1565,29
02/2024;FOURNITURES DE BUREAU;ENT-QC;479,78
11/2025;assurances;ENT-MTL;2493,90
11/2024;transport et livraison;ENT-SAG;4825,08
05/2025;Assurances;ENT-MTL;2453,17
12/2024;Honoraires professionnels;ENT-QC;2268,32
01/2025;loyer;ENT-MTL;22231,00
06/2024;Entretien et réparations;ENT-QC;1292,42
08/2024;Télécommunications;ENT-MTL;818,98
04/2025;énergie;ENT-QC;2972,45
02/2024;LOYER;ENT-MTL;21500,00
03/2024;logiciels et ti;ENT-QC;3107,20
12/2024;ASSURANCES;ENT-QC;1852,65
11/2025;loyer;ENT-SAG;9202,60
04/2025;TÉLÉCOMMUNICATIONS;ENT-MTL;780,47
03/2025;ASSURANCES;ENT-MTL;2480,25
02/2024;Assurances;ENT-QC;1842,65
10/2024;Loyer;ENT-MTL;21500,00
12/2024;Assurances;ENT-MTL;2382,33
04/2024;Télécommunications;ENT-SAG;410,86
11/2025;télécommunications;ENT-QC;610,76
10/2025;ASSURANCES;ENT-SAG;1223,50
08/2024;Fournitures de bureau;ENT-SAG;331,15
07/2025;transport et livraison;ENT-SAG;3559,10
05/2025;Transport et livraison;ENT-QC;12489,48
08/2025;ENTRETIEN ET RÉPARATIONS;ENT-MTL;2436,43
08/2024;LOYER;ENT-QC;14200,00
01/2024;TRANSPORT ET LIVRAISON;ENT-SAG;2558,33
05/2024;loyer;ENT-QC;14200,00
06/2025;Transport et livraison;ENT-MTL;11975,93
04/2025;ASSURANCES;ENT-QC;1939,74
04/2025;énergie;ENT-QC;2972,45
11/2024;Télécommunications;ENT-QC;633,03
01/2024;assurances;ENT-SAG;1219,63
02/2025;Fournitures de bureau;ENT-QC;532,77
04/2025;entretien et réparations;ENT-MTL;1819,29
07/2024;ASSURANCES;ENT-QC;1846,19
03/2025;Loyer;ENT-SAG;9202,60
06/2024;Transport et livraison;ENT-SAG;4253,48
05/2025;Logiciels et TI;ENT-QC;3237,77
04/2025;FOURNITURES DE BUREAU;ENT-SAG;332,98
09/2024;ÉNERGIE;ENT-MTL;3922,71
05/2024;Fournitures de bureau;ENT-QC;530,66
12/2025;Assurances;ENT-MTL;2466,16
04/2025;Transport et livraison;ENT-QC;11985,38
03/2024;ASSURANCES;ENT-SAG;1207,51
11/2025;transport et livraison;ENT-MTL;15744,93
08/2025;assurances;ENT-MTL;2458,45
12/2024;ÉNERGIE;ENT-QC;3027,41
04/2024;fournitures de bureau;ENT-QC;466,03
12/2025;Assurances;ENT-SAG;1244,53
09/2024;fournitures de bureau;ENT-MTL;718,60
03/2025;Fournitures de bureau;ENT-SAG;279,86
07/2025;Honoraires professionnels;ENT-QC;3556,51
10/2024;ÉNERGIE;ENT-SAG;2225,97
04/2024;LOYER;ENT-SAG;8900,00
05/2024;ENTRETIEN ET RÉPARATIONS;ENT-MTL;1956,40
09/2024;assurances;ENT-MTL;2377,91
08/2024;FOURNITURES DE BUREAU;ENT-MTL;668,92
08/2025;LOYER;ENT-MTL;22231,00
11/2025;Assurances;ENT-QC;1930,29
08/2024;LOGICIELS ET TI;ENT-QC;3168,93
04/2024;Honoraires professionnels;ENT-QC;2120,57
06/2025;Logiciels et TI;ENT-QC;3198,60
12/2024;TRANSPORT ET LIVRAISON;ENT-SAG;2675,88
09/2024;assurances;ENT-QC;1834,00
09/2025;LOYER;ENT-QC;14682,80
10/2024;TÉLÉCOMMUNICATIONS;ENT-MTL;818,43
05/2024;ENTRETIEN ET RÉPARATIONS;ENT-SAG;771,74
04/2024;LOYER;ENT-MTL;21500,00
02/2025;transport et livraison;ENT-MTL;9157,23
08/2025;fournitures de bureau;ENT-MTL;561,89
07/2024;TRANSPORT ET LIVRAISON;ENT-QC;7599,65
01/2025;Entretien et réparations;ENT-MTL;2320,25
01/2025;logiciels et ti;ENT-QC;3166,59
05/2025;assurances;ENT-SAG;1232,71
04/2024;ÉNERGIE;ENT-SAG;2035,17
04/2025;ENTRETIEN ET RÉPARATIONS;ENT-SAG;1008,23
11/2025;fournitures de bureau;ENT-MTL;717,04
10/2024;Entretien et réparations;ENT-QC;1172,13
03/2025;Entretien et réparations;ENT-SAG;1024,70
02/2025;télécommunications;ENT-QC;666,31
10/2024;Logiciels et TI;ENT-QC;3027,48
04/2024;entretien et réparations;ENT-MTL;1653,87
10/2025;énergie;ENT-MTL;4135,43
07/2024;télécommunications;ENT-QC;621,65
05/2025;TÉLÉCOMMUNICATIONS;ENT-SAG;406,79
05/2024;LOYER;ENT-SAG;8900,00
06/2024;Honoraires professionnels;ENT-QC;2538,57
04/2025;Assurances;ENT-MTL;2523,90
04/2024;Transport et livraison;ENT-MTL;12949,77
05/2024;assurances;ENT-SAG;1190,19
10/2024;assurances;ENT-QC;1823,76
12/2025;ASSURANCES;ENT-QC;1910,73
09/2025;Énergie;ENT-MTL;4163,25
09/2025;TRANSPORT ET LIVRAISON;ENT-MTL;16460,37
06/2025;Fournitures de bureau;ENT-SAG;318,53
09/2024;Entretien et réparations;ENT-MTL;2111,75
03/2025;TÉLÉCOMMUNICATIONS;ENT-QC;656,39
08/2025;loyer;ENT-QC;14682,80
