date_photo,code_entrepot,code_article,quantite_en_stock,cout_unitaire,seuil_minimum
2024-12-31,ENT-SAG,BD-1099,10,287.66,5
2025-01-31,ENT-QC,BD-1051,23,79.76,18
2025-06-30,ENT-QC,BD-1131,12,37.08,14
2024-08-31,ENT-SAG,BD-1074,92,108.27,5
2025-09-30,ENT-SAG,BD-1027,28,254.96,6
2024-02-29,ENT-QC,BD-1165,40,105.70,12
2024-11-30,ENT-QC,BD-1159,52,166.16,20
2024-12-31,ENT-QC,BD-1058,0,146.46,18
2025-05-31,ENT-QC,BD-1161,24,64.16,14
2025-05-31,ENT-QC,BD-1166,37,217.35,13
2024-06-30,ENT-QC,BD-1082,19,278.39,11
2025-11-30,ENT-QC,BD-1116,19,60.17,16
2025-10-31,ENT-QC,BD-1156,58,164.64,12
2024-07-31,ENT-MTL,BD-1165,18,105.70,12
2025-03-31,ENT-QC,BD-1013,11,315.34,12
2024-09-30,ENT-MTL,BD-1113,2,276.01,9
2025-09-30,ENT-QC,BD-1026,11,246.82,11
2025-02-28,ENT-QC,BD-1060,23,246.98,17
2025-03-31,ENT-QC,BD-1031,5,300.62,14
2024-02-29,ENT-MTL,BD-1021,0,201.55,11
2024-12-31,ENT-MTL,BD-1033,11,110.89,13
2025-02-28,ENT-QC,BD-1143,8,220.45,13
2025-07-31,ENT-SAG,BD-1162,51,68.38,6
2024-08-31,ENT-QC,BD-1104,7,75.12,11
2025-07-31,ENT-MTL,BD-1083,13,189.32,10
2025-07-31,ENT-MTL,BD-1139,15,203.11,16
2025-08-31,ENT-SAG,BD-1148,0,302.28,5
2025-05-31,ENT-SAG,BD-1156,13,164.64,5
2025-04-30,ENT-QC,BD-1156,5,164.64,12
2025-08-31,ENT-MTL,BD-1080,48,208.57,11
2024-09-30,ENT-QC,BD-1182,30,56.87,14
2024-01-31,ENT-QC,BD-1148,13,296.06,12
2024-11-30,ENT-QC,BD-1068,59,284.28,13
2025-02-28,ENT-MTL,BD-1077,6,171.09,13
2024-12-31,ENT-SAG,BD-1116,0,58.93,7
2024-12-31,ENT-QC,BD-1064,30,69.43,15
2025-11-30,ENT-MTL,BD-1042,17,267.02,22
2025-09-30,ENT-QC,BD-1002,6,298.72,7
2025-09-30,ENT-QC,BD-1110,11,182.67,12
2024-06-30,ENT-QC,BD-1124,84,150.61,12
2025-07-31,ENT-MTL,BD-1154,3,329.92,12
2024-10-31,ENT-QC,BD-1141,57,307.78,10
2024-08-31,ENT-QC,BD-1128,1,77.25,10
2025-09-30,ENT-SAG,BD-1068,89,342.49,5
2025-03-31,ENT-QC,BD-1116,4,60.17,16
2024-02-29,ENT-SAG,BD-1100,6,306.44,4
2025-08-31,ENT-QC,BD-1057,89,23.20,17
2025-11-30,ENT-QC,BD-1045,13,78.37,16
2024-09-30,ENT-MTL,BD-1105,0,166.12,11
2024-07-31,ENT-SAG,BD-1009,42,66.28,3
2024-07-31,ENT-SAG,BD-1050,78,291.69,8
2025-09-30,ENT-QC,BD-1064,15,70.89,15
2025-04-30,ENT-QC,BD-1072,13,200.75,13
2025-06-30,ENT-QC,BD-1087,0,215.66,15
2025-05-31,ENT-QC,BD-1086,2,97.25,12
2025-11-30,ENT-QC,BD-1092,66,168.72,15
2025-04-30,ENT-QC,BD-1035,70,30.63,19
2025-01-31,ENT-QC,BD-1169,21,282.28,14
2025-08-31,ENT-MTL,BD-1054,68,262.94,16
2025-09-30,ENT-MTL,BD-1032,4,409.59,12
2024-06-30,ENT-SAG,BD-1160,69,40.71,6
2025-02-28,ENT-QC,BD-1129,16,46.45,20
2025-04-30,ENT-MTL,BD-1128,10,78.87,10
2024-09-30,ENT-MTL,BD-1149,70,108.85,17
2025-05-31,ENT-MTL,BD-1173,40,212.35,15
2025-08-31,ENT-MTL,BD-1121,3,44.65,9
2025-01-31,ENT-QC,BD-1117,0,100.34,10
2024-07-31,ENT-QC,BD-1083,9,157.14,11
2025-03-31,ENT-SAG,BD-1107,15,150.54,6
2024-04-30,ENT-MTL,BD-1157,12,24.69,12
2025-03-31,ENT-QC,BD-1012,0,69.62,11
2025-08-31,ENT-QC,BD-1117,0,100.34,10
2024-09-30,ENT-SAG,BD-1143,72,215.92,5
2025-06-30,ENT-MTL,BD-1137,5,25.59,13
2025-03-31,ENT-MTL,BD-1036,91,162.40,18
2024-09-30,ENT-QC,BD-1160,20,40.71,15
2024-09-30,ENT-SAG,BD-1109,17,303.82,4
2025-06-30,ENT-MTL,BD-1079,6,147.87,12
2025-11-30,ENT-MTL,BD-1146,51,225.52,14
2024-12-31,ENT-MTL,BD-1164,11,98.38,10
2024-12-31,ENT-MTL,BD-1124,0,150.61,12
2025-03-31,ENT-QC,BD-1069,13,202.67,12
2025-03-31,ENT-QC,BD-1140,9,41.26,12
2024-09-30,ENT-MTL,BD-1002,1,292.58,7
2024-01-31,ENT-SAG,BD-1178,44,116.97,7
2024-01-31,ENT-SAG,BD-1167,25,205.42,5
2025-11-30,ENT-QC,BD-1034,14,182.99,13
2025-03-31,ENT-QC,BD-1007,10,57.14,10
2025-01-31,ENT-QC,BD-1034,8,155.08,13
2024-08-31,ENT-MTL,BD-1067,60,23.77,13
2024-11-30,ENT-QC,BD-1030,17,98.88,11
2024-02-29,ENT-MTL,BD-1040,9,268.77,17
2025-09-30,ENT-MTL,BD-1048,13,33.51,15
2025-07-31,ENT-QC,BD-1074,4,130.44,13
2025-10-31,ENT-QC,BD-1091,72,336.22,11
2024-05-31,ENT-QC,BD-1137,0,25.06,13
2025-02-28,ENT-SAG,BD-1177,47,215.66,5
2024-11-30,ENT-QC,BD-1043,26,294.10,15
2025-03-31,ENT-QC,BD-1091,18,284.93,11
2025-02-28,ENT-SAG,BD-1094,11,124.30,5
2024-11-30,ENT-SAG,BD-1019,15,170.21,5
2025-04-30,ENT-QC,BD-1135,6,40.73,15
2025-02-28,ENT-MTL,BD-1002,6,298.72,7
2024-02-29,ENT-MTL,BD-1041,10,159.88,15
2025-07-31,ENT-SAG,BD-1118,13,343.17,5
2024-04-30,ENT-SAG,BD-9834,10,128.81,5
2024-11-30,ENT-QC,BD-1024,9,185.46,12
2025-01-31,ENT-MTL,BD-1156,6,164.64,11
2024-09-30,ENT-MTL,BD-1058,18,146.46,17
2025-02-28,ENT-MTL,BD-1167,23,209.73,12
2025-10-31,ENT-QC,BD-1002,8,298.72,7
2025-01-31,ENT-MTL,BD-1083,8,160.44,10
2025-03-31,ENT-MTL,BD-1048,62,33.51,15
2024-01-31,ENT-MTL,BD-1008,8,128.94,9
2024-04-30,ENT-MTL,BD-1056,94,287.11,18
2025-05-31,ENT-MTL,BD-1152,7,271.40,9
2024-02-29,ENT-QC,BD-1057,14,19.26,17
2024-09-30,ENT-QC,BD-1021,5,201.55,12
2024-02-29,ENT-QC,BD-1136,19,110.14,12
2025-05-31,ENT-MTL,BD-1142,12,100.93,10
2025-09-30,ENT-QC,BD-1048,6,33.51,16
2025-08-31,ENT-SAG,BD-1112,4,67.02,5
2024-04-30,ENT-SAG,BD-1050,116,291.69,8
2025-11-30,ENT-MTL,BD-1176,23,328.78,16
2024-07-31,ENT-MTL,BD-1090,6,57.58,11
2024-11-30,ENT-QC,BD-1052,0,179.27,17
2024-02-29,ENT-MTL,BD-1128,17,77.25,10
2025-06-30,ENT-MTL,BD-1127,10,174.31,14
2025-07-31,ENT-MTL,BD-1085,7,49.28,9
2024-01-31,ENT-SAG,BD-1026,16,241.74,4
2025-06-30,ENT-QC,BD-1169,46,282.28,14
2024-04-30,ENT-SAG,BD-1008,65,128.94,4
2024-09-30,ENT-SAG,BD-1055,25,209.35,7
2024-10-31,ENT-QC,BD-1043,0,294.10,15
2024-08-31,ENT-QC,BD-1154,5,323.13,13
2025-04-30,ENT-QC,BD-1093,7,134.96,10
2024-10-31,ENT-MTL,BD-1077,63,167.57,13
2024-12-31,ENT-SAG,BD-1126,0,130.29,5
2025-01-31,ENT-QC,BD-1061,24,76.81,18
2024-07-31,ENT-QC,BD-1099,25,287.66,12
2025-01-31,ENT-MTL,BD-1163,13,300.77,10
2025-04-30,ENT-QC,BD-1048,83,33.51,16
2025-09-30,ENT-MTL,BD-1109,8,310.20,10
2025-12-31,ENT-QC,BD-1137,86,25.59,13
2025-09-30,ENT-MTL,BD-1108,3,169.96,13
2025-12-31,ENT-QC,BD-1096,15,205.70,10
2024-11-30,ENT-QC,BD-1082,52,278.39,11
2024-01-31,ENT-QC,BD-1049,34,30.58,18
2025-08-31,ENT-SAG,BD-1097,83,253.06,5
2024-01-31,ENT-QC,BD-1084,14,312.00,12
2024-07-31,ENT-QC,BD-1103,8,151.66,13
2024-08-31,ENT-QC,BD-1106,13,333.09,14
2025-02-28,ENT-QC,BD-1105,11,169.61,12
2025-04-30,ENT-MTL,BD-1126,65,133.03,12
2024-05-31,ENT-MTL,BD-1071,4,301.72,15
2025-03-31,ENT-QC,BD-1149,29,111.14,18
2024-04-30,ENT-MTL,BD-1106,60,333.09,13
2025-03-31,ENT-QC,BD-1153,11,116.00,11
2025-06-30,ENT-MTL,BD-1108,61,169.96,13
2025-08-31,ENT-MTL,BD-1168,28,229.43,12
2024-07-31,ENT-QC,BD-1110,10,178.91,12
2025-02-28,ENT-QC,BD-1172,20,221.22,13
2024-05-31,ENT-QC,BD-1143,2,215.92,13
2025-08-31,ENT-QC,BD-1054,101,262.94,17
2025-12-31,ENT-SAG,BD-1082,13,335.40,4
2025-10-31,ENT-MTL,BD-1096,48,205.70,10
2025-07-31,ENT-QC,BD-1143,9,220.45,13
2024-12-31,ENT-SAG,BD-1033,38,110.89,6
2025-06-30,ENT-QC,BD-1111,67,148.90,12
2024-03-31,ENT-QC,BD-1066,8,199.26,10
2024-08-31,ENT-QC,BD-1176,52,322.02,17
2025-09-30,ENT-QC,BD-1063,13,247.24,21
2025-12-31,ENT-MTL,BD-1055,25,213.75,15
2024-11-30,ENT-MTL,BD-1068,60,284.28,12
2025-06-30,ENT-MTL,BD-1023,53,244.32,13
2025-06-30,ENT-MTL,BD-1004,57,158.83,10
2025-10-31,ENT-QC,BD-1063,13,247.24,21
2024-08-31,ENT-SAG,BD-1068,74,284.28,5
2024-03-31,ENT-MTL,BD-1125,16,285.25,11
2024-10-31,ENT-QC,BD-1093,55,132.18,10
2025-05-31,ENT-QC,BD-1151,6,92.25,10
2024-04-30,ENT-MTL,BD-1152,12,265.82,9
2025-11-30,ENT-QC,BD-1132,76,128.45,14
2024-10-31,ENT-QC,BD-1098,77,257.11,15
2024-12-31,ENT-QC,BD-1105,18,166.12,12
2025-03-31,ENT-QC,BD-1159,43,169.65,20
2025-03-31,ENT-QC,BD-1010,9,88.91,12
2024-10-31,ENT-QC,BD-1062,34,112.54,17
2024-06-30,ENT-MTL,BD-1173,27,207.98,15
2024-01-31,ENT-QC,BD-1108,9,166.46,14
2024-07-31,ENT-SAG,BD-1103,34,151.66,5
2025-11-30,ENT-MTL,BD-1019,3,205.07,11
2025-09-30,ENT-QC,BD-1124,20,153.77,12
2024-06-30,ENT-MTL,BD-1176,33,322.02,16
2025-11-30,ENT-MTL,BD-1067,68,28.64,13
2025-12-31,ENT-SAG,BD-1075,0,71.97,5
2025-01-31,ENT-MTL,BD-1044,11,199.55,16
2024-03-31,ENT-QC,BD-1009,18,66.28,9
2025-03-31,ENT-SAG,BD-1092,29,142.98,6
2025-01-31,ENT-SAG,BD-1068,3,290.25,5
2024-01-31,ENT-MTL,BD-1107,14,147.44,13
2024-08-31,ENT-QC,BD-1177,17,211.22,12
2024-05-31,ENT-SAG,BD-1002,33,292.58,3
2025-02-28,ENT-SAG,BD-1150,8,347.06,6
2025-09-30,ENT-MTL,BD-1124,10,153.77,12
2024-11-30,ENT-MTL,BD-1057,8,19.26,16
2024-09-30,ENT-SAG,BD-1178,25,116.97,7
2024-11-30,ENT-QC,BD-1079,70,144.83,12
2025-01-31,ENT-QC,BD-1078,9,201.79,9
2024-06-30,ENT-MTL,BD-1104,45,75.12,11
2024-02-29,ENT-SAG,BD-1065,13,128.81,5
2025-12-31,ENT-SAG,BD-1132,70,128.45,6
2025-07-31,ENT-QC,BD-1181,55,312.40,18
2024-04-30,ENT-SAG,BD-1147,2,339.78,4
2025-10-31,ENT-MTL,BD-1171,27,85.46,12
2024-05-31,ENT-MTL,BD-1127,0,170.72,14
2025-01-31,ENT-QC,BD-1106,4,340.08,14
2024-06-30,ENT-MTL,BD-1117,51,98.28,10
2024-03-31,ENT-MTL,BD-1036,102,159.06,18
2025-12-31,ENT-SAG,BD-1100,4,369.19,4
2025-12-31,ENT-MTL,BD-1036,14,191.63,18
2024-03-31,ENT-QC,BD-1062,91,112.54,17
2024-07-31,ENT-MTL,BD-1058,74,146.46,17
2024-08-31,ENT-SAG,BD-1073,87,255.00,6
2025-03-31,ENT-MTL,BD-1066,11,203.44,9
2024-10-31,ENT-SAG,BD-1093,80,132.18,4
2024-03-31,ENT-QC,BD-1133,9,61.66,16
2024-08-31,ENT-MTL,BD-1109,4,303.82,10
2024-02-29,ENT-QC,BD-1110,9,178.91,12
2025-04-30,ENT-MTL,BD-1116,65,60.17,16
2025-04-30,ENT-SAG,BD-1117,42,100.34,4
2024-02-29,ENT-MTL,BD-1172,23,216.67,12
2025-05-31,ENT-QC,BD-1105,57,169.61,12
2024-03-31,ENT-QC,BD-1069,7,198.50,12
2025-04-30,ENT-MTL,BD-1021,58,205.78,11
2024-05-31,ENT-QC,BD-1150,17,339.92,14
2025-06-30,ENT-MTL,BD-1080,12,208.57,11
2025-04-30,ENT-QC,BD-1115,63,47.23,11
2024-06-30,ENT-SAG,BD-1078,2,197.64,4
2024-03-31,ENT-SAG,BD-1163,27,294.58,4
2025-01-31,ENT-QC,BD-1036,15,162.40,19
2024-02-29,ENT-MTL,BD-1084,6,312.00,12
2025-01-31,ENT-QC,BD-9069,16,346.92,10
2025-01-31,ENT-QC,BD-1092,5,142.98,15
2024-06-30,ENT-MTL,BD-1153,22,113.61,10
2025-03-31,ENT-MTL,BD-1080,0,176.76,11
2024-11-30,ENT-MTL,BD-1120,6,182.88,11
2025-01-31,ENT-QC,BD-1130,14,323.89,14
2024-06-30,ENT-MTL,BD-1033,61,110.89,13
2024-08-31,ENT-QC,BD-1101,74,62.94,12
2024-11-30,ENT-SAG,BD-1075,87,59.74,5
2024-06-30,ENT-MTL,BD-1024,57,185.46,12
2024-05-31,ENT-SAG,BD-1050,139,291.69,8
2025-03-31,ENT-MTL,BD-1127,6,174.31,14
2024-04-30,ENT-QC,BD-1135,10,39.89,15
2024-01-31,ENT-MTL,BD-1104,17,75.12,11
2024-09-30,ENT-QC,BD-1016,12,219.41,9
2024-03-31,ENT-MTL,BD-1094,19,121.74,11
2024-12-31,ENT-QC,BD-1049,6,30.58,18
2024-02-29,ENT-QC,BD-1097,17,210.05,12
2024-06-30,ENT-MTL,BD-1048,64,32.82,15
2025-02-28,ENT-SAG,BD-1074,20,110.54,5
2024-12-31,ENT-MTL,BD-1007,9,55.96,9
2025-04-30,ENT-QC,BD-1092,28,142.98,15
2024-11-30,ENT-SAG,BD-1134,66,60.50,4
2025-08-31,ENT-SAG,BD-1052,119,183.03,7
2024-07-31,ENT-QC,BD-1101,19,62.94,12
2024-05-31,ENT-MTL,BD-1006,35,178.72,10
2025-11-30,ENT-SAG,BD-1141,67,314.24,4
2025-10-31,ENT-MTL,BD-1124,9,153.77,12
2025-09-30,ENT-QC,BD-1126,3,133.03,12
2025-08-31,ENT-QC,BD-1037,119,16.65,22
2024-12-31,ENT-MTL,BD-1129,99,45.49,19
2025-11-30,ENT-SAG,BD-1172,44,221.22,5
2024-09-30,ENT-QC,BD-1097,59,210.05,12
2025-12-31,ENT-SAG,BD-1143,71,220.45,5
2024-08-31,ENT-SAG,BD-1147,12,339.78,4
2025-12-31,ENT-SAG,BD-1021,5,242.82,5
2024-01-31,ENT-QC,BD-1008,22,128.94,10
2025-02-28,ENT-SAG,BD-1078,18,201.79,4
2025-04-30,ENT-MTL,BD-1029,36,243.45,10
2024-07-31,ENT-SAG,BD-1121,9,43.73,4
2025-06-30,ENT-QC,BD-1001,55,219.63,9
2024-10-31,ENT-MTL,BD-1148,54,296.06,11
2024-01-31,ENT-MTL,BD-1179,15,226.59,12
2024-10-31,ENT-MTL,BD-1163,19,294.58,10
2025-07-31,ENT-MTL,BD-1077,10,171.09,13
2024-09-30,ENT-MTL,BD-1101,52,62.94,12
2024-02-29,ENT-SAG,BD-1143,0,215.92,5
2024-02-29,ENT-QC,BD-1078,5,197.64,9
2025-06-30,ENT-QC,BD-1058,97,149.54,18
2024-05-31,ENT-MTL,BD-1042,97,261.53,22
2025-09-30,ENT-QC,BD-1004,13,158.83,11
2024-11-30,ENT-QC,BD-1057,31,19.26,17
2025-12-31,ENT-SAG,BD-1109,14,310.20,4
2025-01-31,ENT-QC,BD-1085,14,41.76,10
2024-09-30,ENT-SAG,BD-1094,77,121.74,5
2025-02-28,ENT-SAG,BD-1071,7,308.06,7
2024-08-31,ENT-SAG,BD-1165,30,105.70,5
2025-05-31,ENT-QC,BD-1089,18,189.92,12
2025-09-30,ENT-SAG,BD-1152,65,271.40,4
2025-10-31,ENT-QC,BD-1104,5,76.70,11
2025-04-30,ENT-SAG,BD-1102,15,260.69,4
2025-07-31,ENT-SAG,BD-1082,18,335.40,4
2024-11-30,ENT-QC,BD-1136,72,110.14,12
2024-02-29,ENT-MTL,BD-1058,6,146.46,17
2024-06-30,ENT-MTL,BD-1073,6,255.00,13
2025-09-30,ENT-MTL,BD-1102,44,260.69,10
2025-08-31,ENT-QC,BD-1152,14,271.40,10
2024-05-31,ENT-MTL,BD-1004,45,155.56,10
2025-08-31,ENT-QC,BD-1181,68,312.40,18
2025-08-31,ENT-QC,BD-1018,7,247.17,6
2025-12-31,ENT-SAG,BD-1153,83,116.00,4
2024-08-31,ENT-QC,BD-1037,111,16.31,22
2025-10-31,ENT-SAG,BD-1150,98,347.06,6
2024-03-31,ENT-QC,BD-1160,23,40.71,15
2024-08-31,ENT-MTL,BD-1173,33,207.98,15
2024-02-29,ENT-QC,BD-1112,17,65.64,13
2024-12-31,ENT-QC,BD-1102,13,255.33,10
2024-05-31,ENT-QC,BD-1112,62,65.64,13
2025-06-30,ENT-MTL,BD-1029,43,243.45,10
2024-06-30,ENT-MTL,BD-1006,47,178.72,10
2025-06-30,ENT-MTL,BD-1071,0,363.51,15
2024-08-31,ENT-MTL,BD-1128,2,77.25,10
2024-12-31,ENT-QC,BD-1168,41,224.71,13
2024-04-30,ENT-MTL,BD-1055,75,209.35,15
2025-09-30,ENT-SAG,BD-1117,10,100.34,4
2024-05-31,ENT-MTL,BD-1110,48,178.91,12
2024-03-31,ENT-SAG,BD-1063,137,242.15,9
2024-02-29,ENT-SAG,BD-1122,15,208.30,4
2024-02-29,ENT-MTL,BD-1135,14,39.89,14
2025-11-30,ENT-MTL,BD-1138,68,88.19,13
2024-10-31,ENT-MTL,BD-1151,46,90.35,10
2024-05-31,ENT-QC,BD-1008,45,128.94,10
2024-11-30,ENT-MTL,BD-1107,2,147.44,13
2024-02-29,ENT-QC,BD-1012,27,68.19,11
2025-08-31,ENT-QC,BD-1114,6,152.73,12
2024-02-29,ENT-QC,BD-1106,25,333.09,14
2025-06-30,ENT-QC,BD-1025,51,149.35,9
2025-01-31,ENT-QC,BD-1122,6,212.67,11
2025-05-31,ENT-QC,BD-1112,66,67.02,13
2024-01-31,ENT-QC,BD-1017,4,307.26,14
2025-12-31,ENT-MTL,BD-1167,28,209.73,12
2025-04-30,ENT-SAG,BD-1046,115,315.40,7
2025-12-31,ENT-QC,BD-1111,9,148.90,12
2025-10-31,ENT-SAG,BD-1132,87,128.45,6
2024-04-30,ENT-MTL,BD-1163,14,294.58,10
2025-06-30,ENT-QC,BD-1124,57,153.77,12
2025-11-30,ENT-SAG,BD-1143,70,220.45,5
2024-10-31,ENT-MTL,BD-1010,8,87.08,11
2025-03-31,ENT-MTL,BD-1113,10,281.81,9
2024-09-30,ENT-MTL,BD-1136,65,110.14,12
2024-05-31,ENT-QC,BD-1167,32,205.42,13
2025-10-31,ENT-SAG,BD-1121,14,44.65,4
2024-04-30,ENT-MTL,BD-1048,55,32.82,15
2024-02-29,ENT-MTL,BD-1182,22,56.87,13
2024-02-29,ENT-QC,BD-1162,28,66.97,14
