NO COMMANDE;DATE COMMANDE;DATE LIVRAISON;DATE PAIEMENT;CODE CLIENT;REPRESENTANT;ENTREPOT;CODE ARTICLE;QTE;PRIX UNITAIRE;REMISE %;COUT UNITAIRE;CANAL DE VENTE
CMD-101930;23/10/2024;28-oct-24;06/12/2024;CLI-0063;EMP-503;ENT-MTL;BD-1145;4;157,15;14,70;108,83;Représentant
CMD-102090;13/11/2024;20/11/2024;2025-01-01;CLI-0007;EMP-508;ENT-QC;BD-1143;4;364,39;2,90;215,92;Représentant
CMD-101571;13-sept-24;22/09/2024;28/10/2024;CLI-0075;EMP-506;ENT-MTL;BD-1070;4;70,65;7,30;39,88;Représentant
CMD-101278;n/d;17/08/2024;2024-09-16;CLI-0062;EMP-507;ENT-MTL;BD-1113;12;367,59;13,90;276,01;Représentant
CMD-101891;18-oct-24;22/10/2024;26/11/2024;CLI-0052;EMP-504;ENT-MTL;BD-1085;2;59,67;11,20;40,90;Représentant
CMD-101218;03/08/2024;2024-08-06;28/09/2024;CLI-0091;EMP-504;ENT-SAG;BD-1055;2;301,70;8,10;209,35;Salon
CMD-101883;17-oct-24;22/10/2024;10/12/2024;CLI-0166;EMP-503;ENT-MTL;BD-1068;24;469,20;16,80;284,28;Portail web
CMD-100895;2024-06-10;17/06/2024;27/07/2024;CLI-0133;EMP-508;ENT-SAG;BD-1180;24;162,46;14,20;93,34;Représentant
CMD-100514;17-avr-24;22/04/2024;13/06/2024;CLI-0089;EMP-502;ENT-QC;BD-1120;7;235,50;20,70;182,88;Représentant
CMD-101194;2024-08-01;04/08/2024;04/09/2024;CLI-0059;EMP-504;ENT-MTL;BD-1025;5;174,34;25,40;146,28;Téléphone
CMD-101600;16/09/2024;21/09/2024;23/10/2024;CLI-0146;EMP-503;ENT-QC;BD-1148;12;382,24;16,90;296,06;Représentant
CMD-101357;21/08/2024;2024-08-30;03/10/2024;CLI-0017;EMP-507;ENT-SAG;BD-1003;6;258,10;13,40;188,61;Téléphone
CMD-100841;31/05/2024;07/06/2024;2024-07-09;CLI-0020;EMP-508;ENT-QC;BD-1104;2;104,73;5,40;75,12;Portail web
CMD-101367;22/08/2024;2024-08-25;;CLI-0099;EMP-505;ENT-SAG;BD-1023;6;280,75;25,60;239,29;Téléphone
CMD-101469;04/09/2024;08/09/2024;10-oct-24;CLI-0012;EMP-501;ENT-SAG;BD-1079;8;211,36;19,80;144,83;Courriel
CMD-100807;28/05/2024;02/06/2024;02-juil-24;CLI-0196;EMP-506;ENT-MTL;BD-1159;8;263,01;9,00;166,16;Représentant
CMD-102039;2024-11-06;10/11/2024;05/12/2024;CLI-0033;EMP-504;ENT-QC;BD-1153;6;180,10;10,20;113,61;Représentant
CMD-101630;19/09/2024;21/09/2024;2024-10-10;CLI-0114;EMP-502;ENT-QC;BD-1005;8;300,95;8,00;204,06;Représentant
CMD-100060;18/01/2024;2024-01-20;28/02/2024;CLI-0199;EMP-504;ENT-MTL;BD-1135;24;62,56;14,70;39,89;Téléphone
CMD-100127;07/02/2024;2024-02-12;26/03/2024;CLI-0031;EMP-509;ENT-MTL;BD-1114;2;215,14;14,80;149,59;Téléphone
CMD-101506;07/09/2024;12/09/2024;31/10/2024;CLI-0130;EMP-508;ENT-SAG;BD-1045;10;98,43;24,90;76,76;Représentant
CMD-100332;21/03/2024;2024-03-26;13/04/2024;CLI-0209;EMP-508;ENT-MTL;BD-1182;34;85,01;21,90;56,87;Courriel
CMD-101572;13/09/2024;18/09/2024;12/10/2024;CLI-0084;EMP-503;ENT-QC;BD-1070;12;64,69;15,10;39,88;Portail web
CMD-100212;29/02/2024;2024-03-06;10/04/2024;CLI-0209;EMP-508;ENT-MTL;BD-1176;10;476,22;24,50;322,02;Portail web
CMD-101166;26/07/2024;29/07/2024;05-sept-24;CLI-0189;EMP-501;ENT-SAG;BD-1044;6;298,70;7,50;195,45;Représentant
CMD-100663;08/05/2024;11/05/2024;2024-06-18;CLI-0007;EMP-508;ENT-SAG;BD-1024;1;310,51;7,10;185,46;Représentant
CMD-100467;2024-04-10;17/04/2024;28/05/2024;CLI-0181;EMP-504;ENT-MTL;BD-1062;2;168,56;6,20;112,54;Représentant
CMD-100884;07/06/2024;2024-06-15;16/07/2024;CLI-0063;EMP-503;ENT-QC;BD-1126;8;181,95;10,10;130,29;Téléphone
CMD-101162;26-juil-24;30/07/2024;20/09/2024;CLI-0132;EMP-507;ENT-MTL;BD-1035;6;40,96;15,30;30,00;Courriel
CMD-101312;2024-08-15;24/08/2024;24/09/2024;CLI-0191;EMP-504;ENT-MTL;BD-1078;8;342,83;10,60;197,64;Courriel
CMD-100088;26/01/2024;02/02/2024;10-mars-24;CLI-0139;EMP-506;ENT-QC;BD-1061;6;101,98;13,70;75,23;Représentant
CMD-100560;24/04/2024;27-avr-24;10/06/2024;CLI-0143;EMP-503;ENT-QC;BD-1172;3;355,87;15,00;216,67;Portail web
CMD-100041;11/01/2024;2024-01-18;09/02/2024;CLI-0169;EMP-507;ENT-QC;BD-1076;12;468,01;16,60;281,11;Portail web
CMD-101156;24/07/2024;29-juil-24;29/08/2024;CLI-0112;EMP-505;ENT-MTL;BD-1063;4;321,59;12,70;242,15;Représentant
CMD-100116;03/02/2024;2024-02-08;26/02/2024;CLI-0050;EMP-502;ENT-MTL;BD-1022;12;406,10;10,60;247,74;Représentant
CMD-101587;14/09/2024;2024-09-17;30/10/2024;CLI-0037 ;EMP-504;ENT-SAG;BD-1087;7;310,35;19,50;211,22;Téléphone
CMD-101397;27/08/2024;2024-09-01;27/10/2024;CLI-0154;EMP-507;ENT-MTL;BD-1005;3;277,66;15,10;204,06;Portail web
CMD-100165;17/02/2024;22/02/2024;2024-03-29;CLI-0031;EMP-509;ENT-MTL;BD-1072;4;336,88;14,90;196,62;Téléphone
CMD-100542;2024-04-22;01/05/2024;02/06/2024;CLI-0220;EMP-506;ENT-QC;BD-1159;3;239,95;17,00;166,16;Représentant
CMD-100290;2024-03-14;22/03/2024;17/04/2024;CLI-0220;EMP-506;ENT-SAG;BD-1037;3;25,95;13,30;16,31;Représentant
CMD-101533;10/09/2024;12/09/2024;2024-10-31;CLI-0161;EMP-508;ENT-MTL;BD-1083;3;284,15;7,50;157,14;Téléphone
CMD-100068;20/01/2024;2024-01-25;05/03/2024;CLI-0009;EMP-502;ENT-SAG;BD-1057;5;24,14;19,10;19,26;Représentant
CMD-101089;08/07/2024;2024-07-17;19/09/2024;CLI-0149;EMP-501;ENT-MTL;BD-1040;2;428,34;2,80;268,77;Représentant
CMD-100476;2024-04-11;15/04/2024;23/05/2024;CLI-0118;EMP-504;ENT-QC;BD-1038;3;475,60;13,80;313,36;Représentant
CMD-100272;11/03/2024;20/03/2024;2024-04-24;CLI-0099;EMP-505;ENT-SAG;BD-1148;11;354,71;22,90;296,06;Représentant
CMD-100258;08/03/2024;12/03/2024;18/04/2024;CLI-0116;EMP-509;ENT-SAG;BD-1095;6;89,74;13,40;53,64;Portail web
CMD-101383;24/08/2024;31/08/2024;2024-10-02;CLI-0060;EMP-508;ENT-QC;BD-1024;8;310,29;7,10;185,46;Portail web
CMD-102192;28-nov-24;06/12/2024;01/02/2025;CLI-0099;EMP-505;ENT-MTL;BD-1101;11;81,05;25,30;62,94;Portail web
CMD-102109;15/11/2024;2024-11-24;11/12/2024;CLI-0029;EMP-506;ENT-MTL;BD-1161;31;104,61;22,50;62,84;Représentant
CMD-100741;2024-05-20;27/05/2024;20/07/2024;CLI-0076;EMP-507;ENT-QC;BD-1044;15;263,02;18,60;195,45;Représentant
CMD-100752;2024-05-21;28/05/2024;20/06/2024;CLI-0210;EMP-503;ENT-MTL;BD-1105;3;241,04;7,00;166,12;Téléphone
CMD-100311;2024-03-18;23/03/2024;02/05/2024;CLI-0076;EMP-507;ENT-MTL;BD-1088;16;516,02;18,10;335,85;Téléphone
CMD-100590;2024-04-30;09/05/2024;20/06/2024;CLI-0030;EMP-501;ENT-MTL;BD-1172;4;405,52;3,10;216,67;Représentant
CMD-102234;04/12/2024;13/12/2024;17-janv-25;CLI-0079;EMP-509;ENT-QC;BD-1105;24;251,38;3,00;166,12;Portail web
CMD-102068;09/11/2024;15/11/2024;12-déc-24;CLI-0089;EMP-502;ENT-MTL;BD-1073;6;342,82;23,80;255,00;Portail web
CMD-100329;2024-03-20;25/03/2024;16/05/2024;CLI-0214;EMP-508;ENT-QC;BD-1074;6;189,20;2,60;108,27;N/A
CMD-100704;14/05/2024;19-mai-24;08/07/2024;CLI-0212;EMP-507;ENT-QC;BD-1041;11;188,52;25,60;159,88;Représentant
CMD-101146;23/07/2024;01/08/2024;17-août-24;CLI-0042;EMP-505;ENT-QC;BD-1080;8;283,08;14,40;173,12;Portail web
CMD-100656;08/05/2024;2024-05-12;14/06/2024;CLI-0029;EMP-506;ENT-MTL;BD-1107;80;170,13;22,80;147,44;Portail web
CMD-100674;10/05/2024;18/05/2024;30/06/2024;cli-0083;EMP-507;ENT-QC;BD-1024;1;306,59;8,30;185,46;Représentant
CMD-100447;2024-04-08;15/04/2024;18/05/2024;CLI-0017;EMP-507;ENT-MTL;BD-1037;1;24,85;16,90;16,31;Représentant
CMD-100153;14/02/2024;17/02/2024;31/03/2024;CLI-0128;EMP-502;ENT-SAG;BD-1062;12;152,50;15,10;112,54;Téléphone
CMD-100255;08-mars-24;10/03/2024;12/04/2024;CLI-0013;EMP-507;ENT-MTL;BD-1021;1;346,21;4,80;201,55;Courriel
CMD-102031;04/11/2024;12/11/2024;2024-12-22;CLI-0009;EMP-502;ENT-QC;BD-1137;-2;32,14;24,90;25,06;Portail web
CMD-101151;23/07/2024;30/07/2024;23-août-24;CLI-0003;EMP-508;ENT-QC;BD-1053;6;299,26;8,50;176,84;Téléphone
CMD-100254;08/03/2024;2024-03-14;25/04/2024;CLI-0158;EMP-507;ENT-QC;BD-1169;12;538,77;6,60;276,47;Portail web
CMD-101087;08/07/2024;17-juil-24;17/08/2024;CLI-0012;EMP-501;ENT-QC;BD-1146;6;278,05;26,00;220,88;Portail web
CMD-101735;01/10/2024;2024-10-05;06/11/2024;CLI-0081;EMP-502;ENT-MTL;BD-1064;12;105,57;15,70;69,43;Portail web
CMD-100334;21/03/2024;29/03/2024;03-mai-24;CLI-0193;EMP-509;ENT-QC;BD-1052;3;270,50;11,90;179,27;Portail web
CMD-100001;01/01/2024;08/01/2024;10/01/2024;CLI-0173;EMP-508;ENT-QC;BD-1127;3;260,79;13,40;170,72;Téléphone
CMD-100641;07/05/2024;13/05/2024;2024-06-26;CLI-0090;EMP-505;ENT-QC;BD-1178;1;173,95;15,30;116,97;Portail web
CMD-100721;16/05/2024;2024-05-24;03/07/2024;CLI-0135;EMP-506;ENT-SAG;BD-1033;4;167,96;10,40;110,89;Portail web
CMD-101304;14/08/2024;21-août-24;29/09/2024;cli-0012;EMP-501;ENT-MTL;BD-1002;11;378,61;19,20;292,58;Représentant
CMD-100538;20/04/2024;23/04/2024;2024-06-18;CLI-0109;EMP-501;ENT-MTL;BD-1002;4;441,46;5,80;292,58;Courriel
CMD-102160;22/11/2024;28/11/2024;25/12/2024;CLI-0215;EMP-503;ENT-QC;BD-1094;1;187,93;7,80;121,74;Téléphone
CMD-101103;12/07/2024;18/07/2024;2024-08-20;CLI-0139;EMP-506;ENT-QC;BD-1081;12;527,19;11,10;302,82;Téléphone
CMD-100756;2024-05-21;25/05/2024;04/07/2024;CLI-0088;EMP-504;ENT-MTL;BD-1018;6;418,26;10,00;242,09;Représentant
CMD-100351;26/03/2024;04/04/2024;2024-05-19;CLI-0157;EMP-502;ENT-QC;BD-1170;4;31,41;10,70;16,60;Salon
CMD-100310;18/03/2024;27/03/2024;;CLI-0035;EMP-503;ENT-MTL;BD-1108;3;244,14;10,60;166,46;Représentant
CMD-101223;2024-08-05;09/08/2024;18/09/2024;CLI-0195;EMP-506;ENT-SAG;BD-1015;1;451,80;14,90;318,69;Portail web
CMD-100466;10/04/2024;13/04/2024;2024-05-18;CLI-0217;EMP-506;ENT-SAG;BD-1048;6;40,11;21,70;32,82;Représentant
CMD-102211;29/11/2024;01/12/2024;2025-02-07;CLI-0121;EMP-508;ENT-MTL;BD-1127;1;254,60;15,50;170,72;Représentant
CMD-100844;2024-05-31;02/06/2024;01/08/2024;CLI-0042;EMP-505;ENT-QC;BD-1060;6;330,96;16,40;241,90;Portail web
CMD-100325;20/03/2024;22/03/2024;09-mai-24;CLI-0036;EMP-505;ENT-QC;BD-1104;6;96,69;12,60;75,12;Courriel
CMD-101836;11/10/2024;2024-10-18;25/11/2024;CLI-0214;EMP-508;ENT-MTL;BD-1001;1;305,59;8,80;182,30;Représentant
CMD-101196;01-août-24;05/08/2024;02/09/2024;CLI-0043;EMP-506;ENT-QC;BD-1104;4;93,99;15,10;75,12;Représentant
CMD-100002;01/01/2024;09/01/2024;02-mars-24;CLI-0073;EMP-501;ENT-QC;BD-1133;12;86,65;14,50;61,66;Représentant
CMD-102062;2024-11-08;11/11/2024;16/12/2024;CLI-0029;EMP-506;ENT-QC;BD-1076;21;435,69;22,30;281,11;Portail web
CMD-100914;12/06/2024;2024-06-15;12/07/2024;CLI-0079;EMP-509;ENT-MTL;BD-1039;12;186,79;5,60;119,66;Téléphone
CMD-100321;20/03/2024;2024-03-23;15/05/2024;CLI-0037;EMP-504;ENT-SAG;BD-1097;31;290,24;21,10;210,05;Représentant
CMD-100508;2024-04-16;18/04/2024;29/05/2024;CLI-0206;EMP-503;ENT-MTL;BD-1035;6;42,61;11,90;30,00;Représentant
CMD-102144;20-nov-24;28/11/2024;02/01/2025;CLI-0012;EMP-501;ENT-QC;BD-1073;3;358,64;20,30;255,00;Portail web
CMD-100759;21/05/2024;27/05/2024;2024-06-29;CLI-0210;EMP-503;ENT-QC;BD-1047;4;103,10;3,30;70,06;Représentant
CMD-101058;2024-07-03;12/07/2024;26/07/2024;CLI-0119;EMP-503;ENT-MTL;BD-1124;2;242,69;4,80;150,61;Représentant
CMD-100054;17/01/2024;20-janv-24;11/03/2024;CLI-0163;EMP-505;ENT-QC;BD-1021;2;337,61;7,20;201,55;Représentant
CMD-100370;28/03/2024;05-avr-24;14/05/2024;CLI-0099;EMP-505;ENT-SAG;BD-1050;34;411,80;18,30;291,69;Représentant
CMD-100255;08/03/2024;10/03/2024;12/04/2024;CLI-0013;EMP-507;ENT-MTL;BD-1045;12;124,77;4,80;76,76;Représentant
CMD-101479;04/09/2024;08/09/2024;2024-10-25;CLI-0029;EMP-506;ENT-SAG;BD-1046;15;379,63;20,50;308,91;Représentant
CMD-100499;15/04/2024;2024-04-22;12/05/2024;CLI-0061;EMP-503;ENT-MTL;BD-1059;8;453,91;13,90;324,94;Téléphone
CMD-100859;03/06/2024;10/06/2024;2024-07-23;CLI-0043;EMP-506;ENT-MTL;BD-1010;1;140,92;13,60;87,08;Représentant
CMD-101473;04/09/2024;13/09/2024;14-oct-24;CLI-0073;EMP-501;ENT-MTL;BD-1059;4;454,44;13,80;324,94;Téléphone
CMD-102247;09/12/2024;16/12/2024;04/01/2025;CLI-0082;EMP-504;ENT-MTL;BD-1155;4;525,69;3,00;322,38;Téléphone
CMD-100081;25-janv-24;30/01/2024;20/03/2024;cli-0207;EMP-501;ENT-QC;BD-1102;2;447,90;7,60;255,33;Téléphone
CMD-100694;13/05/2024;2024-05-20;20/06/2024;cli-0062;EMP-507;ENT-QC;BD-1170;4;31,09;11,60;16,60;Téléphone
CMD-101052;2024-07-02;04/07/2024;17/08/2024;CLI-0007;EMP-508;ENT-QC;BD-1061;6;114,17;3,30;75,23;Téléphone
CMD-100113;02/02/2024;08/02/2024;22-mars-24;CLI-0034;EMP-507;ENT-QC;BD-1138;24;126,65;14,00;86,38;Portail web
CMD-100847;2024-05-31;06/06/2024;31/07/2024;CLI-0188;EMP-506;ENT-MTL;BD-1122;4;304,06;10,90;208,30;Représentant
CMD-101139;22/07/2024;27/07/2024;2024-09-03;CLI-0099;EMP-505;ENT-MTL;BD-1062;5;135,28;24,70;112,54;Téléphone
CMD-102101;14/11/2024;17/11/2024;2025-01-06;CLI-0142;EMP-508;ENT-MTL;BD-1090;8;89,27;6,90;57,58;Portail web
CMD-100009;02/01/2024;11/01/2024;2024-02-07;CLI-0141;EMP-502;ENT-QC;BD-1131;1;58,51;12,70;36,32;Représentant
CMD-101024;28/06/2024;01-juil-24;27/08/2024;cli-0055;EMP-506;ENT-MTL;BD-1104;2;108,09;2,30;75,12;Portail web
CMD-100063;19/01/2024;21/01/2024;2024-02-19;CLI-0011 ;EMP-507;ENT-MTL;BD-1111;8;213,14;3,80;145,84;Portail web
CMD-101280;2024-08-12;17/08/2024;20/08/2024;CLI-0029;EMP-506;ENT-QC;BD-1172;22;341,18;18,50;216,67;Représentant
CMD-101340;19/08/2024;26-août-24;18/09/2024;CLI-0109;EMP-501;ENT-QC;BD-1047;12;100,75;5,50;70,06;Portail web
CMD-101644;20/09/2024;29/09/2024;2024-11-18;CLI-0125;EMP-509;ENT-QC;BD-1101;8;99,23;8,50;62,94;Téléphone
CMD-100256;08/03/2024;2024-03-11;20/04/2024;CLI-0035;EMP-503;ENT-MTL;BD-1181;3;533,62;14,60;305,97;Portail web
CMD-100912;2024-06-12;18/06/2024;26/07/2024;CLI-0103;EMP-502;ENT-MTL;BD-1057;4;28,23;5,40;19,26;Représentant
CMD-101996;30-oct-24;01/11/2024;23/11/2024;CLI-0080;EMP-506;ENT-SAG;BD-1151;4;134,86;15,20;90,35;Courriel
CMD-101729;30/09/2024;2024-10-09;04/11/2024;CLI-0146;EMP-503;ENT-MTL;BD-1106;2;459,50;13,40;333,09;Représentant
CMD-100556;24/04/2024;01/05/2024;21-mai-24;CLI-0112;EMP-505;ENT-QC;BD-1121;3;69,32;11,00;43,73;Portail web
CMD-100051;16-janv-24;18/01/2024;07/03/2024;CLI-0208;EMP-507;ENT-SAG;BD-1148;8;391,76;14,80;296,06;Portail web
CMD-102206;29-nov-24;04/12/2024;25/12/2024;cli-0088;EMP-504;ENT-QC;BD-1007;2;85,99;16,80;55,96;Courriel
CMD-101987;30/10/2024;02-nov-24;06/12/2024;CLI-0056;EMP-502;ENT-MTL;BD-1168;13;317,38;20,70;224,71;Salon
CMD-100193;26/02/2024;2024-03-01;28/03/2024;CLI-0026;EMP-506;ENT-QC;BD-1161;4;114,53;15,20;62,84;Courriel
CMD-101613;2024-09-17;22/09/2024;08/10/2024;CLI-0080;EMP-506;ENT-MTL;BD-1093;1;187,42;16,30;132,18;Portail web
CMD-100039;11/01/2024;16/01/2024;2024-02-02;CLI-0053;EMP-509;ENT-QC;BD-1153;8;171,71;14,40;113,61;Téléphone
CMD-100952;17-juin-24;25/06/2024;23/07/2024;CLI-0130;EMP-508;ENT-QC;BD-1162;7;111,85;18,40;66,97;Portail web
CMD-100854;03/06/2024;08-juin-24;11/07/2024;CLI-0117;EMP-504;ENT-MTL;BD-1120;3;276,59;6,80;182,88;Portail web
CMD-100535;2024-04-19;26/04/2024;09/06/2024;CLI-0052;EMP-504;ENT-QC;BD-1166;1;349,16;16,00;212,88;Téléphone
CMD-100458;09/04/2024;14/04/2024;2024-06-10;CLI-0049;EMP-508;ENT-QC;BD-1117;24;130,94;11,60;98,28;Représentant
CMD-101082;08/07/2024;12-juil-24;15/08/2024;CLI-0137;EMP-503;ENT-MTL;BD-1117;4;121,40;18,10;98,28;Téléphone
CMD-100992;24/06/2024;03/07/2024;2024-07-22;CLI-0171;EMP-507;ENT-SAG;BD-1073;2;416,92;7,30;255,00;Salon
CMD-101583;13/09/2024;17/09/2024;07-nov-24;CLI-0151;EMP-504;ENT-QC;BD-1050;24;487,51;3,30;291,69;Salon
CMD-100375;28/03/2024;01/04/2024;2024-06-08;CLI-0109;EMP-501;ENT-MTL;BD-1165;4;169,06;8,10;105,70;Salon
CMD-102171;25/11/2024;02/12/2024;10/01/2025;CLI-0216;EMP-503;ENT-SAG;BD-1073;2;415,50;7,60;255,00;Représentant
CMD-100823;2024-05-29;02/06/2024;02/07/2024;CLI-0209;EMP-508;ENT-QC;BD-1171;0;119,11;24,80;83,70;Représentant
