no_achat	date_commande	date_prevue	date_reception	code_fournisseur	code_article	quantite	cout_unitaire	statut
ACH-70010	2024-05-29	2024-06-05	2024-06-30	FRN-001	BD-1066	12	199,26 $	Recue
ACH-70011	2024-06-08	2024-06-15	2024-06-15	FRN-001	BD-1080	48	173,12 $	Recue
ACH-70011	2024-06-08	2024-06-15	2024-06-15	FRN-001	BD-1089	96	157,64 $	Recue
ACH-70011	2024-06-08	2024-06-15	2024-06-15	FRN-001	BD-1090	36	57,58 $	Recue
ACH-70011	2024-06-08	2024-06-15	2024-06-15	FRN-001	BD-1072	36	196,62 $	Recue
ACH-70012	2024-06-20	2024-06-27	2024-06-27	FRN-001	BD-1073	36	255,00 $	Recue
ACH-70012	2024-06-20	2024-06-27	2024-06-27	FRN-001	BD-1100	60	306,44 $	Recue
ACH-70012	2024-06-20	2024-06-27	2024-06-27	FRN-001	BD-1100	120	306,44 $	Recue
ACH-70013	2024-07-01	2024-07-08	2024-07-08	FRN-001	BD-1100	120	306,44 $	Recue
ACH-70013	2024-07-01	2024-07-08	2024-07-08	FRN-001	BD-1076	36	281,11 $	Recue
ACH-70013	2024-07-01	2024-07-08	2024-07-08	FRN-001	BD-1078	24	197,64 $	Recue
ACH-70013	2024-07-01	2024-07-08	2024-07-08	FRN-001	BD-1034	96	151,89 $	Recue
ACH-70013	2024-07-01	2024-07-08	2024-07-08	FRN-001	BD-1065	96	128,81 $	Recue
ACH-70014	2024-07-15	2024-07-22	2024-07-22	FRN-001	BD-1030	24	98,88 $	Recue
ACH-70014	2024-07-15	2024-07-22	2024-07-22	FRN-001	BD-1022	240	247,74 $	Recue
ACH-70014	2024-07-15	2024-07-22	2024-07-22	FRN-001	BD-1078	24	197,64 $	Recue
ACH-70015	2024-08-03	2024-08-10	2024-08-10	FRN-001	BD-1075	12	59,74 $	Recue
ACH-70015	2024-08-03	2024-08-10	2024-08-10	FRN-001	BD-1078	48	197,64 $	Recue
ACH-70016	2024-08-18	2024-08-25	2024-08-25	FRN-001	BD-1101	96	62,94 $	Recue
ACH-70016	2024-08-18	2024-08-25	2024-08-25	FRN-001	BD-1022	24	247,74 $	Recue
ACH-70016	2024-08-18	2024-08-25	2024-08-25	FRN-001	BD-1082	240	278,39 $	Recue
ACH-70017	2024-08-28	2024-09-04	2024-09-09	FRN-001	BD-9239	60	132,18 $	Recue
ACH-70017	2024-08-28	2024-09-04	2024-09-09	FRN-001	BD-1088	96	335,85 $	Recue
ACH-70017	2024-08-28	2024-09-04	2024-09-09	FRN-001	BD-1082	240	278,39 $	Recue
ACH-70017	2024-08-28	2024-09-04	2024-09-09	FRN-001	BD-1086	24	80,72 $	Recue
ACH-70018	2024-09-16	2024-09-23	2024-09-29	FRN-001	BD-1059	60	324,94 $	Recue
ACH-70019	2024-09-27	2024-10-04	2024-10-04	FRN-001	BD-1078	96	197,64 $	Recue
ACH-70019	2024-09-27	2024-10-04	2024-10-04	FRN-001	BD-1030	240	98,88 $	Recue
ACH-70020	2024-10-08	2024-10-15	2024-10-15	FRN-001	BD-1046	36	308,91 $	Recue
ACH-70020	2024-10-08	2024-10-15	2024-10-15	FRN-001	BD-1097	36	210,05 $	Recue
ACH-70020	2024-10-08	2024-10-15	2024-10-15	FRN-001	BD-1095	60	53,64 $	Recue
ACH-70021	2024-10-19	2024-10-26	2024-10-26	FRN-001	BD-1081	60	302,82 $	Recue
ACH-70021	2024-10-19	2024-10-26	2024-10-26	FRN-001	BD-1080	12	173,12 $	Recue
ACH-70022	2024-10-29	2024-11-05	2024-11-05	FRN-001	BD-1083	48	157,14 $	Recue
ACH-70023	2024-11-09	2024-11-16	2024-11-16	FRN-001	BD-1003	96	188,61 $	Recue
ACH-70024	2024-11-24	2024-12-01	2024-12-11	FRN-001	BD-1101	60	62,94 $	Recue
ACH-70024	2024-11-24	2024-12-01	2024-12-11	FRN-001	BD-1091	240	279,07 $	Recue
ACH-70024	2024-11-24	2024-12-01	2024-12-11	FRN-001	BD-1069	48	198,50 $	Recue
ACH-70025	2024-12-06	2024-12-13	2024-12-13	FRN-001	BD-1090	60	57,58 $	Recue
ACH-70026	2024-12-26	2025-01-02	2025-01-02	FRN-001	BD-1070	96	39,88 $	Recue
ACH-70027	2025-01-05	2025-01-12	2025-01-12	FRN-001	BD-1095	120	54,77 $	Recue
ACH-70028	2025-01-24	2025-01-31	2025-01-31	FRN-001	BD-1089	96	160,95 $	Recue
ACH-70028	2025-01-24	2025-01-31	2025-01-31	FRN-001	BD-1086	24	82,42 $	Recue
ACH-70029	2025-02-05	2025-02-12	2025-02-12	FRN-001	BD-1067	240	24,27 $	Recue
ACH-70029	2025-02-05	2025-02-12	2025-02-12	FRN-001	BD-1069	120	202,67 $	Recue
ACH-70029	2025-02-05	2025-02-12	2025-02-12	FRN-001	BD-1030	240	100,96 $	Recue
ACH-70030	2025-02-16	2025-02-23	2025-02-27	FRN-001	BD-1066	48	203,44 $	Recue
ACH-70030	2025-02-16	2025-02-23	2025-02-27	FRN-001	BD-1065	24	131,52 $	Recue
ACH-70030	2025-02-16	2025-02-23	2025-02-27	FRN-001	BD-1030	12	100,96 $	Recue
ACH-70030	2025-02-16	2025-02-23	2025-02-27	FRN-001	BD-1089	24	160,95 $	Recue
ACH-70030	2025-02-16	2025-02-23	2025-02-27	FRN-001	BD-1003	240	192,57 $	Recue
ACH-70031	2025-03-04	2025-03-11	2025-03-11	FRN-001	BD-1082	240	284,24 $	Recue
ACH-70031	2025-03-04	2025-03-11	2025-03-11	FRN-001	BD-1069	96	202,67 $	Recue
ACH-70031	2025-03-04	2025-03-11	2025-03-11	FRN-001	BD-1057	12	19,66 $	Recue
ACH-70032	2025-03-17	2025-03-24	2025-03-24	FRN-001	BD-1097	48	214,46 $	Recue
ACH-70032	2025-03-17	2025-03-24	2025-03-24	FRN-001	BD-1085	60	41,76 $	Recue
ACH-70032	2025-03-17	2025-03-24	2025-03-24	FRN-001	BD-1060	24	246,98 $	Recue
ACH-70032	2025-03-17	2025-03-24	2025-03-24	FRN-001	BD-1066	96	203,44 $	Recue
ACH-70033	2025-03-29	2025-04-05	2025-04-05	FRN-001	BD-1072	24	200,75 $	Recue
ACH-70033	2025-03-29	2025-04-05	2025-04-05	FRN-001	BD-1082	120	284,24 $	Recue
ACH-70033	2025-03-29	2025-04-05	2025-04-05	FRN-001	BD-1080	48	176,76 $	Recue
ACH-70034	2025-04-16	2025-04-23	2025-04-23	FRN-001	BD-1088	48	342,90 $	Recue
ACH-70034	2025-04-16	2025-04-23	2025-04-23	FRN-001	BD-1022	60	252,94 $	Recue
ACH-70034	2025-04-16	2025-04-23	2025-04-23	FRN-001	BD-1088	48	342,90 $	Recue
ACH-70034	2025-04-16	2025-04-23	2025-04-23	FRN-001	BD-1099	-60	293,70 $	Recue
ACH-70034	2025-04-16	2025-04-23	2025-04-23	FRN-001	BD-1034	48	155,08 $	Recue
ACH-70035	2025-04-30	2025-05-07	2025-05-07	FRN-001	BD-1086	120	82,42 $	Recue
ACH-70035	2025-04-30	2025-05-07	2025-05-07	FRN-001	BD-1021	12	205,78 $	Recue
ACH-70035	2025-04-30	2025-05-07	2025-05-07	FRN-001	BD-1088	48	342,90 $	Recue
ACH-70035	2025-04-30	2025-05-07	2025-05-07	FRN-001	BD-1074	24	110,54 $	Recue
ACH-70036	2025-05-15	2025-05-22	2025-05-22	FRN-001	BD-9392	24	130,44 $	Recue
ACH-70036	2025-05-15	2025-05-22	2025-05-22	FRN-001	BD-1072	12	236,88 $	Recue
ACH-70036	2025-05-15	2025-05-22	2025-05-22	FRN-001	BD-1008	48	155,34 $	Recue
ACH-70037	2025-06-01	2025-06-08	2025-06-22	FRN-001	BD-1101	12	75,83 $	Recue
ACH-70037	2025-06-01	2025-06-08	2025-06-22	FRN-001	BD-1100	36	369,19 $	Recue
ACH-70037	2025-06-01	2025-06-08	2025-06-22	FRN-001	BD-1085	48	49,28 $	Recue
ACH-70038	2025-06-11	2025-06-18	2025-07-09	FRN-001	BD-1076	36	338,68 $	Recue
ACH-70038	2025-06-11	2025-06-18	2025-07-09	FRN-001	BD-1001	12	219,63 $	Recue
ACH-70038	2025-06-11	2025-06-18	2025-07-09	FRN-001	BD-1066	24	240,06 $	Recue
ACH-70039	2025-06-30	2025-07-07	2025-07-12	FRN-001	BD-1098	60	309,76 $	Recue
ACH-70040	2025-07-10	2025-07-17	2025-07-17	FRN-001	BD-1097	36	253,06 $	Recue
ACH-70040	2025-07-10	2025-07-17	2025-07-17	FRN-001	BD-1100	120	369,19 $	Recue
ACH-70041	2025-07-27	2025-08-03	2025-08-03	FRN-001	BD-1001	60	219,63 $	Recue
ACH-70041	2025-07-27	2025-08-03	2025-08-03	FRN-001	BD-1067	36	28,64 $	Recue
ACH-70041	2025-07-27	2025-08-03	2025-08-03	FRN-001	BD-1075	96	71,97 $	Recue
ACH-70042	2025-08-06	2025-08-13	2025-08-13	FRN-001	BD-1019	36	205,07 $	Recue
ACH-70042	2025-08-06	2025-08-13	2025-08-13	FRN-001	BD-1080	120	208,57 $	Recue
ACH-70043	2025-08-19	2025-08-26	2025-09-14	FRN-001	BD-1099	96	346,57 $	Recue
ACH-70043	2025-08-19	2025-08-26	2025-09-14	FRN-001	BD-1081	12	364,83 $	Recue
ACH-70043	2025-08-19	2025-08-26	2025-09-14	FRN-001	BD-1074	24	130,44 $	Recue
ACH-70043	2025-08-19	2025-08-26	2025-09-14	FRN-001	BD-1022	96	298,47 $	Recue
ACH-70043	2025-08-19	2025-08-26	2025-09-14	FRN-001	BD-1098	60	309,76 $	Recue
ACH-70044	2025-08-30	2025-09-06	2025-09-06	FRN-001	BD-1074	96	130,44 $	Recue
ACH-70044	2025-08-30	2025-09-06	2025-09-06	FRN-001	BD-1059	36	391,48 $	Recue
ACH-70044	2025-08-30	2025-09-06	2025-09-06	FRN-001	BD-1085	24	49,28 $	Recue
ACH-70044	2025-08-30	2025-09-06	2025-09-06	FRN-001	BD-1084	12	375,89 $	Recue
ACH-70045	2025-09-19	2025-09-26	2025-09-26	FRN-001	BD-1068	120	342,49 $	Recue
ACH-70046	2025-10-05	2025-10-12	2025-10-12	FRN-001	BD-1070	48	48,05 $	Recue
ACH-70046	2025-10-05	2025-10-12	2025-10-12	FRN-001	BD-1068	24	342,49 $	Recue
ACH-70046	2025-10-05	2025-10-12	2025-10-12	FRN-001	BD-1068	12	342,49 $	Recue
ACH-70047	2025-10-20	2025-10-27	2025-10-27	FRN-001	BD-1062	12	135,59 $	Recue
ACH-70047	2025-10-20	2025-10-27	2025-10-27	FRN-001	BD-1072	240	236,88 $	Recue
ACH-70047	2025-10-20	2025-10-27	2025-10-27	FRN-001	BD-1101	24	75,83 $	Recue
ACH-70047	2025-10-20	2025-10-27	2025-10-27	FRN-001	BD-1036	12	191,63 $	Recue
ACH-70048	2025-11-02	2025-11-09	2025-11-09	FRN-001	BD-1065	96	155,19 $	Recue
ACH-70048	2025-11-02	2025-11-09	2025-11-09	FRN-001	BD-1080	36	208,57 $	Recue
ACH-70048	2025-11-02	2025-11-09	2025-11-09	FRN-001	BD-1095	24	64,62 $	Recue
ACH-70049	2025-11-18	2025-11-25	2025-11-25	FRN-001	BD-1003	96	227,23 $	Recue
ACH-70050	2025-11-28	2025-12-05	2025-12-05	FRN-001	BD-1059	60	391,48 $	Recue
ACH-70050	2025-11-28	2025-12-05	2025-12-05	FRN-001	BD-1101	240	75,83 $	Recue
ACH-70050	2025-11-28	2025-12-05	2025-12-05	FRN-001	BD-1080	36	208,57 $	Recue
ACH-70050	2025-11-28	2025-12-05	2025-12-05	FRN-001	BD-1021	60	242,82 $	Recue
ACH-70051	2025-12-07	2025-12-14	2025-12-14	FRN-001	BD-1001	12	219,63 $	Recue
ACH-70052	2025-12-16	2025-12-23	2025-12-26	FRN-001	BD-1069	60	239,15 $	Recue
ACH-70052	2025-12-16	2025-12-23	2025-12-26	FRN-001	BD-1068	48	342,49 $	Recue
ACH-70053	2025-12-27	2026-01-03		FRN-001	BD-1021	24	242,82 $	En transit
ACH-70054	2024-01-02	2024-01-23	2024-01-23	FRN-002	BD-1167	12	205,42 $	Recue
ACH-70054	2024-01-02	2024-01-23	2024-01-23	FRN-002	BD-1027	12	249,72 $	Recue
ACH-70054	2024-01-02	2024-01-23	2024-01-23	FRN-002	BD-9951	36	294,44 $	Recue
ACH-70054	2024-01-02	2024-01-23	2024-01-23	FRN-002	BD-1027	36	249,72 $	Recue
ACH-70055	2024-01-17	2024-02-07	2024-02-07	FRN-002	BD-1025	36	146,28 $	Recue
ACH-70055	2024-01-17	2024-02-07	2024-02-07	FRN-002	BD-1170	48	16,60 $	Recue
ACH-70055	2024-01-17	2024-02-07	2024-02-07	FRN-002	BD-1027	60	249,72 $	Recue
ACH-70056	2024-01-27	2024-02-17	2024-02-17	FRN-002	BD-1029	96	238,44 $	Recue
ACH-70056	2024-01-27	2024-02-17	2024-02-17	FRN-002	BD-1029	96	238,44 $	Recue
ACH-70056	2024-01-27	2024-02-17	2024-02-17	FRN-002	BD-1013	36	308,85 $	Recue
ACH-70057	2024-02-08	2024-02-29	2024-03-02	FRN-002	BD-1164	12	98,38 $	Recue
ACH-70057	2024-02-08	2024-02-29	2024-03-02	FRN-002	BD-1180	60	93,34 $	Recue
ACH-70057	2024-02-08	2024-02-29	2024-03-02	FRN-002	BD-1029	96	238,44 $	Recue
ACH-70057	2024-02-08	2024-02-29	2024-03-02	FRN-002	BD-1157	60	24,69 $	Recue
ACH-70057	2024-02-08	2024-02-29	2024-03-02	FRN-002	BD-1006	36	178,72 $	Recue
ACH-70058	2024-02-20	2024-03-12	2024-03-12	FRN-002	BD-1031	120	294,44 $	Recue
ACH-70058	2024-02-20	2024-03-12	2024-03-12	FRN-002	BD-1163	240	294,58 $	Recue
ACH-70058	2024-02-20	2024-03-12	2024-03-12	FRN-002	BD-1170	-24	16,60 $	Recue
ACH-70059	2024-02-29	2024-03-21	2024-03-21	FRN-002	BD-1166	120	212,88 $	Recue
ACH-70059	2024-02-29	2024-03-21	2024-03-21	FRN-002	BD-1164	24	98,38 $	Recue
ACH-70060	2024-03-10	2024-03-31	2024-03-31	FRN-002	BD-1025	240	146,28 $	Recue
ACH-70060	2024-03-10	2024-03-31	2024-03-31	FRN-002	BD-1180	12	93,34 $	Recue
ACH-70061	2024-03-20	2024-04-10	2024-04-10	FRN-002	BD-1167	48	205,42 $	Recue
ACH-70061	2024-03-20	2024-04-10	2024-04-10	FRN-002	BD-1180	36	93,34 $	Recue
ACH-70061	2024-03-20	2024-04-10	2024-04-10	FRN-002	BD-1157	60	24,69 $	Recue
ACH-70061	2024-03-20	2024-04-10	2024-04-10	FRN-002	BD-1177	-12	211,22 $	Recue
ACH-70062	2024-04-05	2024-04-26	2024-04-26	FRN-002	BD-1164	120	98,38 $	Recue
ACH-70062	2024-04-05	2024-04-26	2024-04-26	FRN-002	BD-1031	240	294,44 $	Recue
ACH-70062	2024-04-05	2024-04-26	2024-04-26	FRN-002	BD-1025	12	146,28 $	Recue
ACH-70062	2024-04-05	2024-04-26	2024-04-26	FRN-002	BD-1029	24	238,44 $	Recue
ACH-70062	2024-04-05	2024-04-26	2024-04-26	FRN-002	BD-1162	48	66,97 $	Recue
ACH-70063	2024-04-24	2024-05-15	2024-05-15	FRN-002	BD-1167	24	205,42 $	Recue
ACH-70063	2024-04-24	2024-05-15	2024-05-15	FRN-002	BD-1177	36	211,22 $	Recue
ACH-70063	2024-04-24	2024-05-15	2024-05-15	FRN-002	BD-1158	96	180,81 $	Recue
ACH-70064	2024-05-11	2024-06-01	2024-06-01	FRN-002	BD-1166	48	212,88 $	Recue
ACH-70064	2024-05-11	2024-06-01	2024-06-01	FRN-002	BD-1170	36	16,60 $	Recue
ACH-70065	2024-05-24	2024-06-14	2024-06-14	FRN-002	BD-1177	12	211,22 $	Recue
ACH-70065	2024-05-24	2024-06-14	2024-06-14	FRN-002	BD-1158	240	180,81 $	Recue
ACH-70065	2024-05-24	2024-06-14	2024-06-14	FRN-002	BD-1177	24	211,22 $	Recue
ACH-70066	2024-06-12	2024-07-03	2024-07-03	FRN-002	BD-1180	60	93,34 $	Recue
ACH-70066	2024-06-12	2024-07-03	2024-07-03	FRN-002	BD-1006	48	178,72 $	Recue
ACH-70066	2024-06-12	2024-07-03	2024-07-03	FRN-002	BD-1157	24	24,69 $	Recue
ACH-70066	2024-06-12	2024-07-03	2024-07-03	FRN-002	BD-1006	96	178,72 $	Recue
ACH-70067	2024-07-02	2024-07-23	2024-08-08	FRN-002	BD-1177	60	211,22 $	Recue
ACH-70067	2024-07-02	2024-07-23	2024-08-08	FRN-002	BD-1013	240	308,85 $	Recue
ACH-70067	2024-07-02	2024-07-23	2024-08-08	FRN-002	BD-1006	240	178,72 $	Recue
ACH-70068	2024-07-18	2024-08-08	2024-08-08	FRN-002	BD-1027	240	249,72 $	Recue
ACH-70068	2024-07-18	2024-08-08	2024-08-08	FRN-002	BD-1170	120	16,60 $	Recue
ACH-70068	2024-07-18	2024-08-08	2024-08-08	FRN-002	BD-1167	24	205,42 $	Recue
ACH-70068	2024-07-18	2024-08-08	2024-08-08	FRN-002	BD-1031	60	294,44 $	Recue
ACH-70068	2024-07-18	2024-08-08	2024-08-08	FRN-002	BD-1167	240	205,42 $	Recue
ACH-70069	2024-08-05	2024-08-26	2024-08-26	FRN-002	BD-1162	48	66,97 $	Recue
ACH-70069	2024-08-05	2024-08-26	2024-08-26	FRN-002	BD-1013	36	308,85 $	Recue
ACH-70069	2024-08-05	2024-08-26	2024-08-26	FRN-002	BD-1013	24	308,85 $	Recue
ACH-70069	2024-08-05	2024-08-26	2024-08-26	FRN-002	BD-1157	240	24,69 $	Recue
ACH-70070	2024-08-18	2024-09-08	2024-09-08	FRN-002	BD-1027	48	249,72 $	Recue
ACH-70071	2024-09-06	2024-09-27	2024-09-27	FRN-002	BD-1025	120	146,28 $	Recue
ACH-70071	2024-09-06	2024-09-27	2024-09-27	FRN-002	BD-1031	48	294,44 $	Recue
ACH-70071	2024-09-06	2024-09-27	2024-09-27	FRN-002	BD-1158	12	180,81 $	Recue
ACH-70072	2024-09-18	2024-10-09	2024-10-09	FRN-002	BD-1006	36	178,72 $	Recue
ACH-70072	2024-09-18	2024-10-09	2024-10-09	FRN-002	BD-1158	60	180,81 $	Recue
ACH-70072	2024-09-18	2024-10-09	2024-10-09	FRN-002	BD-1029	48	238,44 $	Recue
ACH-70073	2024-10-02	2024-10-23	2024-10-23	FRN-002	BD-1157	48	24,69 $	Recue
ACH-70073	2024-10-02	2024-10-23	2024-10-23	FRN-002	BD-1164	120	98,38 $	Recue
ACH-70073	2024-10-02	2024-10-23	2024-10-23	FRN-002	BD-1180	96	93,34 $	Recue
ACH-70073	2024-10-02	2024-10-23	2024-10-23	FRN-002	BD-1013	12	308,85 $	Recue
ACH-70073	2024-10-02	2024-10-23	2024-10-23	FRN-002	BD-1164	24	98,38 $	Recue
ACH-70074	2024-10-15	2024-11-05	2024-11-05	FRN-002	BD-9903	240	98,38 $	Recue
ACH-70074	2024-10-15	2024-11-05	2024-11-05	FRN-002	BD-1177	48	211,22 $	Recue
ACH-70074	2024-10-15	2024-11-05	2024-11-05	FRN-002	BD-1162	240	66,97 $	Recue
ACH-70074	2024-10-15	2024-11-05	2024-11-05	FRN-002	BD-1011	48	288,46 $	Recue
ACH-70074	2024-10-15	2024-11-05	2024-11-05	FRN-002	BD-1027	96	249,72 $	Recue
ACH-70075	2024-11-02	2024-11-23	2024-11-23	FRN-002	BD-1157	96	24,69 $	Recue
ACH-70075	2024-11-02	2024-11-23	2024-11-23	FRN-002	BD-1025	60	146,28 $	Recue
ACH-70075	2024-11-02	2024-11-23	2024-11-23	FRN-002	BD-1163	36	294,58 $	Recue
ACH-70075	2024-11-02	2024-11-23	2024-11-23	FRN-002	BD-1027	12	249,72 $	Recue
ACH-70076	2024-11-22	2024-12-13	2024-12-13	FRN-002	BD-1027	24	249,72 $	Recue
ACH-70076	2024-11-22	2024-12-13	2024-12-13	FRN-002	BD-1157	36	24,69 $	Recue
ACH-70076	2024-11-22	2024-12-13	2024-12-13	FRN-002	BD-1031	120	294,44 $	Recue
ACH-70077	2024-12-04	2024-12-25	2024-12-25	FRN-002	BD-1167	96	205,42 $	Recue
ACH-70077	2024-12-04	2024-12-25	2024-12-25	FRN-002	BD-1006	48	178,72 $	Recue
ACH-70077	2024-12-04	2024-12-25	2024-12-25	FRN-002	BD-1163	36	294,58 $	Recue
ACH-70077	2024-12-04	2024-12-25	2024-12-25	FRN-002	BD-1180	48	93,34 $	Recue
ACH-70078	2024-12-13	2025-01-03	2025-01-03	FRN-002	BD-1029	12	238,44 $	Recue
ACH-70078	2024-12-13	2025-01-03	2025-01-03	FRN-002	BD-1163	48	294,58 $	Recue
ACH-70079	2024-12-25	2025-01-15	2025-01-15	FRN-002	BD-1031	12	294,44 $	Recue
ACH-70080	2025-01-05	2025-01-26	2025-01-26	FRN-002	BD-1180	240	95,30 $	Recue
ACH-70080	2025-01-05	2025-01-26	2025-01-26	FRN-002	BD-1170	240	16,95 $	Recue
ACH-70080	2025-01-05	2025-01-26	2025-01-26	FRN-002	BD-1006	24	182,47 $	Recue
ACH-70080	2025-01-05	2025-01-26	2025-01-26	FRN-002	BD-1157	96	25,21 $	Recue
ACH-70080	2025-01-05	2025-01-26	2025-01-26	FRN-002	BD-1031	12	300,62 $	Recue
ACH-70081	2025-01-15	2025-02-05	2025-02-05	FRN-002	BD-1166	48	217,35 $	Recue
ACH-70081	2025-01-15	2025-02-05	2025-02-05	FRN-002	BD-1167	96	209,73 $	Recue
ACH-70081	2025-01-15	2025-02-05	2025-02-05	FRN-002	BD-1163	48	300,77 $	Recue
ACH-70082	2025-01-27	2025-02-17	2025-02-17	FRN-002	BD-1166	36	217,35 $	Recue
ACH-70082	2025-01-27	2025-02-17	2025-02-17	FRN-002	BD-1158	96	184,61 $	Recue
ACH-70082	2025-01-27	2025-02-17	2025-02-17	FRN-002	BD-1164	240	100,45 $	Recue
ACH-70082	2025-01-27	2025-02-17	2025-02-17	FRN-002	BD-1029	48	243,45 $	Recue
ACH-70083	2025-02-10	2025-03-03	2025-03-09	FRN-002	BD-1158	60	184,61 $	Recue
ACH-70083	2025-02-10	2025-03-03	2025-03-09	FRN-002	BD-1031	96	300,62 $	Recue
ACH-70083	2025-02-10	2025-03-03	2025-03-09	FRN-002	BD-1180	24	95,30 $	Recue
ACH-70083	2025-02-10	2025-03-03	2025-03-09	FRN-002	BD-1013	36	315,34 $	Recue
ACH-70084	2025-02-24	2025-03-17	2025-03-17	FRN-002	BD-1029	48	243,45 $	Recue
ACH-70085	2025-03-08	2025-03-29	2025-03-29	FRN-002	BD-1031	240	300,62 $	Recue
ACH-70085	2025-03-08	2025-03-29	2025-03-29	FRN-002	BD-1158	60	184,61 $	Recue
ACH-70085	2025-03-08	2025-03-29	2025-03-29	FRN-002	BD-1170	240	16,95 $	Recue
ACH-70085	2025-03-08	2025-03-29	2025-03-29	FRN-002	BD-1177	48	215,66 $	Recue
ACH-70085	2025-03-08	2025-03-29	2025-03-29	FRN-002	BD-1029	120	243,45 $	Recue
ACH-70086	2025-03-26	2025-04-16	2025-04-16	FRN-002	BD-1027	24	254,96 $	Recue
ACH-70086	2025-03-26	2025-04-16	2025-04-16	FRN-002	BD-1170	120	16,95 $	Recue
ACH-70086	2025-03-26	2025-04-16	2025-04-16	FRN-002	BD-1006	60	182,47 $	Recue
ACH-70086	2025-03-26	2025-04-16	2025-04-16	FRN-002	BD-1031	12	300,62 $	Recue
ACH-70086	2025-03-26	2025-04-16	2025-04-16	FRN-002	BD-1011	240	294,52 $	Recue
ACH-70087	2025-04-12	2025-05-03	2025-05-04	FRN-002	BD-1029	60	243,45 $	Recue
ACH-70087	2025-04-12	2025-05-03	2025-05-04	FRN-002	BD-1166	24	217,35 $	Recue
ACH-70087	2025-04-12	2025-05-03	2025-05-04	FRN-002	BD-1157	96	25,21 $	Recue
ACH-70087	2025-04-12	2025-05-03	2025-05-04	FRN-002	BD-1027	36	254,96 $	Recue
ACH-70087	2025-04-12	2025-05-03	2025-05-04	FRN-002	BD-1163	24	300,77 $	Recue
ACH-70088	2025-04-23	2025-05-14	2025-05-14	FRN-002	BD-1164	12	100,45 $	Recue
ACH-70088	2025-04-23	2025-05-14	2025-05-14	FRN-002	BD-1031	96	300,62 $	Recue
ACH-70088	2025-04-23	2025-05-14	2025-05-14	FRN-002	BD-1029	60	243,45 $	Recue
ACH-70089	2025-05-10	2025-05-31	2025-06-13	FRN-002	BD-1027	12	254,96 $	Recue
ACH-70089	2025-05-10	2025-05-31	2025-06-13	FRN-002	BD-1013	48	315,34 $	Recue
ACH-70089	2025-05-10	2025-05-31	2025-06-13	FRN-002	BD-1163	60	300,77 $	Recue
