sku,designation,famille,code_fournisseur,cout_standard,prix_liste,poids_kg
BD-1089,Cagoule Sentier 200,Vêtements techniques,FRN-001,"157,64","316,59","11,22"
BD-1090,Chandail polaire Boreal 100,Vêtements techniques,FRN-001,"57,58","95,85","7,46"
BD-1091,Manteau isole Grand-Nord Pro,Vêtements techniques,FRN-001,"279,07","568,02","12,45"
BD-1092,Tuque technique Boreal 100,Vêtements techniques,FRN-001,"140,04","282,22","2,47"
BD-1093,Sous-vetement merinos Sommet 300,Vêtements techniques,FRN-001,"132,18","223,79","4,45"
BD-1094,Chandail polaire Alpin Lite,Vêtements techniques,FRN-020,"121,74","203,86","1,33"
BD-1095,Sous-vetement merinos Boreal 200,Vêtements techniques,FRN-001,"53,64","103,68","3,38"
BD-1096,Tuque technique Sentier Lite,Vêtements techniques,FRN-001,"170,74","296,14","10,11"
BD-1097,Chandail polaire Taiga 300,Vêtements techniques,FRN-001,"210,05","367,98","2,10"
BD-1098,Cagoule Sentier 300,Vêtements techniques,FRN-001,"257,11","440,88","11,83"
BD-1099,Manteau isole Sommet 100,Vêtements techniques,FRN-001,"287,66","496,50","8,36"
BD-1100,Coquille impermeable Grand-Nord XT,Vêtements techniques,FRN-001,"306,44","536,54","6,88"
BD-1101,Cagoule Cap-Nord XT,Vêtements techniques,FRN-001,"62,94","108,49","1,83"
BD-1102,Pantalon coque Cap-Nord Lite,Vêtements techniques,FRN-018,"255,33","484,77","5,97"
BD-1103,Epuisette Cap-Nord 100,Pêche,FRN-017,"151,66","227,79","7,49"
BD-1104,Boite de mouches Taiga Pro,Pêche,FRN-021,"75,12","110,67","4,17"
BD-1105,Canne a peche Sommet XT,Pêche,FRN-005,"166,12","259,07","9,10"
BD-1106,Boite de mouches Portage 200,Pêche,FRN-006,"333,09","530,57","10,39"
BD-1107,Canne a peche Boreal Lite,Pêche,FRN-021,"147,44","220,27","1,76"
BD-1108,Epuisette Sentier 100,Pêche,FRN-013,"166,46","273,18","1,21"
BD-1109,Ligne tressee Alpin 300,Pêche,FRN-017,"303,82","460,06","2,95"
BD-1110,Coffre a leurres Sommet Lite,Pêche,FRN-021,"178,91","283,92","13,41"
BD-1111,Boite de mouches Taiga 300,Pêche,FRN-013,"145,84","221,58","11,29"
BD-1112,Waders Portage Lite,Pêche,FRN-013,"65,64","114,87","1,73"
BD-1113,Ligne tressee Nordet 100,Pêche,FRN-021,"276,01","427,02","11,97"
BD-1114,Waders Portage 200,Pêche,FRN-013,"149,59","252,60","9,67"
BD-1115,Coffre a leurres Taiga 200,Pêche,FRN-021,"46,26","74,68","2,06"
BD-1116,Boite de mouches Sommet Lite,Pêche,FRN-021,"58,93","88,67","11,38"
BD-1117,Moulinet Sommet XT,Pêche,FRN-006,"98,28","148,16","12,14"
BD-1118,Boite de mouches Sommet XT,Pêche,FRN-017,"336,11","497,08","7,45"
BD-1119,Boite de mouches Portage Lite,Pêche,FRN-005,"58,44","91,82","6,04"
BD-1120,Coffre a leurres Expedition XT,Pêche,FRN-017,"182,88","296,82","11,66"
BD-1121,Moulinet Escarpement 300,Pêche,FRN-013,"43,73","77,85","9,92"
BD-1122,Coffre a leurres Escarpement Pro,Pêche,FRN-005,"208,30","341,21","11,10"
BD-1123,Boite de mouches Boreal 300,Pêche,FRN-005,"129,56","217,51","13,61"
BD-1124,Moulinet Boreal 200,Pêche,FRN-021,"150,61","254,97","12,80"
BD-1125,Canne a peche Boreal Lite,Pêche,FRN-006,"285,25","439,91","11,26"
BD-1126,Waders Cap-Nord XT,Pêche,FRN-013,"130,29","202,42","3,92"
BD-1127,Crampons Traverse 200,Sports d'hiver,FRN-014,"170,72","301,26","7,87"
BD-1128,Raquettes Sentier 200,Sports d'hiver,FRN-016,"77,25","144,86","7,23"
BD-1129,Peaux d'ascension Boreal XT,Sports d'hiver,FRN-014,"45,49","71,89","3,32"
BD-1130,Traineau Alpin Lite,Sports d'hiver,FRN-014,"317,23","564,39","7,48"
BD-1131,Crampons Grand-Nord 200,Sports d'hiver,FRN-015,"36,32","67,04","2,81"
BD-1132,Traineau Portage Pro,Sports d'hiver,FRN-016,"125,81","198,61","7,06"
BD-1133,Traineau Alpin 200,Sports d'hiver,FRN-015,"61,66","101,38","5,33"
BD-1134,Lunettes de ski Expedition Pro,Sports d'hiver,FRN-016,"60,50","109,96","7,23"
BD-1135,Peaux d'ascension Grand-Nord Lite,Sports d'hiver,FRN-016,"39,89","73,31","7,33"
BD-1136,Fixations Escarpement 300,Sports d'hiver,FRN-015,"110,14","207,63","11,62"
BD-1137,Lunettes de ski Taiga Pro,Sports d'hiver,FRN-016,"25,06","42,81","10,98"
BD-1138,Skis de fond Escarpement Pro,Sports d'hiver,FRN-014,"86,38","147,30","8,55"
BD-1139,Skis de fond Taiga 100,Sports d'hiver,FRN-014,"198,93","358,71","6,00"
BD-1140,Peaux d'ascension Cap-Nord XT,Sports d'hiver,FRN-016,"40,41","63,53","0,83"
BD-1141,Skis de fond Portage Pro,Sports d'hiver,FRN-015,"307,78","499,22","4,04"
BD-1142,Skis de fond Sommet 200,Sports d'hiver,FRN-015,"98,85","163,08","8,47"
BD-1143,Skis de fond Expedition Lite,Sports d'hiver,FRN-015,"215,92","375,14","6,56"
BD-1144,Skis de fond Boreal Pro,Sports d'hiver,FRN-016,"96,31","178,52","10,61"
BD-1145,Crampons Portage XT,Sports d'hiver,FRN-016,"108,83","184,14","3,09"
BD-1146,Lunettes de ski Grand-Nord 300,Sports d'hiver,FRN-016,"220,88","375,57","11,06"
BD-1147,Traineau Expedition Lite,Sports d'hiver,FRN-016,"339,78","598,15","13,26"
BD-1148,Fixations Expedition Pro,Sports d'hiver,FRN-015,"0,00","459,89","8,22"
BD-1149,Skis de fond Nordet 100,Sports d'hiver,FRN-015,"108,85","183,13","3,52"
BD-1150,Peaux d'ascension Sentier Lite,Sports d'hiver,FRN-015,"339,92","625,88","0,79"
BD-1151,Crampons Boreal Pro,Sports d'hiver,FRN-016,"90,35","158,99","1,41"
BD-1152,Casque Taiga XT,Sports d'hiver,FRN-015,"265,82","480,97","5,39"
BD-1153,Fixations Grand-Nord 200,Sports d'hiver,FRN-015,"113,61","200,63","0,37"
BD-1154,Lunettes de ski Expedition Pro,Sports d'hiver,FRN-015,"0,00","534,55","9,80"
BD-1155,Crampons Boreal Lite,Sports d'hiver,FRN-014,"322,38","541,86","7,16"
BD-1156,Fixations Taiga Pro,Sports d'hiver,FRN-016,"161,25","302,11","9,49"
BD-1157,Sangle Cap-Nord 100,Accessoires,FRN-002,"24,69","52,35","7,20"
BD-1158,Couteau multifonction Grand-Nord 300,Accessoires,FRN-002,"180,81","349,50","6,03"
BD-1159,Trousse de reparation Alpin 300,Accessoires,FRN-014,"166,16","288,97","10,55"
BD-1160,Sac etanche Escarpement Pro,Accessoires,FRN-014,"40,71","78,76","12,24"
BD-1161,Trousse de reparation Sommet 100,Accessoires,FRN-014,"62,84","135,05","0,34"
BD-1162,Filtre a eau Expedition Pro,Accessoires,FRN-002,"66,97","137,06","6,24"
BD-1163,Trousse de reparation Sentier 200,Accessoires,FRN-002,"294,58","613,28","10,89"
BD-1164,Corde Cap-Nord 200,Accessoires,FRN-002,"98,38","194,97","13,97"
BD-1165,Mousqueton Nordet 200,Accessoires,FRN-020,"105,70","184,03","5,03"
BD-1166,Sangle Cap-Nord 200,Accessoires,FRN-002,"212,88","415,48","6,34"
BD-1167,Filtre a eau Portage 300,Accessoires,FRN-002,"205,42","371,21","9,80"
BD-1168,Filtre a eau Traverse 300,Accessoires,FRN-020,"224,71","400,00","0,11"
BD-1169,Sac etanche Grand-Nord Pro,Accessoires,FRN-014,"276,47","576,68","13,40"
BD-1170,Corde Portage XT,Accessoires,FRN-002,"16,60","35,16","10,32"
BD-1171,Filtre a eau Nordet 300,Accessoires,FRN-014,"83,70","158,31","7,28"
BD-1172,Mousqueton Traverse 300,Accessoires,FRN-014,"216,67","418,59","7,22"
BD-1173,Couteau multifonction Alpin Lite,Accessoires,FRN-020,"207,98","398,67","13,11"
BD-1174,Sifflet de securite Boreal Pro,Accessoires,FRN-020,"165,53","295,12","8,94"
BD-1175,Sangle Taiga 300,Accessoires,FRN-014,"94,86","169,75","4,87"
BD-1176,Filtre a eau Nordet 300,Accessoires,FRN-020,"322,02","630,50","13,84"
BD-1177,Mousqueton Grand-Nord 100,Accessoires,FRN-002,"211,22","407,62","7,77"
BD-1178,Sac etanche Traverse Pro,Accessoires,FRN-014,"116,97","205,30","4,43"
BD-1179,Corde Sentier 200,Accessoires,FRN-020,"0,00","431,57","7,19"
BD-1180,Sac etanche Boreal 200,Accessoires,FRN-002,"93,34","189,34","10,21"
BD-1181,Trousse de reparation Nordet XT,Accessoires,FRN-014,"305,97","624,82","10,18"
BD-1182,Sac etanche Escarpement 300,Accessoires,FRN-014,"56,87","108,87","7,99"
BD-1182,Sac etanche Escarpement 300,Accessoires,FRN-014,"56,87","108,87","7,99"
BD-1160,Sac etanche Escarpement Pro,Accessoires,FRN-014,"40,71","78,76","12,24"
BD-1101,Cagoule Cap-Nord XT,Vêtements techniques,FRN-001,"62,94","108,49","1,83"
BD-1127,Crampons Traverse 200,Sports d'hiver,FRN-014,"170,72","301,26","7,87"
BD-1035,Trousse premiers soins Boreal 200,Randonnée,FRN-019,"30,00","48,38","9,13"
BD-1107,Canne a peche Boreal Lite,Pêche,FRN-021,"147,44","220,27","1,76"
BD-1154,Lunettes de ski Expedition Pro,Sports d'hiver,FRN-015,"0,00","534,55","9,80"
BD-1166,Sangle Cap-Nord 200,Accessoires,FRN-002,"212,88","415,48","6,34"
