NO COMMANDE;DATE COMMANDE;DATE LIVRAISON;DATE PAIEMENT;CODE CLIENT;REPRESENTANT;ENTREPOT;CODE ARTICLE;QTE;PRIX UNITAIRE;REMISE %;COUT UNITAIRE;CANAL DE VENTE
CMD-102608;2025-03-04;08/03/2025;31/03/2025;CLI-0185;EMP-508;ENT-QC;BD-1173;11;314,55;21,10;212,35;Représentant
CMD-105081;23/12/2025;26/12/2025;;CLI-0048;EMP-508;ENT-SAG;BD-1112;3;99,49;13,40;67,02;Courriel
CMD-103835;2025-08-13;21/08/2025;11/10/2025;CLI-0009;EMP-502;ENT-SAG;BD-1044;7;250,67;22,40;199,55;Représentant
CMD-103716;29/07/2025;04/08/2025;19-sept-25;CLI-0003;EMP-508;ENT-MTL;BD-1008;4;221,02;5,50;155,34;Représentant
CMD-103911;20/08/2025;28/08/2025;2025-10-17;CLI-0130;EMP-508;ENT-MTL;BD-1105;5;210,14;18,90;169,61;Courriel
CMD-103242;2025-05-23;31/05/2025;24/07/2025;CLI-0003;EMP-508;ENT-MTL;BD-1113;4;415,48;2,70;281,81;Représentant
CMD-102785;2025-03-28;03/04/2025;03/05/2025;CLI-0059;EMP-504;ENT-QC;BD-1098;8;346,45;21,40;262,51;Courriel
CMD-102692;14/03/2025;2025-03-18;;CLI-0072;EMP-501;ENT-QC;BD-1163;8;527,01;14,10;300,77;Représentant
CMD-103907;2025-08-20;24/08/2025;06/10/2025;CLI-0116;EMP-509;ENT-SAG;BD-1028;8;211,10;10,70;143,73;Représentant
CMD-103538;30/06/2025;07/07/2025;2025-08-27;CLI-0164;EMP-509;ENT-MTL;BD-1123;4;210,54;3,20;132,28;Représentant
CMD-102601;03/03/2025;06/03/2025;2025-05-18;CLI-0068;EMP-505;ENT-MTL;BD-1166;3;396,05;4,70;217,35;Portail web
CMD-104687;30/10/2025;08/11/2025;29-déc-25;CLI-0117;EMP-504;ENT-QC;BD-1172;3;406,35;2,90;221,22;Téléphone
CMD-102436;2025-01-24;02/02/2025;21/03/2025;CLI-0001;EMP-508;ENT-QC;BD-1163;2;565,07;7,90;300,77;Représentant
CMD-104911;26/11/2025;03-déc-25;;CLI-0130;EMP-508;ENT-MTL;BD-1086;19;108,23;21,40;97,25;Portail web
CMD-104395;04-oct-25;06/10/2025;15/11/2025;CLI-0185;EMP-508;ENT-MTL;BD-1128;7;115,11;20,50;78,87;Portail web
CMD-102750;24/03/2025;2025-03-26;02/05/2025;CLI-0074;EMP-507;ENT-QC;BD-1181;69;491,34;21,40;312,40;Représentant
CMD-102531;2025-02-14;18/02/2025;13/04/2025;CLI-0033;EMP-504;ENT-QC;BD-1165;12;164,37;10,70;107,92;Portail web
CMD-102475;2025-02-03;10/02/2025;30/03/2025;CLI-0054;EMP-507;ENT-SAG;BD-1125;8;374,11;15,00;291,24;Portail web
CMD-104687;30/10/2025;2025-11-08;29/12/2025;CLI-0117;EMP-504;ENT-QC;BD-1181;4;606,55;2,90;312,40;Courriel
CMD-103244;2025-05-23;25/05/2025;05/07/2025;CLI-0012;EMP-501;ENT-QC;BD-1019;4;235,02;21,90;205,07;Téléphone
CMD-103288;28/05/2025;30/05/2025;23/07/2025;CLI-0032;EMP-504;ENT-SAG;BD-1010;1;154,42;5,30;88,91;Téléphone
CMD-103440;17/06/2025;22/06/2025;03-août-25;CLI-0029;EMP-506;ENT-SAG;BD-1122;18;274,35;19,60;212,67;Portail web
CMD-104230;19/09/2025;26/09/2025;;CLI-0066;EMP-507;ENT-MTL;BD-1121;4;66,69;14,30;44,65;Portail web
CMD-104978;2025-12-04;06/12/2025;;CLI-0102;EMP-506;ENT-MTL;BD-1129;6;69,60;3,20;46,45;Représentant
CMD-103534;28/06/2025;07/07/2025;22/08/2025;CLI-0089;EMP-502;ENT-QC;BD-1124;25;197,62;22,50;153,77;Courriel
CMD-103423;14/06/2025;2025-06-21;06/08/2025;CLI-0161;EMP-508;ENT-QC;BD-1045;12;121,80;7,10;78,37;Portail web
CMD-102921;16/04/2025;21/04/2025;14-juil-25;CLI-0088;EMP-504;ENT-MTL;BD-1050;24;422,76;16,10;297,82;Portail web
CMD-103050;01/05/2025;09-mai-25;27/06/2025;CLI-0187;EMP-507;ENT-QC;BD-1176;4;530,99;15,80;328,78;Téléphone
CMD-102976;2025-04-23;30/04/2025;01/06/2025;CLI-0047;EMP-508;ENT-QC;BD-1029;12;326,29;16,70;243,45;Téléphone
CMD-104330;2025-09-29;01/10/2025;20/11/2025;CLI-0089;EMP-502;ENT-QC;BD-1096;6;234,51;20,80;205,70;Portail web
CMD-104091;09/09/2025;14/09/2025;2025-10-13;CLI-0073;EMP-501;ENT-MTL;BD-1075;6;84,85;15,80;71,97;Courriel
CMD-102484;04/02/2025;2025-02-08;21/03/2025;CLI-0151;EMP-504;ENT-QC;BD-1133;12;93,53;7,70;62,95;Téléphone
CMD-102526;14-févr-25;17/02/2025;02/04/2025;CLI-0061;EMP-503;ENT-MTL;BD-1110;3;242,54;14,60;182,67;Portail web
CMD-103919;20/08/2025;2025-08-22;04/09/2025;CLI-0002;EMP-509;ENT-QC;BD-1037;4;28,53;4,60;16,65;Téléphone
CMD-102778;28/03/2025;31/03/2025;2025-06-23;CLI-0048;EMP-508;ENT-MTL;BD-1090;3;81,46;15,00;58,79;Portail web
CMD-102833;03/04/2025;2025-04-06;31/05/2025;CLI-0037;EMP-504;ENT-MTL;BD-1053;4;264,74;19,10;180,55;Représentant
CMD-104856;2025-11-19;24/11/2025;;CLI-0124;EMP-509;ENT-SAG;BD-1132;8;191,33;3,70;128,45;Représentant
CMD-102864;08/04/2025;2025-04-12;31/05/2025;CLI-0160;EMP-508;ENT-QC;BD-1166;6;381,48;8,20;217,35;Représentant
CMD-103727;31/07/2025;07/08/2025;2025-09-20;CLI-0116;EMP-509;ENT-QC;BD-1105;2;226,43;12,60;169,61;Téléphone
CMD-102662;11/03/2025;15/03/2025;13-mai-25;CLI-0036;EMP-505;ENT-QC;BD-1182;4;97,56;10,40;58,06;Représentant
CMD-103461;19/06/2025;2025-06-24;26/07/2025;CLI-0211;EMP-504;ENT-SAG;BD-1001;4;288,83;13,80;219,63;Représentant
CMD-103510;26/06/2025;03/07/2025;05-août-25;CLI-0113;EMP-505;ENT-QC;BD-1105;3;238,40;8,00;169,61;Représentant
CMD-102538;17/02/2025;19-févr-25;24/03/2025;CLI-0132;EMP-507;ENT-MTL;BD-1011;2;436,66;16,90;294,52;Représentant
CMD-104927;27/11/2025;05/12/2025;;CLI-0148;EMP-501;ENT-QC;BD-1084;2;497,91;14,20;375,89;Représentant
CMD-102650;10/03/2025;15/03/2025;2025-05-22;CLI-0139;EMP-506;ENT-QC;BD-1069;8;354,71;11,00;202,67;Téléphone
CMD-104307;26/09/2025;29-sept-25;06/12/2025;CLI-0012;EMP-501;ENT-QC;BD-1139;25;294,00;18,00;203,11;Portail web
CMD-103672;21/07/2025;29/07/2025;2025-09-30;CLI-0052;EMP-504;ENT-QC;BD-1125;12;369,63;16,00;291,24;Portail web
CMD-103555;01/07/2025;2025-07-09;03/08/2025;CLI-0008;EMP-506;ENT-QC;BD-1022;6;441,08;2,90;298,47;Portail web
CMD-104263;23/09/2025;25/09/2025;09/11/2025;CLI-0045;EMP-502;ENT-MTL;BD-1149;3;161,38;11,90;111,14;Téléphone
CMD-102627;2025-03-05;08/03/2025;01/05/2025;CLI-0179;EMP-509;ENT-MTL;BD-1035;4;44,21;8,60;30,63;Représentant
CMD-103872;16/08/2025;2025-08-20;27/10/2025;CLI-0128;EMP-502;ENT-MTL;BD-1009;4;89,66;14,70;67,67;Représentant
CMD-103828;12/08/2025;15/08/2025;2025-10-21;CLI-0089;EMP-502;ENT-QC;BD-1036;17;194,51;24,30;191,63;Représentant
CMD-103431;2025-06-16;21/06/2025;22/08/2025;CLI-0185;EMP-508;ENT-QC;BD-1124;7;193,43;24,10;153,77;Portail web
CMD-103168;2025-05-15;22/05/2025;12/07/2025;CLI-0166;EMP-503;ENT-MTL;BD-1059;8;466,22;11,60;391,48;Représentant
CMD-103170;16/05/2025;19/05/2025;2025-06-28;CLI-0067;EMP-502;ENT-MTL;BD-1010;6;138,77;14,90;88,91;Représentant
CMD-102647;2025-03-10;13/03/2025;12/04/2025;CLI-0026;EMP-506;ENT-MTL;BD-1078;6;342,11;10,80;201,79;Téléphone
CMD-104149;13/09/2025;17-sept-25;03/11/2025;CLI-0034;EMP-507;ENT-QC;BD-1125;3;369,15;16,10;291,24;Représentant
CMD-102401;16/01/2025;2025-01-24;12/03/2025;CLI-0127;EMP-503;ENT-MTL;BD-1047;3;90,79;14,80;71,53;Représentant
CMD-102856;07/04/2025;10-avr-25;18/05/2025;CLI-0036;EMP-505;ENT-MTL;BD-1045;8;111,48;14,90;78,37;Représentant
CMD-102591;27/02/2025;04-mars-25;12/04/2025;CLI-0033;EMP-504;ENT-MTL;BD-1135;6;62,63;14,60;40,73;Représentant
CMD-102768;27/03/2025;04/04/2025;21/05/2025;CLI-0044;EMP-505;ENT-QC;BD-1031;2;435,42;16,20;300,62;Courriel
CMD-103872;16/08/2025;20-août-25;27/10/2025;CLI-0128;EMP-502;ENT-MTL;BD-1009;12;89,66;14,70;67,67;Courriel
CMD-103634;14/07/2025;16-juil-25;29/09/2025;CLI-0041;EMP-508;ENT-QC;BD-1009;3;89,94;14,50;67,67;Téléphone
CMD-104538;16/10/2025;21/10/2025;2025-12-14;CLI-0013;EMP-507;ENT-QC;BD-1085;4;61,32;8,70;49,28;Représentant
CMD-102327;01/01/2025;2025-01-10;04/02/2025;CLI-0012;EMP-501;ENT-QC;BD-1033;26;153,52;18,10;113,22;N/A
CMD-102714;18-mars-25;26/03/2025;10/05/2025;CLI-0073;EMP-501;ENT-SAG;BD-1093;6;185,87;16,90;134,96;Représentant
CMD-104236;20/09/2025;27/09/2025;;CLI-0209;EMP-508;ENT-QC;BD-1168;17;306,85;23,30;229,43;Portail web
CMD-104827;15/11/2025;19/11/2025;20/12/2025;CLI-0046;EMP-508;ENT-MTL;BD-1145;3;170,95;7,20;111,12;Portail web
CMD-103129;10-mai-25;16/05/2025;08/07/2025;CLI-0176;EMP-503;ENT-QC;BD-1106;3;497,71;6,20;340,08;Téléphone
CMD-102896;12/04/2025;2025-04-18;26/05/2025;CLI-0052;EMP-504;ENT-QC;BD-1063;3;317,53;13,80;247,24;Représentant
CMD-104143;12-sept-25;21/09/2025;30/10/2025;CLI-0076;EMP-507;ENT-MTL;BD-1035;73;38,88;19,60;30,63;Portail web
CMD-103529;27/06/2025;02/07/2025;28-août-25;CLI-0212;EMP-507;ENT-SAG;BD-1043;3;420,31;20,40;300,28;Portail web
CMD-102904;14/04/2025;19/04/2025;2025-06-16;CLI-0198;EMP-504;ENT-QC;BD-1061;2;111,37;5,70;76,81;Représentant
CMD-104838;18/11/2025;26/11/2025;;CLI-0050;EMP-502;ENT-QC;BD-1128;12;126,40;12,70;78,87;Représentant
CMD-102827;03/04/2025;08/04/2025;2025-05-07;CLI-0194;EMP-506;ENT-SAG;BD-1177;2;382,15;6,20;215,66;Représentant
CMD-103159;2025-05-14;23/05/2025;08/07/2025;CLI-0212;EMP-507;ENT-MTL;BD-1034;4;181,82;23,50;182,99;Téléphone
CMD-104014;02/09/2025;2025-09-04;11/11/2025;CLI-0111;EMP-507;ENT-MTL;BD-1133;6;95,70;5,60;62,95;Portail web
CMD-104343;30/09/2025;05/10/2025;2025-12-05;CLI-0207;EMP-501;ENT-QC;BD-1039;1;193,10;2,50;122,17;Courriel
CMD-104390;03-oct-25;05/10/2025;22/11/2025;CLI-0081;EMP-502;ENT-QC;BD-1100;4;455,55;15,10;369,19;Portail web
CMD-102557;20/02/2025;28/02/2025;2025-04-05;CLI-0056;EMP-502;ENT-MTL;BD-1005;7;250,26;23,50;208,35;Portail web
CMD-103152;14/05/2025;23/05/2025;;CLI-0094;EMP-502;ENT-QC;BD-1040;24;416,12;5,60;274,41;Portail web
CMD-103355;06/06/2025;13/06/2025;2025-07-31;CLI-0028;EMP-509;ENT-MTL;BD-1059;4;496,13;5,90;391,48;Téléphone
CMD-103948;25/08/2025;2025-09-01;21/09/2025;CLI-0194;EMP-506;ENT-MTL;BD-1124;12;244,01;4,30;153,77;Représentant
CMD-103651;2025-07-16;25/07/2025;17/09/2025;CLI-0169;EMP-507;ENT-MTL;BD-1120;4;254,02;14,40;186,72;Portail web
CMD-102467;31-janv-25;02/02/2025;17/04/2025;CLI-0060;EMP-508;ENT-MTL;BD-1013;6;483,86;6,30;315,34;Représentant
CMD-104579;21-oct-25;25/10/2025;15/12/2025;CLI-0045;EMP-502;ENT-MTL;BD-1086;2;114,47;16,90;97,25;Téléphone
CMD-103320;02/06/2025;09/06/2025;02-août-25;CLI-0141;EMP-502;ENT-MTL;BD-1054;12;403,30;13,40;262,94;Représentant
CMD-103816;11/08/2025;20/08/2025;2025-09-23;CLI-0073;EMP-501;ENT-MTL;BD-1021;2;303,12;16,70;242,82;Téléphone
CMD-102372;10/01/2025;2025-01-13;13/02/2025;CLI-0162;EMP-508;ENT-MTL;BD-1129;12;63,39;11,80;46,45;Téléphone
CMD-103713;29-juil-25;06/08/2025;22/09/2025;CLI-0173;EMP-508;ENT-QC;BD-1001;6;289,72;13,60;219,63;Représentant
CMD-104646;27/10/2025;31/10/2025;2025-12-18;CLI-0128;EMP-502;ENT-QC;BD-1132;2;168,00;15,40;128,45;Représentant
CMD-104880;20-nov-25;23/11/2025;;CLI-0059;EMP-504;ENT-MTL;BD-1127;5;223,25;25,90;174,31;Représentant
CMD-103758;05/08/2025;2025-08-14;14/10/2025;CLI-0137;EMP-503;ENT-QC;BD-1055;9;246,83;24,80;213,75;Salon
CMD-104123;11/09/2025;2025-09-16;10/11/2025;CLI-0059;EMP-504;ENT-QC;BD-1086;80;103,18;25,10;97,25;Représentant
CMD-104508;14/10/2025;16/10/2025;2025-11-20;CLI-0043;EMP-506;ENT-QC;BD-1181;4;535,41;14,30;312,40;Téléphone
CMD-104083;09/09/2025;12/09/2025;2025-11-09;CLI-0160;EMP-508;ENT-QC;BD-1030;24;176,36;3,70;119,13;Représentant
CMD-102625;05/03/2025;14/03/2025;21/04/2025;CLI-0076;EMP-507;ENT-SAG;BD-1155;17;417,71;22,90;329,15;Représentant
CMD-102607;2025-03-03;12/03/2025;17/04/2025;CLI-0131;EMP-502;ENT-MTL;BD-1166;1;372,97;10,20;217,35;Représentant
CMD-103135;12/05/2025;16/05/2025;01/07/2025;CLI-0126;EMP-502;ENT-MTL;BD-1010;6;135,76;16,70;88,91;Téléphone
CMD-103681;21/07/2025;30-juil-25;17/09/2025;CLI-0006;EMP-505;ENT-MTL;BD-1120;4;254,17;14,40;186,72;Représentant
CMD-102652;2025-03-10;13/03/2025;25/04/2025;CLI-0120;EMP-509;ENT-QC;BD-1056;6;478,54;2,70;293,14;Représentant
CMD-103520;27/06/2025;2025-06-29;04/08/2025;CLI-0053;EMP-509;ENT-QC;BD-1049;3;48,05;12,10;31,22;Courriel
CMD-104863;20/11/2025;2025-11-26;;CLI-0047;EMP-508;ENT-QC;BD-1148;6;392,95;14,60;302,28;Représentant
CMD-105059;20-déc-25;22/12/2025;;CLI-0126;EMP-502;ENT-QC;BD-1139;1;314,70;12,30;203,11;Représentant
CMD-104411;06/10/2025;12/10/2025;26/11/2025;CLI-0137;EMP-503;ENT-QC;BD-1126;2;151,39;25,20;133,03;Téléphone
CMD-103610;09/07/2025;12/07/2025;2025-08-25;CLI-0183;EMP-506;ENT-SAG;BD-1024;6;310,40;7,10;189,35;Portail web
CMD-103969;27/08/2025;03-sept-25;27/09/2025;CLI-0106;EMP-501;ENT-MTL;BD-1098;1;393,62;10,70;309,76;Représentant
CMD-103549;01/07/2025;08/07/2025;21-août-25;CLI-0130;EMP-508;ENT-MTL;BD-1124;8;203,83;20,10;153,77;Portail web
CMD-102820;02-avr-25;10/04/2025;16/05/2025;CLI-0031;EMP-509;ENT-SAG;BD-1051;4;115,35;11,00;79,76;Représentant
CMD-103696;24/07/2025;28/07/2025;2025-09-07;CLI-0103;EMP-502;ENT-QC;BD-1065;12;240,09;3,70;155,19;Représentant
CMD-103203;20/05/2025;2025-05-24;24/06/2025;CLI-0200;EMP-509;ENT-QC;BD-1002;3;398,99;14,80;298,72;Représentant
CMD-103457;19/06/2025;23/06/2025;2025-07-20;CLI-0141;EMP-502;ENT-SAG;BD-1108;12;234,39;14,20;169,96;Téléphone
CMD-104437;08/10/2025;17/10/2025;2025-11-10;CLI-0039;EMP-503;ENT-QC;BD-1008;6;218,91;6,40;155,34;Téléphone
CMD-102554;19/02/2025;27/02/2025;04-avr-25;CLI-0130;EMP-508;ENT-QC;BD-1108;8;218,28;20,10;169,96;Représentant
CMD-104363;01/10/2025;2025-10-06;04/12/2025;CLI-0115;EMP-509;ENT-MTL;BD-1137;6;38,14;10,90;25,59;Représentant
CMD-104577;20/10/2025;27/10/2025;28-nov-25;CLI-0185;EMP-508;ENT-QC;BD-1002;3;353,55;24,50;298,72;Représentant
CMD-102759;25/03/2025;29/03/2025;2025-05-31;CLI-0104;EMP-501;ENT-MTL;BD-1041;3;232,51;8,30;163,24;Représentant
CMD-103988;2025-08-29;03/09/2025;12/11/2025;CLI-0131;EMP-502;ENT-SAG;BD-1003;4;247,87;16,90;227,23;Courriel
CMD-103074;2025-05-05;12/05/2025;30/05/2025;CLI-0015;EMP-509;ENT-QC;BD-1035;24;45,41;6,10;30,63;Représentant
CMD-103043;30/04/2025;2025-05-03;13/06/2025;CLI-0089;EMP-502;ENT-QC;BD-1158;19;267,85;23,40;184,61;Représentant
CMD-104786;2025-11-11;13/11/2025;06/12/2025;CLI-0049;EMP-508;ENT-MTL;BD-1152;12;400,80;16,70;271,40;Représentant
CMD-104112;10/09/2025;13/09/2025;2025-10-17;CLI-0029;EMP-506;ENT-SAG;BD-1118;18;377,82;24,00;343,17;Téléphone
CMD-103183;16-mai-25;22/05/2025;08/06/2025;CLI-0115;EMP-509;ENT-MTL;BD-1044;6;289,75;10,30;199,55;Portail web
CMD-102537;17/02/2025;2025-02-23;08/04/2025;CLI-0153;EMP-507;ENT-QC;BD-1150;2;529,21;15,40;347,06;Représentant
CMD-104083;09/09/2025;12/09/2025;09/11/2025;CLI-0160;EMP-508;ENT-QC;BD-1179;12;415,79;3,70;231,35;Représentant
CMD-104212;18-sept-25;21/09/2025;19/10/2025;CLI-0106;EMP-501;ENT-MTL;BD-1084;3;500,73;13,80;375,89;Représentant
CMD-102972;22/04/2025;01-mai-25;29/06/2025;CLI-0209;EMP-508;ENT-MTL;BD-1092;14;214,92;23,80;142,98;Téléphone
CMD-102442;27/01/2025;30-janv-25;22/03/2025;CLI-0059;EMP-504;ENT-QC;BD-1161;18;103,73;23,20;64,16;Téléphone
CMD-103546;30/06/2025;05/07/2025;2025-08-23;CLI-0211;EMP-504;ENT-QC;BD-1110;24;247,17;12,90;182,67;Téléphone
CMD-102536;2025-02-17;25/02/2025;21/04/2025;CLI-0196;EMP-506;ENT-SAG;BD-1168;4;369,86;7,50;229,43;Téléphone
CMD-102386;2025-01-14;16/01/2025;01/03/2025;CLI-0108;EMP-503;ENT-QC;BD-1093;4;191,79;14,30;134,96;Représentant
CMD-103935;23/08/2025;26/08/2025;17-oct-25;CLI-0212;EMP-507;ENT-QC;BD-1169;6;453,72;21,30;282,28;Téléphone
CMD-104121;2025-09-11;15/09/2025;11/11/2025;CLI-0054;EMP-507;ENT-QC;BD-1037;8;25,98;13,20;16,65;Représentant
CMD-102929;17/04/2025;2025-04-20;31/05/2025;CLI-0076;EMP-507;ENT-MTL;BD-1103;2;169,38;25,60;154,84;Salon
CMD-103501;25/06/2025;2025-06-30;07/08/2025;CLI-0097;EMP-504;ENT-QC;BD-1045;12;123,38;5,90;78,37;Représentant
CMD-104813;13/11/2025;22-nov-25;19/12/2025;CLI-0099;EMP-505;ENT-QC;BD-1162;23;101,51;25,90;68,38;Représentant
CMD-103391;11/06/2025;14/06/2025;13/08/2025;CLI-0041;EMP-508;ENT-MTL;BD-1028;6;209,60;11,30;143,73;Téléphone
CMD-103840;13/08/2025;22/08/2025;28-sept-25;CLI-0081;EMP-502;ENT-QC;BD-1045;1;110,76;15,50;78,37;Téléphone
CMD-105044;18/12/2025;27/12/2025;;CLI-0204;EMP-506;ENT-SAG;BD-1149;3;178,05;2,80;111,14;Téléphone
CMD-104366;02/10/2025;10/10/2025;07/11/2025;CLI-0107;EMP-506;ENT-QC;BD-1117;8;136,65;7,80;100,34;Représentant
CMD-102340;03/01/2025;2025-01-10;08/03/2025;CLI-0074;EMP-507;ENT-MTL;BD-1145;31;147,92;19,70;111,12;Représentant
CMD-104570;18/10/2025;25/10/2025;2025-12-04;CLI-0081;EMP-502;ENT-MTL;BD-1176;6;559,68;11,20;328,78;Portail web
CMD-104578;2025-10-21;30/10/2025;12/12/2025;CLI-0198;EMP-504;ENT-SAG;BD-1156;2;281,75;6,70;164,64;Portail web
CMD-103172;16/05/2025;2025-05-24;21/06/2025;CLI-0006;EMP-505;ENT-MTL;BD-1002;1;421,58;10,00;298,72;Représentant
CMD-104821;14/11/2025;16-nov-25;;CLI-0084;EMP-503;ENT-MTL;BD-1136;4;178,46;14,00;112,45;Salon
CMD-104882;21/11/2025;2025-11-24;;CLI-0212;EMP-507;ENT-MTL;BD-1181;15;474,84;24,00;312,40;Représentant
CMD-104642;27/10/2025;01/11/2025;18-nov-25;CLI-0099;EMP-505;ENT-MTL;BD-1162;4;108,02;21,20;68,38;Représentant
CMD-103208;2025-05-20;27/05/2025;25/06/2025;CLI-0131;EMP-502;ENT-SAG;BD-1178;24;181,84;11,40;119,43;Représentant
CMD-103305;2025-05-30;06/06/2025;15/07/2025;CLI-0143;EMP-503;ENT-MTL;BD-1024;6;292,32;12,50;189,35;Représentant
CMD-102441;27/01/2025;2025-01-30;19/03/2025;CLI-0125;EMP-509;ENT-MTL;BD-1130;1;523,99;7,20;323,89;Portail web
CMD-104239;22/09/2025;29/09/2025;2025-12-08;CLI-0074;EMP-507;ENT-MTL;BD-1039;3;159,09;19,60;122,17;Représentant
CMD-105071;2025-12-22;26/12/2025;;CLI-0217;EMP-506;ENT-QC;BD-1092;4;227,47;19,40;168,72;Représentant
CMD-104714;31/10/2025;09/11/2025;;CLI-0075;EMP-506;ENT-QC;BD-1175;12;161,04;5,10;96,85;Représentant
CMD-104435;08/10/2025;10/10/2025;2025-11-16;CLI-0061;EMP-503;ENT-SAG;BD-1102;2;425,15;12,30;260,69;Représentant
CMD-103815;11/08/2025;16/08/2025;28/10/2025;CLI-0131;EMP-502;ENT-QC;BD-1023;1;321,62;14,80;244,32;Téléphone
CMD-103442;17-juin-25;22/06/2025;21/08/2025;CLI-0153;EMP-507;ENT-QC;BD-1126;4;174,67;13,70;133,03;Portail web
CMD-104951;2025-12-01;05/12/2025;;CLI-0162;EMP-508;ENT-MTL;BD-1160;24;70,86;10,00;41,56;Représentant
CMD-102463;2025-01-30;05/02/2025;12/04/2025;CLI-0191;EMP-504;ENT-QC;BD-1163;3;510,20;16,80;300,77;N/A
CMD-105068;22/12/2025;31/12/2025;;CLI-0191;EMP-504;ENT-QC;BD-1169;6;482,68;16,30;282,28;Représentant
CMD-104337;30/09/2025;07/10/2025;2025-11-24;CLI-0130;EMP-508;ENT-MTL;BD-1052;34;250,83;18,30;183,03;Téléphone
CMD-104172;16/09/2025;23/09/2025;30-oct-25;CLI-0161;EMP-508;ENT-SAG;BD-1019;3;281,37;6,50;205,07;Téléphone
CMD-103114;09-mai-25;16/05/2025;28/06/2025;CLI-0154;EMP-507;ENT-QC;BD-1103;4;204,03;10,40;154,84;Représentant
CMD-104714;31/10/2025;09/11/2025;;CLI-0075;EMP-506;ENT-QC;BD-1080;2;313,66;5,10;208,57;Portail web
CMD-103648;16/07/2025;2025-07-23;02/09/2025;CLI-0121;EMP-508;ENT-QC;BD-1119;12;82,02;10,70;59,67;Portail web
CMD-105097;26/12/2025;30/12/2025;;  CLI-0167;EMP-506;ENT-MTL;BD-1083;4;299,58;2,50;189,32;Portail web
CMD-104396;04/10/2025;12/10/2025;2025-11-13;CLI-0087;EMP-502;ENT-MTL;BD-1162;4;121,41;11,40;68,38;Représentant
CMD-103376;10/06/2025;2025-06-12;02/08/2025;CLI-0056;EMP-502;ENT-QC;BD-1106;19;410,81;22,60;340,08;Portail web
CMD-103446;17-juin-25;26/06/2025;09/08/2025;CLI-0056;EMP-502;ENT-MTL;BD-1055;20;262,63;20,00;213,75;Courriel
CMD-104730;04/11/2025;12/11/2025;2025-12-15;CLI-0071;EMP-503;ENT-MTL;BD-1101;2;105,29;3,00;75,83;Représentant
CMD-104460;10/10/2025;15/10/2025;2025-11-06;CLI-0056;EMP-502;ENT-QC;BD-1081;14;475,51;19,80;364,83;Représentant
CMD-103337;2025-06-04;09/06/2025;17/07/2025;CLI-0054;EMP-507;ENT-MTL;BD-1181;1;521,34;16,60;312,40;Représentant
CMD-102975;23/04/2025;28-avr-25;30/05/2025;CLI-0187;EMP-507;ENT-MTL;BD-1145;1;158,83;13,70;111,12;Représentant
CMD-104466;10/10/2025;18/10/2025;12-déc-25;CLI-0200;EMP-509;ENT-QC;BD-1146;4;321,67;14,40;225,52;Représentant
CMD-103155;14/05/2025;21/05/2025;14-juin-25;CLI-0040;EMP-509;ENT-QC;BD-1153;24;172,46;14,00;116,00;Représentant
CMD-102957;2025-04-21;28/04/2025;27/05/2025;CLI-0197;EMP-507;ENT-MTL;BD-1160;3;75,96;3,50;41,56;Représentant
